density_bin,R2,Model
"(10.0, 12.5]",0.486708402633667,ST-MBAN
"(12.5, 15.0]",0.36342012882232666,ST-MBAN
"(15.0, 17.5]",0.2188664674758911,ST-MBAN
"(17.5, 20.0]",0.25995558500289917,ST-MBAN
"(20.0, 22.5]",0.34955698251724243,ST-MBAN
"(22.5, 25.0]",0.3101692199707031,ST-MBAN
"(5.0, 7.5]",0.321807324886322,ST-MBAN
"(7.5, 10.0]",0.2708885669708252,ST-MBAN
nan,0.3322299122810364,ST-MBAN
"(10.0, 12.5]",0.3173089623451233,TabR
"(12.5, 15.0]",0.20415085554122925,TabR
"(15.0, 17.5]",0.17268192768096924,TabR
"(17.5, 20.0]",0.2272762656211853,TabR
"(20.0, 22.5]",0.3033437132835388,TabR
"(22.5, 25.0]",0.19143688678741455,TabR
"(5.0, 7.5]",0.3365122079849243,TabR
"(7.5, 10.0]",0.27888160943984985,TabR
nan,0.23366224765777588,TabR
"(10.0, 12.5]",0.20655155181884766,FTT
"(12.5, 15.0]",0.1423320770263672,FTT
"(15.0, 17.5]",0.12898409366607666,FTT
"(17.5, 20.0]",0.02368021011352539,FTT
"(20.0, 22.5]",0.02604973316192627,FTT
"(22.5, 25.0]",0.08076351881027222,FTT
"(5.0, 7.5]",0.25306791067123413,FTT
"(7.5, 10.0]",0.24899917840957642,FTT
nan,0.13648784160614014,FTT
"(10.0, 12.5]",0.1701958179473877,MLP
"(12.5, 15.0]",0.12971538305282593,MLP
"(15.0, 17.5]",0.1685846447944641,MLP
"(17.5, 20.0]",-0.014077901840209961,MLP
"(20.0, 22.5]",0.08854299783706665,MLP
"(22.5, 25.0]",0.00746685266494751,MLP
"(5.0, 7.5]",0.24991518259048462,MLP
"(7.5, 10.0]",0.1876317858695984,MLP
nan,0.06656640768051147,MLP
"(10.0, 12.5]",0.0950043797492981,LSTM
"(12.5, 15.0]",0.029450058937072754,LSTM
"(15.0, 17.5]",-0.04234886169433594,LSTM
"(17.5, 20.0]",0.031232476234436035,LSTM
"(20.0, 22.5]",0.023089945316314697,LSTM
"(22.5, 25.0]",0.12173682451248169,LSTM
"(5.0, 7.5]",0.15033471584320068,LSTM
"(7.5, 10.0]",0.1807681918144226,LSTM
nan,0.06407767534255981,LSTM
"(10.0, 12.5]",0.14715206623077393,GRU
"(12.5, 15.0]",0.07625758647918701,GRU
"(15.0, 17.5]",-0.002670764923095703,GRU
"(17.5, 20.0]",0.035688936710357666,GRU
"(20.0, 22.5]",0.05834376811981201,GRU
"(22.5, 25.0]",0.005864620208740234,GRU
"(5.0, 7.5]",0.1163981556892395,GRU
"(7.5, 10.0]",0.08519119024276733,GRU
nan,0.04985392093658447,GRU
"(10.0, 12.5]",0.22290951013565063,LR
"(12.5, 15.0]",0.12372320890426636,LR
"(15.0, 17.5]",0.14250969886779785,LR
"(17.5, 20.0]",0.05836284160614014,LR
"(20.0, 22.5]",0.10216844081878662,LR
"(22.5, 25.0]",0.08856594562530518,LR
"(5.0, 7.5]",0.28330373764038086,LR
"(7.5, 10.0]",0.2837119698524475,LR
nan,0.08504009246826172,LR
"(10.0, 12.5]",0.3176348854236569,RF
"(12.5, 15.0]",0.19158744425611052,RF
"(15.0, 17.5]",0.1596603573943881,RF
"(17.5, 20.0]",0.08189992120238376,RF
"(20.0, 22.5]",0.15281010541863094,RF
"(22.5, 25.0]",0.15681574030709666,RF
"(5.0, 7.5]",0.35140636576481954,RF
"(7.5, 10.0]",0.33745178717035607,RF
nan,0.14608538695139606,RF
"(10.0, 12.5]",0.35801053047180176,XGB
"(12.5, 15.0]",0.2023337483406067,XGB
"(15.0, 17.5]",0.2291349172592163,XGB
"(17.5, 20.0]",0.1083381175994873,XGB
"(20.0, 22.5]",0.16144073009490967,XGB
"(22.5, 25.0]",0.19215935468673706,XGB
"(5.0, 7.5]",0.3581002950668335,XGB
"(7.5, 10.0]",0.35567933320999146,XGB
nan,0.18277502059936523,XGB
"(10.0, 12.5]",0.3103884131577427,CatBoost
"(12.5, 15.0]",0.17548391754478998,CatBoost
"(15.0, 17.5]",0.22032233508749588,CatBoost
"(17.5, 20.0]",0.10168582576029472,CatBoost
"(20.0, 22.5]",0.11285006710550571,CatBoost
"(22.5, 25.0]",0.1540445570363722,CatBoost
"(5.0, 7.5]",0.3746169029103671,CatBoost
"(7.5, 10.0]",0.35046875964432944,CatBoost
nan,0.15007678339055208,CatBoost
