Model,density_bin,delay,traffic,cache_hit
LR,"(5.0, 7.5]",0.5213333333333334,33.4,0.5612833756617133
LR,"(7.5, 10.0]",0.48290909090909095,31.10909090909091,0.5723995321165505
LR,"(10.0, 12.5]",0.46112149532710284,35.25233644859813,0.5686692415794669
LR,"(12.5, 15.0]",0.3774496644295302,25.77181208053691,0.6487158973340874
LR,"(15.0, 17.5]",0.36763779527559054,30.566929133858267,0.6658986265625273
LR,"(17.5, 20.0]",0.36477386934673367,31.688442211055275,0.6648737110782826
LR,"(20.0, 22.5]",0.32280000000000003,32.94,0.7068751942727173
LR,"(22.5, 25.0]",0.3076158940397351,30.556291390728475,0.7012444954001489
RF,"(5.0, 7.5]",0.17516666666666666,78.06666666666666,0.8438016077939694
RF,"(7.5, 10.0]",0.16363636363636364,79.23636363636363,0.8584547848876138
RF,"(10.0, 12.5]",0.17803738317757015,87.38317757009345,0.8286611756738632
RF,"(12.5, 15.0]",0.17939597315436245,81.39597315436242,0.8337139790000657
RF,"(15.0, 17.5]",0.1677952755905512,87.85826771653544,0.8534458143039169
RF,"(17.5, 20.0]",0.1850753768844221,89.00502512562814,0.8370660504768201
RF,"(20.0, 22.5]",0.19725,89.54,0.8260748402790199
RF,"(22.5, 25.0]",0.18562913907284773,85.6158940397351,0.8303438880443077
XGBoost,"(5.0, 7.5]",0.3431666666666666,126.9,0.6430561758487657
XGBoost,"(7.5, 10.0]",0.33736363636363637,124.23636363636363,0.673689833484926
XGBoost,"(10.0, 12.5]",0.3995327102803738,141.45794392523365,0.5756029825242235
XGBoost,"(12.5, 15.0]",0.3783892617449665,130.56375838926175,0.6165965594361985
XGBoost,"(15.0, 17.5]",0.33937007874015745,121.37007874015748,0.6696854557809392
XGBoost,"(17.5, 20.0]",0.355678391959799,125.23618090452261,0.6442410490090614
XGBoost,"(20.0, 22.5]",0.34129999999999994,122.69,0.6609662389755744
XGBoost,"(22.5, 25.0]",0.37304635761589405,130.6887417218543,0.6158568414279714
CatBoost,"(5.0, 7.5]",0.28150000000000003,63.03333333333333,0.7589876375078174
CatBoost,"(7.5, 10.0]",0.29318181818181827,64.7090909090909,0.7492746906494022
CatBoost,"(10.0, 12.5]",0.30803738317757023,77.90654205607477,0.7097797118169042
CatBoost,"(12.5, 15.0]",0.2822147651006711,71.47651006711409,0.7427650893759172
CatBoost,"(15.0, 17.5]",0.28047244094488194,70.5984251968504,0.7652302614670832
CatBoost,"(17.5, 20.0]",0.35748743718592974,84.22110552763819,0.691618530283052
CatBoost,"(20.0, 22.5]",0.3546,92.02,0.7104481734925528
CatBoost,"(22.5, 25.0]",0.35026490066225163,94.11920529801324,0.6923879510971321
NGBoost,"(5.0, 7.5]",0.13966666666666666,19.6,0.8933170511899158
NGBoost,"(7.5, 10.0]",0.11445454545454545,15.290909090909091,0.9035884761008706
NGBoost,"(10.0, 12.5]",0.09906542056074767,18.542056074766354,0.9088524316182207
NGBoost,"(12.5, 15.0]",0.11181208053691277,15.570469798657719,0.9050761362896657
NGBoost,"(15.0, 17.5]",0.11976377952755907,16.488188976377952,0.9003839474594153
NGBoost,"(17.5, 20.0]",0.12527638190954773,19.306532663316585,0.8989635469484204
NGBoost,"(20.0, 22.5]",0.11695,20.02,0.9030750508693483
NGBoost,"(22.5, 25.0]",0.10781456953642385,21.08609271523179,0.9061951518480496
TabPFN,"(5.0, 7.5]",0.4303333333333333,56.63333333333333,0.619498754088114
TabPFN,"(7.5, 10.0]",0.343,51.054545454545455,0.6921417397225061
TabPFN,"(10.0, 12.5]",0.36551401869158884,60.018691588785046,0.6540024140062604
TabPFN,"(12.5, 15.0]",0.38208053691275173,62.59060402684564,0.6583648805951894
TabPFN,"(15.0, 17.5]",0.3818110236220472,57.7007874015748,0.6612797957546641
TabPFN,"(17.5, 20.0]",0.39226130653266333,62.18090452261306,0.6621907910958649
TabPFN,"(20.0, 22.5]",0.38870000000000005,57.53,0.6548028566359494
TabPFN,"(22.5, 25.0]",0.410794701986755,52.19867549668874,0.6255991980968985
MLP,"(5.0, 7.5]",0.14783333333333332,37.333333333333336,0.8707927101348729
MLP,"(7.5, 10.0]",0.135,42.03636363636364,0.8786550648843435
MLP,"(10.0, 12.5]",0.13084112149532712,45.60747663551402,0.8665106310909477
MLP,"(12.5, 15.0]",0.13778523489932887,40.939597315436245,0.8756472021987304
MLP,"(15.0, 17.5]",0.14133858267716534,44.74015748031496,0.8751048362871728
MLP,"(17.5, 20.0]",0.15894472361809048,51.437185929648244,0.8580273457042723
MLP,"(20.0, 22.5]",0.15705000000000002,51.74,0.859768329064209
MLP,"(22.5, 25.0]",0.16231788079470202,54.980132450331126,0.8512469141481368
