Model,Step,MAE
RF,0,246.9271240234375
RF,2,65.11404360829222
RF,4,58.43337338002607
RF,6,55.89085785128192
RF,8,54.2877930012014
RF,10,53.27306561693207
RF,12,52.43650895086185
RF,14,51.913165928419886
RF,16,51.43623629252831
RF,18,51.09699607201589
RF,20,50.81477147823419
RF,22,50.5466652414072
RF,24,50.25246830346872
RF,26,50.02023357512097
RF,28,49.841735074695
RF,30,49.66002445404429
RF,32,49.508735317987785
RF,34,49.405019795295736
RF,36,49.27870865036965
RF,38,49.20564940891889
RF,40,49.1350831394903
RF,42,49.05106805381594
RF,44,48.99337690057189
RF,46,48.931756045624326
RF,48,48.84199902226426
RF,50,48.74662968738018
RF,52,48.66366209963958
RF,54,48.580499296106005
RF,56,48.53100499549018
RF,57,48.47723773015464
RF,60,48.45024858771504
RF,62,48.431531287131484
RF,64,48.37446100719562
RF,66,48.334186358872586
RF,68,48.309975310386925
RF,70,48.27260678408016
RF,72,48.23293950535235
RF,74,48.21996238973055
RF,76,48.19899360822495
RF,78,48.170118481843645
RF,80,48.13079244523402
RF,82,48.105841881442245
RF,84,48.078127871889535
RF,86,48.06043072685044
RF,88,48.03702890914204
RF,90,48.02080652903101
RF,92,48.00291000719062
RF,94,47.99559196317807
RF,96,47.99026577797091
RF,98,47.96721227025101
RF,100,47.9471404105212
RF,102,47.93308731432042
RF,104,47.91919633464616
RF,106,47.8912055871165
RF,108,47.86504560399975
RF,110,47.85000046475852
RF,112,47.83720083659854
RF,113,47.82766188303765
RF,115,47.82033747638846
RF,118,47.81149228880929
RF,120,47.80176375859513
RF,122,47.78314171123556
RF,124,47.77048699609401
RF,126,47.76795700600052
RF,128,47.75604444783493
RF,130,47.73585158866082
RF,132,47.72692319013349
RF,134,47.72520732652272
RF,136,47.71947376315113
RF,138,47.71206955825274
RF,140,47.703260305937256
RF,142,47.70165432923709
RF,144,47.69445101238607
RF,146,47.68720938864424
RF,148,47.67809911660082
RF,150,47.66946397075739
RF,152,47.66784169291228
RF,154,47.66903400272947
RF,156,47.66489635378468
RF,158,47.65230990574844
RF,160,47.64681668732905
RF,162,47.641208141502105
RF,164,47.64136542285006
RF,166,47.62718980007348
RF,168,47.61994912609353
RF,170,47.60541712965957
RF,172,47.59586157259261
RF,174,47.58542447290708
RF,176,47.583566269336856
RF,178,47.58311234892378
RF,180,47.57929522081065
RF,182,47.57049830744904
RF,184,47.56805439478185
RF,186,47.55668187451505
RF,188,47.55395011494616
RF,190,47.554143352809575
RF,192,47.55099076955685
RF,194,47.542656842885286
RF,196,47.53716210929044
RF,198,47.532635278941605
RF,200,47.51923436261853
