Model,Step,MAE
LR,0,247.30398424998612
LR,1,181.4590613651833
LR,2,135.10325751505093
LR,3,105.77178494569478
LR,4,89.67620772060444
LR,5,82.51302325949418
LR,6,80.19677328968376
LR,7,80.11769540315093
LR,8,80.92605898304352
LR,9,81.95670582309054
LR,10,82.88990123584344
LR,11,83.72379041269278
LR,12,84.3860142859712
LR,13,84.9221073260168
LR,14,85.3356728337729
LR,15,85.63432412263475
LR,16,85.86930030085145
LR,17,86.07138543907155
LR,18,86.22689487515375
LR,19,86.33736385598124
LR,20,86.40696558411722
LR,21,86.50217875441375
LR,22,86.57055474208468
LR,23,86.62959759775927
LR,24,86.67159632541465
LR,25,86.69083251596848
LR,26,86.74897658405612
LR,27,86.7900295084824
LR,28,86.8128107620845
LR,29,86.83091403337994
LR,30,86.84474631680428
LR,31,86.88281281100063
LR,32,86.89170226628298
LR,33,86.92446018979427
LR,34,86.93680652991583
LR,35,86.96372888839838
LR,36,86.982275762566
LR,37,87.00354271822694
LR,38,87.00224589650216
LR,39,87.02301470059689
LR,40,87.03995421302042
LR,41,87.04464211418852
LR,42,87.0678745579669
LR,43,87.08670684242594
LR,44,87.0920578949638
LR,45,87.10633292778763
LR,46,87.10847182943594
LR,47,87.1316680715249
LR,48,87.13443349191088
LR,49,87.13270481587568
LR,50,87.12929078000118
LR,51,87.15960399832414
LR,52,87.16647872961752
LR,53,87.18055635193562
LR,54,87.2133709564061
LR,55,87.2010391548763
LR,56,87.21728581852985
LR,57,87.20326941507632
LR,58,87.21910893256043
LR,59,87.2261117653349
LR,60,87.21177253047986
LR,61,87.25399986651173
LR,62,87.22301423706367
LR,63,87.23083745034953
LR,64,87.24411959514586
LR,65,87.26300492075053
LR,66,87.23334899764077
LR,67,87.25551403773008
LR,68,87.25031519514656
LR,69,87.26760767765421
LR,70,87.26190874400159
LR,71,87.24938288149718
LR,72,87.24992718788769
LR,73,87.2733435834322
LR,74,87.28597824953621
LR,75,87.28800989618554
LR,76,87.2795106968624
LR,77,87.29635423017405
LR,78,87.28925054605102
LR,79,87.29734108573282
LR,80,87.30158768021788
LR,81,87.28636052214081
LR,82,87.28733378242146
LR,83,87.3260739615925
LR,84,87.30432184738724
LR,85,87.31629439579132
LR,86,87.31511081285893
LR,87,87.31940706412914
LR,88,87.31932300886459
LR,89,87.32306102284272
LR,90,87.31779204893945
LR,91,87.32591344901434
LR,92,87.30944318991985
LR,93,87.33238883394179
LR,94,87.32077574260089
LR,95,87.34193376430565
LR,96,87.31897647797499
LR,97,87.32699620021114
LR,98,87.34193330423528
LR,99,87.33916014315972
LR,100,87.34005242810473
LR,101,87.32614983387198
LR,102,87.33706953733885
LR,103,87.33515266105783
LR,104,87.33251314665257
LR,105,87.34596132747976
LR,106,87.35931729253099
LR,107,87.35477688162948
LR,108,87.34841473978565
LR,109,87.34387706677867
LR,110,87.35089015730651
LR,111,87.35584371000789
LR,112,87.34556787026253
LR,113,87.33527184201117
LR,114,87.3416507314102
LR,115,87.3375251534671
LR,116,87.3516372031659
LR,117,87.36084358714413
LR,118,87.37833957575879
LR,119,87.37982744093031
LR,120,87.36691007517862
LR,121,87.33323214973767
LR,122,87.35625542485131
LR,123,87.36501748726171
LR,124,87.36392842344412
LR,125,87.37090451287341
LR,126,87.3434790951869
LR,127,87.36179852886634
LR,128,87.37560946955163
LR,129,87.3776006505453
LR,130,87.35736393582131
LR,131,87.36151926038147
LR,132,87.35717445148191
LR,133,87.34556609253502
LR,134,87.35257099794701
LR,135,87.36558366851237
LR,136,87.3614648332449
LR,137,87.35975141389062
LR,138,87.38047321067909
LR,139,87.36739840564698
LR,140,87.37604484634923
LR,141,87.37134398647828
LR,142,87.3788257205411
LR,143,87.37557030090662
LR,144,87.4015111478935
LR,145,87.37656157491088
LR,146,87.36591545759174
LR,147,87.37133321921048
LR,148,87.36648529068503
LR,149,87.38063327236267
LR,150,87.37784854270234
LR,151,87.39096710067949
LR,152,87.40301755120096
LR,153,87.38291907458088
LR,154,87.36156851777466
LR,155,87.37484051738657
LR,156,87.38003902186814
LR,157,87.40084363452442
LR,158,87.38437140247905
LR,159,87.37804364648993
LR,160,87.37810047868724
LR,161,87.35671621474134
LR,162,87.38784535333707
LR,163,87.35785587476619
LR,164,87.40205425988194
LR,165,87.36893883657262
LR,166,87.34728077134255
LR,167,87.36366662603703
LR,168,87.37869347776203
LR,169,87.39432899248742
LR,170,87.35956725564057
LR,171,87.36730246293877
LR,172,87.38062625367698
LR,173,87.35226338306299
LR,174,87.36462401194919
LR,175,87.37635849934138
LR,176,87.39079542259572
LR,177,87.38953102830693
LR,178,87.36227939022727
LR,179,87.38019036408588
LR,180,87.39662466419117
LR,181,87.39411145059748
LR,182,87.37982149204586
LR,183,87.38226329004365
LR,184,87.35752763801067
LR,185,87.38531545270376
LR,186,87.3555766256867
LR,187,87.37393722541414
LR,188,87.36216576504708
LR,189,87.35726224099187
LR,190,87.3783658091732
LR,191,87.39741989965682
LR,192,87.38626963298415
LR,193,87.37043700180976
LR,194,87.39274588006157
LR,195,87.37446533889775
LR,196,87.38422472616243
LR,197,87.37292899477583
LR,198,87.38958645532522
LR,199,87.39091031718849
LR,200,87.38535076234508
