Model,Step,MAE
LSTM,0,246.448
LSTM,1,234.21273477091754
LSTM,2,222.90385369421605
LSTM,3,212.34532799615943
LSTM,4,202.08134278168743
LSTM,5,192.7258939599593
LSTM,6,184.24580640115397
LSTM,7,175.93639833649283
LSTM,8,168.0912662937732
LSTM,9,161.07746620129382
LSTM,10,154.22309577101782
LSTM,11,147.95160242626486
LSTM,12,142.19105484178786
LSTM,13,136.3794283365541
LSTM,14,131.27330217258947
LSTM,15,126.64444787239684
LSTM,16,122.0833934877509
LSTM,17,118.07878002122435
LSTM,18,113.96287176535951
LSTM,19,110.20828541436116
LSTM,20,107.19830009449007
LSTM,21,103.7248723467197
LSTM,22,100.75680309751736
LSTM,23,97.71515386219603
LSTM,24,95.21112982388298
LSTM,25,92.84335543667083
LSTM,26,90.34704212856577
LSTM,27,88.41780703970278
LSTM,28,86.25230903428918
LSTM,29,84.4098177367202
LSTM,30,82.59629930619738
LSTM,31,81.31134074620924
LSTM,32,79.48502873870063
LSTM,33,77.88168593237411
LSTM,34,76.81031629593858
LSTM,35,75.23768536224762
LSTM,36,74.26767486659242
LSTM,37,72.83431804738655
LSTM,38,71.89242710841792
LSTM,39,71.1514249841277
LSTM,40,70.32544926443937
LSTM,41,69.39167712699948
LSTM,42,68.55465294841967
LSTM,43,67.78406857074481
LSTM,44,66.91259298382626
LSTM,45,66.37634560813565
LSTM,46,65.8071010034239
LSTM,47,65.46585957450951
LSTM,48,64.82661884150997
LSTM,49,64.01272909142013
LSTM,50,63.86001721742539
LSTM,51,63.317901375533594
LSTM,52,62.866486757801106
LSTM,53,62.67842768760899
LSTM,54,62.38457169383447
LSTM,55,62.035867476447486
LSTM,56,61.45807082878189
LSTM,57,61.24548573777709
LSTM,58,61.06830874369643
LSTM,59,60.90932524379029
LSTM,60,60.45197766037724
LSTM,61,60.27228810976242
LSTM,62,59.92489804386643
LSTM,63,59.71562628714863
LSTM,64,59.8337722974007
LSTM,65,59.74397836096108
LSTM,66,59.36944071802479
LSTM,67,59.380810288597296
LSTM,68,59.144235369245266
LSTM,69,58.86197936399262
LSTM,70,58.89017826314159
LSTM,71,58.95181435192012
LSTM,72,58.60828257698856
LSTM,73,58.74783057534781
LSTM,74,58.0261328017346
LSTM,75,58.454405371654076
LSTM,76,58.26187623023018
LSTM,77,58.12697506982458
LSTM,78,58.113562801821466
LSTM,79,57.73428113089836
LSTM,80,57.93642915000609
LSTM,81,57.963975700191
LSTM,82,58.07692502770014
LSTM,83,57.72589043855221
LSTM,84,57.63407546242187
LSTM,85,57.63491829534739
LSTM,86,57.80523751655975
LSTM,87,57.677710342339914
LSTM,88,57.51195350043184
LSTM,89,57.63381246210801
LSTM,90,57.53901994339758
LSTM,91,57.63947827769724
LSTM,92,57.36054942410451
LSTM,93,57.39021063451029
LSTM,94,57.35575520110233
LSTM,95,57.17185433661745
LSTM,96,57.414105358197915
LSTM,97,57.3885504736429
LSTM,98,57.331172961859366
LSTM,99,57.27745611372904
LSTM,100,57.08372232222958
LSTM,101,57.21738651699694
LSTM,102,57.214534039096755
LSTM,103,57.13199539115446
LSTM,104,57.21541726788367
LSTM,105,57.28831168962444
LSTM,106,57.49949374068608
LSTM,107,57.232332658291845
LSTM,108,57.235030684614294
LSTM,109,57.17611204718396
LSTM,110,57.0
LSTM,111,57.16678991287123
LSTM,112,57.17233536319071
LSTM,113,57.52580250141247
LSTM,114,57.12092785361645
LSTM,115,57.1889013228464
LSTM,116,57.13274391061137
LSTM,117,57.0
LSTM,118,57.2990196406678
LSTM,119,57.2357042243878
LSTM,120,57.23718906554279
LSTM,121,57.0
LSTM,122,57.32102264764043
LSTM,123,57.0
LSTM,124,57.19169126459064
LSTM,125,57.429092640119016
LSTM,126,57.0
LSTM,127,57.00989699000362
LSTM,128,57.107219846113225
LSTM,129,57.01434700046266
LSTM,130,57.0
LSTM,131,57.09580029457728
LSTM,132,57.0
LSTM,133,57.15274552088474
LSTM,134,57.0
