Model,Epoch,MAE
w/o Attention,0,245.20919730611436
w/o Attention,1,66.32858935458258
w/o Attention,2,45.3547777847895
w/o Attention,3,39.18014578866689
w/o Attention,4,33.17321826332884
w/o Attention,5,27.966869353955516
w/o Attention,6,23.41783105621022
w/o Attention,7,20.89595207217671
w/o Attention,8,20.953101572584895
w/o Attention,9,20.770786657401874
w/o Attention,10,20.723738441809544
w/o Attention,11,20.737894554115755
w/o Attention,12,20.717381861424332
w/o Attention,13,20.67928230681731
w/o Attention,14,20.618868058196046
w/o Attention,15,20.716971338723127
w/o Attention,16,20.59529016844374
w/o Attention,17,20.675507185439088
w/o Attention,18,20.639523312387368
w/o Attention,19,20.579091203014364
w/o Attention,20,20.562204529995878
w/o Attention,21,20.582971704075977
w/o Attention,22,20.54613942659473
w/o Attention,23,20.518903689834104
w/o Attention,24,20.49886453796794
w/o Attention,25,20.61714421482388
w/o Attention,26,20.593103767797345
w/o Attention,27,20.49007788436038
w/o Attention,28,20.50965449143363
w/o Attention,29,20.4767820462076
w/o Attention,30,20.484630342598923
w/o Attention,31,20.538312298501765
w/o Attention,32,20.56013489198576
w/o Attention,33,20.57489553644462
w/o Attention,34,20.489050760081703
w/o Attention,35,20.472833659311814
w/o Attention,36,20.46443680943419
w/o Attention,37,20.49500138592444
w/o Attention,38,20.46280323088143
w/o Attention,39,20.568372655111705
w/o Attention,40,20.60416622566045
w/o Attention,41,20.662176823988396
w/o Attention,42,20.597716472311067
w/o Attention,43,20.577319007055035
w/o Attention,44,20.474848466935917
w/o Attention,45,20.563864007262723
w/o Attention,46,20.48534041669196
w/o Attention,47,20.66031945558332
w/o Attention,48,20.462952033035325
w/o Attention,49,20.50370897044586
w/o Attention,50,20.604291912431943
w/o Attention,51,20.617111651091324
w/o Attention,52,20.46392931945119
w/o Attention,53,20.6725932867937
w/o Attention,54,20.636603035793595
w/o Attention,55,20.45206571139062
w/o Attention,56,20.646046056425895
w/o Attention,57,20.63118023198458
w/o Attention,58,20.487758046050235
w/o Attention,59,20.72443665865999
w/o Attention,60,20.464756293474892
w/o Attention,61,20.60974151360922
w/o Attention,62,20.780828593598226
w/o Attention,63,20.747244314414733
w/o Attention,64,20.691719131428773
w/o Attention,65,20.55248614674663
w/o Attention,66,20.531632776753533
w/o Attention,67,20.77449324391791
w/o Attention,68,20.62698671219981
w/o Attention,69,20.69500182776274
w/o Attention,70,20.851472921652533
w/o Attention,71,20.51685113873463
w/o Attention,72,20.772278760328533
w/o Attention,73,20.567764416010583
w/o Attention,74,20.812744471379663
w/o Attention,75,20.795210218177257
w/o Attention,76,20.877006282890743
w/o Attention,77,20.854282177011708
w/o Attention,78,20.732229063754122
w/o Attention,79,20.60375556566486
w/o Attention,80,20.76519194853787
w/o Attention,81,20.636399577991998
w/o Attention,82,20.75085380883589
w/o Attention,83,20.772212946391484
w/o Attention,84,20.854341712850836
w/o Attention,85,20.657012832581927
w/o Attention,86,20.677686771291313
w/o Attention,87,20.964480643787862
w/o Attention,88,20.695630985536063
w/o Attention,89,20.86169782134276
w/o Attention,90,20.91146883427379
w/o Attention,91,21.107652941454877
w/o Attention,92,21.075880486383593
w/o Attention,93,20.66444654984695
w/o Attention,94,20.955142915469793
w/o Attention,95,21.05942036206577
w/o Attention,96,20.92964780944058
w/o Attention,97,20.990652735962623
w/o Attention,98,21.06621607231011
w/o Attention,99,20.75889794943093
w/o Attention,100,21.041323014653255
w/o Attention,101,20.843076433732843
w/o Attention,102,21.166234509698278
w/o Attention,103,20.80195559130646
w/o Attention,104,21.043893652366215
w/o Attention,105,20.76877055172174
w/o Attention,106,21.204253959270595
w/o Attention,107,21.129637667129707
w/o Attention,108,21.026511433976477
w/o Attention,109,20.96920973649862
w/o Attention,110,21.17781068571707
w/o Attention,111,20.945938649778093
w/o Attention,112,20.888145201246612
w/o Attention,113,20.928823768524257
w/o Attention,114,20.865737870964445
w/o Attention,115,20.980409925595428
w/o Attention,116,20.903003736604063
w/o Attention,117,20.98433823006665
w/o Attention,118,21.069024815935656
w/o Attention,119,21.12397461062313
w/o Attention,120,21.019445690633706
w/o Attention,121,21.456107458470196
w/o Attention,122,21.386674054436078
w/o Attention,123,21.37146092511854
w/o Attention,124,21.400331338787034
w/o Attention,125,21.448347604627312
w/o Attention,126,21.098337030463178
w/o Attention,127,21.23958096604525
w/o Attention,128,21.264464987235115
w/o Attention,129,21.492405498525407
w/o Attention,130,21.411645045380038
w/o Attention,131,21.498194416541786
w/o Attention,132,21.4634577631539
w/o Attention,133,21.13312950026041
w/o Attention,134,21.555962815088122
w/o Attention,135,21.147397033203074
w/o Attention,136,21.304472085105346
w/o Attention,137,21.46963637256844
w/o Attention,138,21.422182027695325
w/o Attention,139,21.366759815500306
w/o Attention,140,21.06916398251978
w/o Attention,141,21.491681333035647
w/o Attention,142,21.331780625335497
w/o Attention,143,21.531071242706922
w/o Attention,144,21.653109066362216
w/o Attention,145,21.114933213519432
w/o Attention,146,21.179667005692274
w/o Attention,147,21.23034803078909
w/o Attention,148,21.622542068498216
w/o Attention,149,21.587134657137472
w/o Attention,150,21.33181104228308
w/o Attention,151,21.76997468591038
w/o Attention,152,21.207499261605818
w/o Attention,153,21.216827254503656
w/o Attention,154,21.394470378660916
w/o Attention,155,21.245357926968573
w/o Attention,156,21.466507283691943
w/o Attention,157,21.662589992726893
w/o Attention,158,21.276578258899473
w/o Attention,159,21.64168670998313
w/o Attention,160,21.622109765914566
w/o Attention,161,21.573615253795914
w/o Attention,162,21.532336934706585
w/o Attention,163,21.370025350035785
w/o Attention,164,21.612109854282227
w/o Attention,165,21.253483033808568
w/o Attention,166,21.637552476411326
w/o Attention,167,21.875102945828328
w/o Attention,168,21.488899274446588
w/o Attention,169,21.673374017571284
w/o Attention,170,21.866664221162388
w/o Attention,171,21.674077576421553
w/o Attention,172,21.732687040388313
w/o Attention,173,21.79576489998578
w/o Attention,174,21.36012367877866
w/o Attention,175,21.821647962511342
w/o Attention,176,21.444714894973288
w/o Attention,177,21.675510917350177
w/o Attention,178,21.46211120475975
w/o Attention,179,21.82680020900699
w/o Attention,180,21.7490417101349
w/o Attention,181,21.82597030187591
w/o Attention,182,22.052868698836622
w/o Attention,183,21.83266369035732
w/o Attention,184,21.889461704651115
w/o Attention,185,21.914703677272914
w/o Attention,186,22.021138243366735
w/o Attention,187,21.52237901019433
w/o Attention,188,21.888689248980725
w/o Attention,189,21.394905988791187
w/o Attention,190,21.599950801180153
w/o Attention,191,21.657381842452743
w/o Attention,192,21.92037953960149
w/o Attention,193,22.004239401072955
w/o Attention,194,21.575772435700294
w/o Attention,195,21.54517599443074
w/o Attention,196,21.943449627338097
w/o Attention,197,22.117654400769407
w/o Attention,198,21.547514691997264
w/o Attention,199,21.646382839559475
w/o Attention,200,21.700735915393107
