Model,Epoch,Train_Loss,Val_Loss,MAE,RMSE,R2,Train Loss,Val Loss
ResNet,1,,,,,,133939.9048713923,132210.26980683036
ResNet,2,,,,,,129739.0520257939,126221.22848626996
ResNet,3,,,,,,123743.99309933063,121450.0575001674
ResNet,4,,,,,,116537.21691163076,115692.8511819308
ResNet,5,,,,,,108552.83628304423,108320.6816831498
ResNet,6,,,,,,99981.82809619952,94513.54876652252
ResNet,7,,,,,,91154.70065191246,91503.26321579504
ResNet,8,,,,,,82505.58112671178,80359.81180729512
ResNet,9,,,,,,74368.6865003525,68262.0713892204
ResNet,10,,,,,,66907.86222144765,67293.04379081396
ResNet,11,,,,,,60429.16903609094,60543.55605149353
ResNet,12,,,,,,54928.57016698987,52574.36562140601
ResNet,13,,,,,,50320.46680119815,53188.547727588266
ResNet,14,,,,,,46735.62763512103,46489.9485968172
ResNet,15,,,,,,43649.75028785097,44077.59208174804
ResNet,16,,,,,,41272.19475205985,41619.67722709298
ResNet,17,,,,,,39282.75745052471,41751.17129134567
ResNet,18,,,,,,37313.07186397212,38889.66482573081
ResNet,19,,,,,,34990.24079464591,35224.28667631136
ResNet,20,,,,,,32379.999498622376,33307.141209023575
ResNet,21,,,,,,29551.063458677585,31214.44754766716
ResNet,22,,,,,,26467.77243160624,27904.30835140176
ResNet,23,,,,,,23632.472707220084,24831.245562097767
ResNet,24,,,,,,21305.710897299326,23335.72415077187
ResNet,25,,,,,,19339.04330269405,21855.269327241764
ResNet,26,,,,,,17637.866119897513,20844.645078041303
ResNet,27,,,,,,16252.967210651155,19462.160812830352
ResNet,28,,,,,,15056.645949642972,19196.858279878867
ResNet,29,,,,,,14074.926228142096,18851.10728531564
ResNet,30,,,,,,13227.237418527868,17987.799877336587
ResNet,31,,,,,,12488.737464644024,18132.189621193324
ResNet,32,,,,,,12182.447111207031,18209.529573809257
ResNet,33,,,,,,11536.887601434006,17281.791346284503
ResNet,34,,,,,,11135.793914473525,17171.143435205755
