density_bin,MAE,Model
"(10.0, 12.5]",50.559295654296875,ST-MBAN
"(12.5, 15.0]",48.78788375854492,ST-MBAN
"(15.0, 17.5]",52.30562210083008,ST-MBAN
"(17.5, 20.0]",55.43006896972656,ST-MBAN
"(20.0, 22.5]",48.12114334106445,ST-MBAN
"(22.5, 25.0]",63.13714599609375,ST-MBAN
"(5.0, 7.5]",45.98127746582031,ST-MBAN
"(7.5, 10.0]",46.05259323120117,ST-MBAN
nan,59.43362045288086,ST-MBAN
"(10.0, 12.5]",65.9807357788086,TabR
"(12.5, 15.0]",79.65766143798828,TabR
"(15.0, 17.5]",80.96513366699219,TabR
"(17.5, 20.0]",87.74644470214844,TabR
"(20.0, 22.5]",75.58854675292969,TabR
"(22.5, 25.0]",99.66661834716797,TabR
"(5.0, 7.5]",71.04034423828125,TabR
"(7.5, 10.0]",64.61241149902344,TabR
nan,96.71449279785156,TabR
"(10.0, 12.5]",69.63768768310547,FTT
"(12.5, 15.0]",79.65699768066406,FTT
"(15.0, 17.5]",85.18441772460938,FTT
"(17.5, 20.0]",97.22838592529297,FTT
"(20.0, 22.5]",91.5738754272461,FTT
"(22.5, 25.0]",106.66200256347656,FTT
"(5.0, 7.5]",74.15640258789062,FTT
"(7.5, 10.0]",73.30010223388672,FTT
nan,101.84883117675781,FTT
"(10.0, 12.5]",64.79472351074219,MLP
"(12.5, 15.0]",71.35755157470703,MLP
"(15.0, 17.5]",76.95909881591797,MLP
"(17.5, 20.0]",88.28199005126953,MLP
"(20.0, 22.5]",84.19949340820312,MLP
"(22.5, 25.0]",102.4679946899414,MLP
"(5.0, 7.5]",69.02501678466797,MLP
"(7.5, 10.0]",69.04405975341797,MLP
nan,103.15172576904297,MLP
"(10.0, 12.5]",67.8265151977539,LSTM
"(12.5, 15.0]",79.7911605834961,LSTM
"(15.0, 17.5]",82.26895141601562,LSTM
"(17.5, 20.0]",98.75572967529297,LSTM
"(20.0, 22.5]",92.62996673583984,LSTM
"(22.5, 25.0]",107.90721130371094,LSTM
"(5.0, 7.5]",71.71440887451172,LSTM
"(7.5, 10.0]",73.35891723632812,LSTM
nan,107.60205841064453,LSTM
"(10.0, 12.5]",72.75650787353516,GRU
"(12.5, 15.0]",77.59346008300781,GRU
"(15.0, 17.5]",91.55176544189453,GRU
"(17.5, 20.0]",98.15868377685547,GRU
"(20.0, 22.5]",89.18871307373047,GRU
"(22.5, 25.0]",110.25733184814453,GRU
"(5.0, 7.5]",77.89509582519531,GRU
"(7.5, 10.0]",79.87186431884766,GRU
nan,110.92276763916016,GRU
"(10.0, 12.5]",46.91586685180664,ResNet
"(12.5, 15.0]",49.901519775390625,ResNet
"(15.0, 17.5]",56.08875274658203,ResNet
"(17.5, 20.0]",58.806278228759766,ResNet
"(20.0, 22.5]",53.755306243896484,ResNet
"(22.5, 25.0]",64.82343292236328,ResNet
"(5.0, 7.5]",48.32447052001953,ResNet
"(7.5, 10.0]",44.53427505493164,ResNet
nan,61.46122741699219,ResNet
"(10.0, 12.5]",68.85579681396484,LR
"(12.5, 15.0]",72.4163589477539,LR
"(15.0, 17.5]",78.00004577636719,LR
"(17.5, 20.0]",88.46471405029297,LR
"(20.0, 22.5]",83.88687896728516,LR
"(22.5, 25.0]",103.4691162109375,LR
"(5.0, 7.5]",69.95096588134766,LR
"(7.5, 10.0]",69.4480972290039,LR
nan,104.80572509765625,LR
"(10.0, 12.5]",63.709613236714354,RF
"(12.5, 15.0]",73.13700953607882,RF
"(15.0, 17.5]",74.67374151710119,RF
"(17.5, 20.0]",85.1181284201132,RF
"(20.0, 22.5]",79.12844616655416,RF
"(22.5, 25.0]",99.3031929282469,RF
"(5.0, 7.5]",65.47077175236996,RF
"(7.5, 10.0]",65.87655320211465,RF
nan,103.02754979535484,RF
"(10.0, 12.5]",61.50672912597656,XGB
"(12.5, 15.0]",67.86372375488281,XGB
"(15.0, 17.5]",71.41517639160156,XGB
"(17.5, 20.0]",82.6489028930664,XGB
"(20.0, 22.5]",77.0126953125,XGB
"(22.5, 25.0]",95.61852264404297,XGB
"(5.0, 7.5]",61.027992248535156,XGB
"(7.5, 10.0]",60.98986053466797,XGB
nan,98.57090759277344,XGB
"(10.0, 12.5]",59.460899887932946,CatBoost
"(12.5, 15.0]",67.29713260509641,CatBoost
"(15.0, 17.5]",70.19777493968947,CatBoost
"(17.5, 20.0]",82.53264908121982,CatBoost
"(20.0, 22.5]",76.29523271921309,CatBoost
"(22.5, 25.0]",95.05340006567498,CatBoost
"(5.0, 7.5]",61.2279283045054,CatBoost
"(7.5, 10.0]",61.019010926730246,CatBoost
nan,98.64239426295258,CatBoost
"(10.0, 12.5]",83.80619261602094,NGBoost
"(12.5, 15.0]",88.0733727152476,NGBoost
"(15.0, 17.5]",93.51602712545441,NGBoost
"(17.5, 20.0]",102.55127095911796,NGBoost
"(20.0, 22.5]",98.43517725622061,NGBoost
"(22.5, 25.0]",115.76516207938293,NGBoost
"(5.0, 7.5]",84.67341103054098,NGBoost
"(7.5, 10.0]",84.36027093063922,NGBoost
nan,116.61762339644193,NGBoost
"(10.0, 12.5]",60.9707145690918,TabPFN
"(12.5, 15.0]",61.456787109375,TabPFN
"(15.0, 17.5]",66.4587631225586,TabPFN
"(17.5, 20.0]",73.94219970703125,TabPFN
"(20.0, 22.5]",65.19053649902344,TabPFN
"(22.5, 25.0]",85.05119323730469,TabPFN
"(5.0, 7.5]",54.39741897583008,TabPFN
"(7.5, 10.0]",54.31547927856445,TabPFN
nan,87.07006072998047,TabPFN
