iter	MAE	RMSE
0	98.95248297	190.2456997
1	94.97399073	186.5100952
2	92.01501446	183.7214978
3	89.79712507	181.790986
4	88.13735694	180.2000353
5	86.91886243	178.8441859
6	86.09100625	177.965231
7	85.42952783	177.0659768
8	84.94982604	176.5094937
9	84.67033474	176.0493415
10	84.39139807	175.5228695
11	84.0882323	174.8826981
12	83.91134183	174.4537733
13	83.81151286	174.1905503
14	83.719575	173.7283126
15	83.56440255	173.3880775
16	83.35094559	172.7878901
17	83.26757596	172.5226626
18	83.132137	172.2665542
19	83.02512347	172.0650106
20	82.89050424	171.7563578
21	82.82209665	171.4852606
22	82.74927024	171.3122578
23	82.71241553	171.1486685
24	82.67081665	170.9850686
25	82.59123466	170.6593604
26	82.54768465	170.5564893
27	82.4510552	170.3898651
28	82.37137061	170.1306805
29	82.30725844	169.9271425
30	82.21851556	169.6768662
31	82.15144836	169.4659489
32	82.09114241	169.240233
33	82.06335503	169.1504622
34	81.96081003	168.9506168
35	81.84776338	168.6968703
36	81.73904524	168.4372643
37	81.6578949	168.2240477
38	81.5890165	168.05676
39	81.51404553	167.8700812
40	81.44970565	167.728713
41	81.40381568	167.528276
42	81.34019121	167.3855171
43	81.29573232	167.2984547
44	81.21453458	167.1200577
45	81.1584429	166.9883259
46	81.09452773	166.819532
47	81.06134551	166.707712
48	81.03517245	166.5790292
49	80.97411826	166.4140637
50	80.89404758	166.2804826
51	80.87413959	166.2046231
52	80.78703021	166.0132438
53	80.75818683	165.8518105
54	80.69346707	165.6998356
55	80.65388903	165.6225653
56	80.63906191	165.5398436
57	80.61372013	165.4412331
58	80.5590734	165.3339754
59	80.49495461	165.1599558
60	80.47562825	165.1151814
61	80.44900537	165.0469417
62	80.36550513	164.9269835
63	80.34873076	164.8679103
64	80.24450742	164.659951
65	80.18063228	164.5045527
66	80.13829337	164.3935243
67	80.09897012	164.3143895
68	80.03978325	164.1984471
69	80.00925425	164.0796406
70	79.97053491	164.0051139
71	79.93491071	163.8916386
72	79.88522732	163.7672514
73	79.85731519	163.7060264
74	79.8016083	163.5536136
75	79.78159	163.4881204
76	79.73557017	163.4116646
77	79.70011536	163.3087151
78	79.64412865	163.1464047
79	79.618855	163.0183342
80	79.58625351	162.9540055
81	79.50592028	162.7786116
82	79.4468016	162.6757641
83	79.4287421	162.5947152
84	79.3802757	162.5157183
85	79.33847785	162.3886911
86	79.29204397	162.2967276
87	79.27323194	162.216089
88	79.26457161	162.1771388
89	79.19744176	162.0593075
90	79.17325393	161.97177
91	79.12116114	161.8195658
92	79.07013892	161.6686964
93	79.0323364	161.5601704
94	78.97057392	161.4545628
95	78.92771743	161.3738915
96	78.8559823	161.2110392
97	78.81721614	161.1063403
98	78.76444314	161.0282454
99	78.72175709	160.9506843
100	78.67605694	160.8362732
101	78.64238523	160.7562926
102	78.61370283	160.6723459
103	78.56444008	160.5614989
104	78.49998075	160.3977738
105	78.46077394	160.3148104
106	78.39597094	160.1502956
107	78.33661997	159.9800281
108	78.30025244	159.9001552
109	78.23343762	159.7472109
110	78.2084777	159.6237119
111	78.16830507	159.5001467
112	78.13916876	159.4145782
113	78.10092077	159.3350351
114	78.08291002	159.2649071
115	78.01042454	159.1261496
116	77.99051455	159.0692054
117	77.95568188	158.975636
118	77.93151663	158.8483716
119	77.88497481	158.7178894
120	77.85523342	158.6388658
121	77.81791967	158.483178
122	77.76506047	158.3936159
123	77.69493124	158.2765194
124	77.6692292	158.1978019
125	77.63055903	158.0762743
126	77.57507298	157.9886163
127	77.5316999	157.8745623
128	77.50589371	157.817849
129	77.45592208	157.715384
130	77.42604952	157.607324
131	77.38913861	157.5411031
132	77.36590024	157.4590185
133	77.33835455	157.3789878
134	77.29544591	157.2907361
135	77.28317107	157.2137298
136	77.24489622	157.1356832
137	77.20912236	157.0557524
138	77.15680896	156.9595201
139	77.14499135	156.9322984
140	77.10539832	156.8883068
141	77.06882166	156.7650061
142	77.05099969	156.6965427
143	77.0123822	156.6117443
144	76.98336691	156.5422407
145	76.95223346	156.4754285
146	76.90816459	156.3938702
147	76.89371394	156.3533884
148	76.87672261	156.3013184
149	76.86313001	156.2528106
150	76.81658679	156.1606441
151	76.81127529	156.0642532
152	76.77177103	155.987561
153	76.69589881	155.8591207
154	76.67200241	155.7962822
155	76.64101623	155.7455492
156	76.61346437	155.6957042
157	76.59958761	155.6371658
158	76.56889113	155.5768258
159	76.56083051	155.5387844
160	76.51512644	155.4100379
161	76.48778559	155.318476
162	76.45762605	155.2479524
163	76.40372932	155.1543243
164	76.3843321	155.0811271
165	76.33532076	154.9998976
166	76.31742758	154.9280223
167	76.29809959	154.8699227
168	76.26455634	154.8181808
169	76.24258381	154.7664814
170	76.20774676	154.6834846
171	76.16274947	154.5803263
172	76.13684364	154.5113078
173	76.11258605	154.4111345
174	76.08696543	154.3439537
175	76.06219266	154.2858808
176	76.03915488	154.2641374
177	76.02322211	154.2398462
178	75.97775181	154.128698
179	75.95148542	154.0380027
180	75.87609869	153.9169308
181	75.82506641	153.8057258
182	75.78768827	153.7374725
183	75.77931617	153.6739185
184	75.7610672	153.6274361
185	75.73695321	153.5589576
186	75.7215207	153.4977121
187	75.69537633	153.4434609
188	75.66445632	153.3996109
189	75.64884181	153.348225
190	75.62944156	153.2862522
191	75.61433656	153.2363191
192	75.5988882	153.1666602
193	75.56149177	153.0608043
194	75.53258296	152.9387386
195	75.50987145	152.8925786
196	75.46502518	152.7708271
197	75.44417559	152.6904294
198	75.43284761	152.6625027
199	75.41394665	152.5967361
200	75.40362416	152.5552995
201	75.36587079	152.4754478
202	75.32954763	152.4023675
203	75.30502835	152.3100233
204	75.27061335	152.215102
205	75.26202369	152.1471938
206	75.22184589	152.0602366
207	75.19598057	151.9985315
208	75.19059213	151.9744509
209	75.16027401	151.8804985
210	75.11589288	151.7750884
211	75.09006578	151.6985915
212	75.07249864	151.6210489
213	75.04422295	151.5686027
214	75.01440936	151.4809237
215	74.99041041	151.4156285
216	74.97675955	151.3620935
217	74.94915262	151.3158861
218	74.91860749	151.2622207
219	74.89454648	151.2123067
220	74.86584321	151.1693286
221	74.83321712	151.0928845
222	74.80513983	151.031187
