iter	Passed	Remaining
0	16	4310
1	28	3662
2	39	3373
3	50	3205
4	61	3120
5	71	3030
6	82	2958
7	94	2955
8	104	2898
9	113	2828
10	128	2886
11	138	2848
12	148	2813
13	158	2778
14	170	2770
15	181	2759
16	190	2717
17	202	2713
18	212	2681
19	227	2717
20	237	2691
21	248	2674
22	258	2650
23	269	2643
24	279	2619
25	290	2601
26	300	2583
27	309	2551
28	321	2550
29	334	2550
30	344	2537
31	354	2517
32	366	2509
33	377	2499
34	388	2483
35	398	2470
36	414	2487
37	425	2476
38	437	2468
39	448	2456
40	457	2434
41	467	2416
42	477	2397
43	486	2378
44	498	2369
45	509	2357
46	519	2343
47	530	2333
48	542	2325
49	553	2314
50	564	2300
51	574	2285
52	585	2277
53	597	2269
54	612	2272
55	625	2269
56	636	2255
57	647	2242
58	658	2231
59	669	2219
60	679	2205
61	690	2193
62	700	2178
63	711	2168
64	724	2160
65	736	2153
66	747	2141
67	756	2124
68	774	2132
69	785	2120
70	795	2105
71	810	2104
72	821	2093
73	832	2081
74	842	2067
75	853	2054
76	862	2038
77	872	2025
78	882	2010
79	895	2003
80	908	1995
81	921	1988
82	931	1976
83	941	1962
84	953	1951
85	964	1940
86	977	1932
87	988	1920
88	1000	1910
89	1014	1904
90	1026	1894
91	1037	1882
92	1047	1870
93	1058	1857
94	1069	1845
95	1081	1835
96	1091	1823
97	1104	1814
98	1115	1803
99	1127	1792
100	1137	1779
101	1149	1769
102	1159	1756
103	1169	1742
104	1184	1737
105	1200	1733
106	1213	1723
107	1224	1711
108	1234	1699
109	1246	1687
110	1256	1675
111	1267	1662
112	1279	1652
113	1290	1641
114	1302	1631
115	1315	1622
116	1327	1610
117	1338	1598
118	1349	1587
119	1362	1577
120	1377	1570
121	1389	1560
122	1404	1553
123	1416	1542
124	1426	1528
125	1436	1516
126	1446	1503
127	1459	1493
128	1468	1480
129	1481	1470
130	1496	1462
131	1506	1449
132	1520	1440
133	1531	1429
134	1542	1416
135	1552	1404
136	1563	1392
137	1576	1382
138	1587	1370
139	1598	1358
140	1607	1345
141	1620	1335
142	1630	1322
143	1641	1311
144	1653	1299
145	1665	1289
146	1676	1277
147	1689	1266
148	1699	1254
149	1710	1242
150	1721	1230
151	1733	1220
152	1746	1209
153	1757	1198
154	1767	1186
155	1778	1174
156	1793	1165
157	1811	1158
158	1821	1145
159	1831	1133
160	1842	1121
161	1854	1110
162	1865	1098
163	1877	1087
164	1888	1075
165	1901	1065
166	1913	1054
167	1925	1043
168	1938	1032
169	1948	1020
170	1959	1008
171	1971	997
172	1985	987
173	1998	976
174	2010	964
175	2019	952
176	2029	940
177	2038	927
178	2050	916
179	2061	904
180	2074	894
181	2094	886
182	2111	876
183	2120	864
184	2130	852
185	2143	841
186	2153	829
187	2163	816
188	2175	805
189	2194	796
190	2205	785
191	2216	773
192	2227	761
193	2239	750
194	2251	738
195	2262	727
196	2275	716
197	2289	705
198	2299	693
199	2311	681
200	2322	670
201	2334	658
202	2345	646
203	2359	636
204	2371	624
205	2385	613
206	2396	601
207	2408	590
208	2417	578
209	2427	566
210	2437	554
211	2446	542
212	2459	531
213	2470	519
214	2482	508
215	2495	496
216	2508	485
217	2519	473
218	2531	462
219	2544	451
220	2556	439
221	2569	428
222	2583	417
223	2594	405
224	2606	393
225	2618	382
226	2632	371
227	2643	359
228	2654	347
229	2668	336
230	2679	324
231	2691	313
232	2704	301
233	2715	290
234	2727	278
235	2740	267
236	2750	255
237	2764	243
238	2774	232
239	2787	220
240	2798	208
241	2807	197
242	2817	185
243	2828	173
244	2839	162
245	2850	150
246	2862	139
247	2876	127
248	2887	115
249	2899	104
250	2910	92
251	2922	81
252	2933	69
253	2945	57
254	2957	46
255	2969	34
256	2985	23
257	2996	11
258	3006	0
