Model,Hit_Rate,Avg_Delay,Wasted_Traffic
LR,81.85056632578738,0.2217315,64.65943333333334
RF,83.17774691224075,0.222486,122.939
XGBoost,95.8152972741205,0.05708266666666667,17.477766666666668
CatBoost,78.11558090717254,0.27796950000000004,105.77326666666667
NGBoost,89.69165894261279,0.138403,54.476733333333335
TabPFN,67.25263777732285,0.41265183333333333,58.4342
MLP,70.67640787599848,0.4342823333333333,143.54943333333333
ResNet,73.15296700983545,0.454113,145.22883333333334
LSTM,77.72804454775981,0.24482483333333335,59.05466666666667
GRU,58.46566883280786,0.47256349999999997,155.29656666666668
FTT,86.39147748058161,0.19059500000000001,46.7754
TabR,72.15876318470212,0.47189800000000004,151.28956666666667
H-ST-MBAN,90.69595046014709,0.119593,17.6983
