Model,Step,MAE
GRU,0,246.6961881885688
GRU,1,110.13280321390684
GRU,2,90.89008985143847
GRU,3,78.99004326121201
GRU,4,73.46486304610215
GRU,5,70.10440269652169
GRU,6,68.31522906295532
GRU,7,67.10632112348547
GRU,8,65.99559811725959
GRU,9,65.1672734163317
GRU,10,64.39264926845556
GRU,11,63.92511557191949
GRU,12,63.31033406869872
GRU,13,62.96196166620869
GRU,14,62.80262231781684
GRU,15,62.49514332335894
GRU,16,62.01345532430632
GRU,17,61.64158181707076
GRU,18,61.35033868278865
GRU,19,61.35782544561265
GRU,20,61.113133371462894
GRU,21,60.840511350201936
GRU,22,60.71101413523108
GRU,23,60.56470904173909
GRU,24,60.19252534903728
GRU,25,60.86396839593026
GRU,26,60.16191881038956
GRU,27,60.10727419616383
GRU,28,60.18488471664835
GRU,29,60.73985049989136
GRU,30,59.76428123741884
GRU,31,60.0404616047008
GRU,32,59.8945666969147
GRU,33,59.51925661129892
GRU,34,59.71227761803922
GRU,35,59.62760305166982
GRU,36,59.681666261606615
GRU,37,70.40895949226439
GRU,38,60.00791592011803
GRU,39,60.07779274758122
GRU,40,60.12092862229525
GRU,41,59.69822593683699
GRU,42,59.67445858082935
GRU,43,59.381261173266914
GRU,44,59.73159868281262
GRU,45,59.453300736816544
GRU,46,59.45921782538471
GRU,47,59.98888544515733
GRU,48,59.64145605541142
GRU,49,59.65693854383675
GRU,50,59.81285823850202
GRU,51,59.7967514849761
GRU,52,59.29016330143976
GRU,53,59.49351788261899
GRU,54,59.90958305841172
GRU,55,59.88802000124613
GRU,56,59.69442145942237
GRU,57,72.81948404070064
GRU,58,60.00766140128543
GRU,59,60.45035624648526
GRU,60,59.575996038333
GRU,61,59.73191965212897
GRU,62,59.85868837828468
GRU,63,59.726898197259786
GRU,64,59.90447186293807
GRU,65,60.034214660125
GRU,66,60.36238344455344
GRU,67,60.380611021933554
GRU,68,60.28118624547877
GRU,69,60.25961420177143
GRU,70,60.52226817617935
GRU,71,60.70200153250492
GRU,72,60.341522835401705
GRU,73,60.276331316220826
GRU,74,60.540016321556834
GRU,75,60.67933665043231
GRU,76,60.38417176436569
GRU,77,60.1992432632889
GRU,78,60.84970992441719
GRU,79,60.43118271077235
GRU,80,60.85029639611717
GRU,81,60.86459048928325
GRU,82,60.94998789812377
GRU,83,60.905927682702384
GRU,84,61.91525077044618
GRU,85,64.57722894193655
GRU,86,61.22689684927852
GRU,87,61.17707094355493
GRU,88,61.28673638359193
GRU,89,61.37311771890417
GRU,90,61.69781397878537
GRU,91,61.922385061132445
GRU,92,63.23815453976125
GRU,93,61.2212854029805
GRU,94,61.446280400472254
GRU,95,62.15651450387899
GRU,96,61.92480024415436
GRU,97,62.27047685885618
GRU,98,61.53739924089683
GRU,99,62.19467485493725
GRU,100,63.27454713820583
GRU,101,62.68329532192588
GRU,102,63.60450898734056
GRU,103,62.23916557563393
GRU,104,62.292167375139
GRU,105,62.27867984905805
GRU,106,66.555198434824
GRU,107,63.19684874931303
GRU,108,72.71952968234771
GRU,109,80.00849947119194
GRU,110,75.7736300116945
GRU,111,81.43507478200647
GRU,112,70.67816592870517
GRU,113,63.76526344147005
GRU,114,63.64331861604062
GRU,115,65.29089979846182
GRU,116,65.11265903183393
GRU,117,64.85399795266609
GRU,118,63.42651045793819
GRU,119,65.85262520848777
GRU,120,64.66046913142877
GRU,121,65.37819104608937
GRU,122,67.70706724609225
GRU,123,69.5752615383202
GRU,124,65.32784946264475
GRU,125,65.22693571607161
GRU,126,77.6574508016794
GRU,127,66.70349339828672
GRU,128,66.5105874442435
GRU,129,66.23831162950366
GRU,130,65.86030465774456
GRU,131,70.46658429336226
GRU,132,67.42592558384564
GRU,133,66.95055934232893
GRU,134,68.31754397114881
GRU,135,67.5632984043097
GRU,136,66.2560611228624
GRU,137,68.7362804963287
GRU,138,69.43660209470298
GRU,139,67.1489086194515
GRU,140,68.30577864090738
GRU,141,83.96196855589069
GRU,142,68.36921443945548
GRU,143,67.73656102620716
GRU,144,67.37944486836514
GRU,145,68.44393171785933
GRU,146,68.84544136700877
GRU,147,68.43336569154035
GRU,148,68.17395473538828
GRU,149,68.12995617762839
GRU,150,69.59243626744588
GRU,151,68.28127925618594
