Model,Step,MAE
MLP,0,246.73164868293244
MLP,1,86.22543948183201
MLP,2,59.55955231445388
MLP,3,57.56087278691432
MLP,4,56.76408171122927
MLP,5,56.306033534179214
MLP,6,55.95750943387184
MLP,7,55.53713753283083
MLP,8,55.19859937757215
MLP,9,55.42636387745712
MLP,10,54.63830345175066
MLP,11,54.39741118700634
MLP,12,54.69087786630742
MLP,13,53.721132107555725
MLP,14,54.45988382797922
MLP,15,53.423074503623376
MLP,16,53.27916192709798
MLP,17,53.35896069546248
MLP,18,53.08240399178191
MLP,19,52.91986271360011
MLP,20,52.658834729109685
MLP,21,53.95901675151293
MLP,22,52.4051040162253
MLP,23,52.67814086623872
MLP,24,52.437894883622285
MLP,25,52.2599701686754
MLP,26,53.42818285335881
MLP,27,52.47687113778405
MLP,28,52.18750866202775
MLP,29,51.669309916469096
MLP,30,53.37245346369277
MLP,31,51.54219740516602
MLP,32,53.73086645439789
MLP,33,51.01331104038592
MLP,34,51.0648544240146
MLP,35,54.34557831192007
MLP,36,51.93721203126199
MLP,37,53.20471831385317
MLP,38,51.2304509516548
MLP,39,52.16277719986548
MLP,40,50.40770167597007
MLP,41,50.50209361460277
MLP,42,50.265878470402725
MLP,43,50.674867468479206
MLP,44,51.67765699089044
MLP,45,50.42739970120747
MLP,46,50.61411210571049
MLP,47,50.72270774787678
MLP,48,49.94575713411595
MLP,49,49.46636991441617
MLP,50,51.27289486265369
MLP,51,51.15731313285224
MLP,52,49.72132469413806
MLP,53,49.19183323554645
MLP,54,49.82478380377547
MLP,55,49.31292141888308
MLP,56,49.05324268874933
MLP,57,49.00084458514928
MLP,58,48.89820414946576
MLP,59,48.95521983777096
MLP,60,48.762489146254566
MLP,61,50.34869569332967
MLP,62,50.5357383782048
MLP,63,50.2876181131138
MLP,64,49.100182990952746
MLP,65,50.18649480537946
MLP,66,49.61415424260628
MLP,67,48.4706291108436
MLP,68,49.07559254260819
MLP,69,50.4870670184332
MLP,70,48.60073898329861
MLP,71,48.11022942041998
MLP,72,47.96910861294126
MLP,73,49.89921378743194
MLP,74,50.33446745154457
MLP,75,49.071218792736
MLP,76,47.75036705030546
MLP,77,50.82901766314767
MLP,78,47.82882063321969
MLP,79,49.74882912849717
MLP,80,47.4243179664135
MLP,81,48.6926819894526
MLP,82,47.67852401743149
MLP,83,50.89535646415928
MLP,84,49.51418465705759
MLP,85,49.73422911847218
MLP,86,47.519204589207206
MLP,87,50.48836537401587
MLP,88,47.66804878014685
MLP,89,48.16294217779453
MLP,90,48.20089229370095
MLP,91,47.33823266276424
MLP,92,50.52635058736037
MLP,93,47.68504482686728
MLP,94,49.12594343710859
MLP,95,47.176319044598806
MLP,96,48.02828738680952
MLP,97,49.87266487208756
MLP,98,47.08121934091505
MLP,99,48.5646537745073
MLP,100,48.74627762462936
MLP,101,47.51318730069848
MLP,102,47.45140405229129
MLP,103,46.92538898745239
MLP,104,47.64240465978151
MLP,105,48.647448955444325
MLP,106,47.20614038416068
MLP,107,50.09838136406917
MLP,108,47.08843476010327
MLP,109,50.21174209503847
MLP,110,49.406404718293885
MLP,111,47.267315393466745
MLP,112,46.72397812036694
MLP,113,48.62720949106618
MLP,114,48.57479943037308
MLP,115,47.136022342939214
MLP,116,46.52371670685981
MLP,117,47.968545905651695
MLP,118,48.61447066872652
MLP,119,48.90451215260027
MLP,120,46.26121205882071
MLP,121,48.16274439898808
MLP,122,46.671079641129445
MLP,123,46.16338691176095
MLP,124,47.915609083836046
MLP,125,48.85666193808153
MLP,126,47.307871906033526
MLP,127,46.592575958244936
MLP,128,48.86163144574685
MLP,129,46.50656651598566
MLP,130,46.10831733396066
MLP,131,46.02488503217582
MLP,132,45.83872532495335
MLP,133,48.23179920750684
MLP,134,48.31923461424172
MLP,135,46.30744876472994
MLP,136,46.25848606626716
MLP,137,46.16999521516577
MLP,138,46.76146854969997
MLP,139,46.16710307144021
MLP,140,47.76093432475525
MLP,141,45.98701459693962
MLP,142,46.54759791735896
MLP,143,46.04112121686562
MLP,144,47.87330379024373
MLP,145,45.988147250677386
MLP,146,48.62249914528003
MLP,147,47.444793477288414
MLP,148,46.18977179775568
MLP,149,48.983653979799854
MLP,150,46.66544203400986
MLP,151,47.7248100245073
MLP,152,47.7388291794209
MLP,153,46.20223847765586
MLP,154,48.01815855574692
MLP,155,46.15711103551322
MLP,156,47.703396343635774
MLP,157,45.75690206346975
MLP,158,47.77983444493527
MLP,159,46.65290975235487
MLP,160,46.23805159393292
MLP,161,47.53557147815432
MLP,162,47.39908637823995
MLP,163,47.74124665900348
MLP,164,47.26457584621272
MLP,165,47.39120954957855
MLP,166,46.86775357724272
MLP,167,45.50916869396392
MLP,168,45.54957098748913
MLP,169,47.35405619044919
MLP,170,48.73914588012992
MLP,171,47.24519544530112
MLP,172,45.40229964105755
MLP,173,47.05779115197081
MLP,174,46.54871923806907
MLP,175,45.572007561475935
MLP,176,47.31433954509726
MLP,177,45.22341521337645
MLP,178,46.26968901373304
MLP,179,45.025385482701104
MLP,180,46.50037923206207
MLP,181,45.89180358495118
MLP,182,46.66457677981455
MLP,183,45.30317129566761
MLP,184,46.22553648655773
MLP,185,46.5559612174807
MLP,186,47.1344169471799
MLP,187,46.70262894289512
MLP,188,46.54301523039096
MLP,189,45.44248328702935
MLP,190,45.070723085107744
MLP,191,47.28400572302919
MLP,192,46.72117202277869
MLP,193,46.0076810219016
MLP,194,46.35917659712814
MLP,195,46.342677556092
MLP,196,45.12283698932479
MLP,197,44.91852786267286
MLP,198,45.15441729465952
MLP,199,47.66193990380007
MLP,200,47.129033659192
