Model,Step,MAE
ResNet,0,246.759158484254
ResNet,1,233.9437517373981
ResNet,2,213.2947449899031
ResNet,3,179.73296640950514
ResNet,4,146.28869714715242
ResNet,5,108.59878870403683
ResNet,6,88.0764885507464
ResNet,7,79.26653104310984
ResNet,8,70.6229861409553
ResNet,9,64.4372807783064
ResNet,10,61.25833986022533
ResNet,11,58.89181816311891
ResNet,12,57.5571777705708
ResNet,13,56.11363941361417
ResNet,14,55.060962926920645
ResNet,15,54.48280205564147
ResNet,16,53.74629559771287
ResNet,17,54.71445360927475
ResNet,18,52.67844136620997
ResNet,19,52.19487647798657
ResNet,20,51.97554182855755
ResNet,21,51.322741013058845
ResNet,22,50.72642735239705
ResNet,23,50.39434432993149
ResNet,24,50.24089977849173
ResNet,25,49.7095024740948
ResNet,26,49.86063176786445
ResNet,27,51.00404092331325
ResNet,28,49.587929816307096
ResNet,29,48.91376095159889
ResNet,30,48.45946185991858
ResNet,31,49.42114821343556
ResNet,32,48.10706331198397
ResNet,33,48.29953851112574
ResNet,34,49.61728750023964
ResNet,35,47.55278265269932
ResNet,36,47.25710885378058
ResNet,37,47.42935964100164
ResNet,38,55.29198367524795
ResNet,39,46.92479777285537
ResNet,40,46.61108736056881
ResNet,41,53.86076716509356
ResNet,42,46.36875465303162
ResNet,43,46.67298408902827
ResNet,44,46.447924238660185
ResNet,45,46.444344150200656
ResNet,46,50.53623658209465
ResNet,47,47.09550941509995
ResNet,48,46.0768264447164
ResNet,49,46.16143161501336
ResNet,50,47.423992179312265
ResNet,51,45.57029138162687
ResNet,52,45.53974358001457
ResNet,53,46.25749113128179
ResNet,54,45.23154973112267
ResNet,55,45.29092935419915
ResNet,56,45.88279582497252
ResNet,57,45.08251654821739
ResNet,58,45.27789157957044
ResNet,59,46.46352757110951
ResNet,60,45.44444609752435
ResNet,61,44.665724461047134
ResNet,62,48.35789044826468
ResNet,63,44.71274089922932
ResNet,64,44.70853399948238
ResNet,65,46.60879072501022
ResNet,66,45.66376569449592
ResNet,67,45.96627977440984
ResNet,68,44.77570485441004
ResNet,69,46.02382169962264
ResNet,70,45.14300223984561
ResNet,71,44.49066625321918
ResNet,72,46.34844022591766
ResNet,73,44.17855829110324
ResNet,74,46.19054124543084
ResNet,75,44.835792916528206
ResNet,76,47.58096242567132
ResNet,77,46.85874679080609
ResNet,78,44.43817593771568
ResNet,79,44.08603053566978
ResNet,80,45.34684875929808
ResNet,81,44.50115462083983
ResNet,82,43.8696298423481
ResNet,83,44.404683046669305
ResNet,84,43.957248299946
ResNet,85,43.79450330185514
ResNet,86,44.27057880617986
ResNet,87,44.73433034188
ResNet,88,45.24540318419135
ResNet,89,44.35880233262666
ResNet,90,44.69652308702487
ResNet,91,43.80282146956718
ResNet,92,44.86192423226975
ResNet,93,44.53310067842399
ResNet,94,44.51318335660515
ResNet,95,44.2534591945103
ResNet,96,45.92108338552184
ResNet,97,45.96968821992184
ResNet,98,45.01568268860554
ResNet,99,43.98792326112414
ResNet,100,43.56457284570627
ResNet,101,43.44139916061706
ResNet,102,43.79809854262257
ResNet,103,44.17593267322857
ResNet,104,46.2835694513896
ResNet,105,46.41684995051411
ResNet,106,45.45918257817093
ResNet,107,44.363054839073
ResNet,108,45.10396577585408
ResNet,109,45.1083845333229
ResNet,110,45.037650664365046
ResNet,111,45.50701154950347
ResNet,112,44.33942779792982
ResNet,113,43.56214348391848
ResNet,114,43.03248559956609
ResNet,115,44.06372082169742
ResNet,116,45.48685900495418
ResNet,117,45.26095544312837
ResNet,118,44.38040166047328
ResNet,119,42.90903026128071
ResNet,120,43.22767153910304
ResNet,121,45.23692737755937
ResNet,122,43.47151348640276
ResNet,123,43.37263768779875
ResNet,124,43.09651840403812
ResNet,125,42.95247889261043
ResNet,126,45.19770381876102
ResNet,127,42.81275506801015
ResNet,128,42.86196586991322
ResNet,129,44.67908527688933
ResNet,130,43.3183471932434
ResNet,131,44.94591270113877
ResNet,132,43.07601456059405
ResNet,133,45.36556907375515
ResNet,134,43.50375180629489
ResNet,135,43.85085905348151
ResNet,136,44.39935312875438
ResNet,137,44.889261292288666
ResNet,138,44.91891930145414
ResNet,139,42.50174798222182
ResNet,140,44.432531940166406
ResNet,141,42.6985499515925
ResNet,142,43.12605794062812
ResNet,143,43.750811085318624
ResNet,144,43.4741868327992
ResNet,145,42.82732467356886
ResNet,146,44.23749687468048
ResNet,147,43.70206106834405
ResNet,148,42.92566874348975
ResNet,149,44.75913491954449
ResNet,150,43.36291514827394
ResNet,151,44.804604499301846
ResNet,152,44.88885724738631
ResNet,153,44.31991060188262
ResNet,154,43.23655069168414
ResNet,155,42.86460501752576
ResNet,156,42.92412233439202
ResNet,157,42.73719088293372
ResNet,158,42.79787590105059
ResNet,159,43.4568085834654
ResNet,160,42.53733174198321
ResNet,161,44.096088023575895
ResNet,162,43.93834203896245
ResNet,163,43.47983779491833
ResNet,164,42.622181321253294
ResNet,165,42.612557034585
ResNet,166,43.3428780558236
ResNet,167,44.31283394987666
ResNet,168,43.62274517682319
ResNet,169,42.55819824231232
ResNet,170,44.05283282755745
ResNet,171,42.4957506887685
ResNet,172,43.25375981929462
ResNet,173,43.17030360332366
ResNet,174,42.792492088847744
ResNet,175,44.44286159547462
ResNet,176,45.83670380238555
ResNet,177,42.63182150910796
ResNet,178,44.211738550347
ResNet,179,44.347765261744016
ResNet,180,43.948462532511314
ResNet,181,42.37250059311176
ResNet,182,42.44317065762314
ResNet,183,42.87678567577196
ResNet,184,43.53097825696237
ResNet,185,43.47850284414061
ResNet,186,43.52197688741341
ResNet,187,43.88814311686818
ResNet,188,43.40784291445132
ResNet,189,43.25895483923277
ResNet,190,42.46437779781
ResNet,191,44.21053769874237
ResNet,192,42.56233789277179
