Step,Model,MAE
0,TabPFN,246.90456
1,TabPFN,166.33824
2,TabPFN,85.77193
3,TabPFN,83.207794
4,TabPFN,80.64366
5,TabPFN,80.72099
6,TabPFN,80.79832
7,TabPFN,81.34015
8,TabPFN,81.88199
9,TabPFN,81.05149
10,TabPFN,80.22099
11,TabPFN,79.2193
12,TabPFN,78.217606
13,TabPFN,78.82838
14,TabPFN,79.43915
15,TabPFN,79.29361
16,TabPFN,79.14807
17,TabPFN,78.73338
18,TabPFN,78.318695
19,TabPFN,78.018234
20,TabPFN,77.71777
21,TabPFN,77.59938
22,TabPFN,77.48099
23,TabPFN,77.3626
24,TabPFN,77.24421
25,TabPFN,77.12582
26,TabPFN,77.00742
27,TabPFN,76.88903
28,TabPFN,76.770645
29,TabPFN,76.65225
30,TabPFN,76.53386
31,TabPFN,76.41547
32,TabPFN,76.29707
33,TabPFN,76.17869
34,TabPFN,76.060295
35,TabPFN,75.9419
36,TabPFN,75.82351
37,TabPFN,75.70512
38,TabPFN,75.58673
39,TabPFN,75.46834
40,TabPFN,75.349945
41,TabPFN,75.12673
42,TabPFN,74.90351
43,TabPFN,74.6803
44,TabPFN,74.45708
45,TabPFN,74.233864
46,TabPFN,74.01064
47,TabPFN,73.78743
48,TabPFN,73.56421
49,TabPFN,73.340996
50,TabPFN,73.11778
51,TabPFN,72.89456
52,TabPFN,72.67135
53,TabPFN,72.44813
54,TabPFN,72.224915
55,TabPFN,72.00169
56,TabPFN,71.77848
57,TabPFN,71.55526
58,TabPFN,71.33205
59,TabPFN,71.108826
60,TabPFN,70.88561
61,TabPFN,70.796844
62,TabPFN,70.70808
63,TabPFN,70.61931
64,TabPFN,70.53054
65,TabPFN,70.44177
66,TabPFN,70.353004
67,TabPFN,70.26424
68,TabPFN,70.17547
69,TabPFN,70.0867
70,TabPFN,69.99794
71,TabPFN,69.90917
72,TabPFN,69.820404
73,TabPFN,69.731636
74,TabPFN,69.64287
75,TabPFN,69.5541
76,TabPFN,69.46533
77,TabPFN,69.376564
78,TabPFN,69.287796
79,TabPFN,69.19903
80,TabPFN,69.11026
81,TabPFN,69.07216
82,TabPFN,69.03406
83,TabPFN,68.99596
84,TabPFN,68.957855
85,TabPFN,68.919754
86,TabPFN,68.88166
87,TabPFN,68.84356
88,TabPFN,68.80546
89,TabPFN,68.76736
90,TabPFN,68.729256
91,TabPFN,68.691154
92,TabPFN,68.65305
93,TabPFN,68.61495
94,TabPFN,68.57685
95,TabPFN,68.53876
96,TabPFN,68.500656
97,TabPFN,68.462555
98,TabPFN,68.42445
99,TabPFN,68.38635
100,TabPFN,68.34825
101,TabPFN,68.28459
102,TabPFN,68.220924
103,TabPFN,68.157265
104,TabPFN,68.093605
105,TabPFN,68.02994
106,TabPFN,67.96628
107,TabPFN,67.90262
108,TabPFN,67.83895
109,TabPFN,67.77529
110,TabPFN,67.711624
111,TabPFN,67.647964
112,TabPFN,67.584305
113,TabPFN,67.52064
114,TabPFN,67.45698
115,TabPFN,67.39332
116,TabPFN,67.32965
117,TabPFN,67.26599
118,TabPFN,67.20233
119,TabPFN,67.138664
120,TabPFN,67.075005
121,TabPFN,67.03683
122,TabPFN,66.99866
123,TabPFN,66.96048
124,TabPFN,66.9223
125,TabPFN,66.884125
126,TabPFN,66.845955
127,TabPFN,66.80778
128,TabPFN,66.7696
129,TabPFN,66.73143
130,TabPFN,66.69325
131,TabPFN,66.655075
132,TabPFN,66.616905
133,TabPFN,66.57873
134,TabPFN,66.54055
135,TabPFN,66.50238
136,TabPFN,66.4642
137,TabPFN,66.426025
138,TabPFN,66.38785
139,TabPFN,66.34968
140,TabPFN,66.3115
141,TabPFN,66.23676
142,TabPFN,66.162025
143,TabPFN,66.08729
144,TabPFN,66.01254
145,TabPFN,65.937805
146,TabPFN,65.86307
147,TabPFN,65.78833
148,TabPFN,65.71359
149,TabPFN,65.638855
150,TabPFN,65.56412
151,TabPFN,65.48937
152,TabPFN,65.414635
153,TabPFN,65.3399
154,TabPFN,65.26516
155,TabPFN,65.19042
156,TabPFN,65.115685
157,TabPFN,65.04094
158,TabPFN,64.9662
159,TabPFN,64.891464
160,TabPFN,64.81673
161,TabPFN,64.87037
162,TabPFN,64.92401
163,TabPFN,64.97765
164,TabPFN,65.031296
165,TabPFN,65.08494
166,TabPFN,65.13858
167,TabPFN,65.19222
168,TabPFN,65.245865
169,TabPFN,65.29951
170,TabPFN,65.35315
171,TabPFN,65.40679
172,TabPFN,65.460434
173,TabPFN,65.51408
174,TabPFN,65.56772
175,TabPFN,65.62136
176,TabPFN,65.675
177,TabPFN,65.728645
178,TabPFN,65.78229
179,TabPFN,65.83593
180,TabPFN,65.88957
181,TabPFN,65.87349
182,TabPFN,65.857414
183,TabPFN,65.84133
184,TabPFN,65.82526
185,TabPFN,65.80917
186,TabPFN,65.7931
187,TabPFN,65.777016
188,TabPFN,65.76094
189,TabPFN,65.74486
190,TabPFN,65.728775
191,TabPFN,65.7127
192,TabPFN,65.69662
193,TabPFN,65.68054
194,TabPFN,65.66446
195,TabPFN,65.648384
196,TabPFN,65.6323
197,TabPFN,65.61623
198,TabPFN,65.60014
199,TabPFN,65.58407
200,TabPFN,65.567986
