Model,Step,MAE
TabR,0,246.76018494702333
TabR,1,75.0270653169813
TabR,2,57.87818832516423
TabR,3,58.21410630439853
TabR,4,54.95897189369201
TabR,5,54.87324562734848
TabR,6,54.35042535299136
TabR,7,52.9418648631809
TabR,8,52.57937175785544
TabR,9,52.93923969463332
TabR,10,51.57708805293193
TabR,11,50.69362897125265
TabR,12,50.08547204706232
TabR,13,49.94516689306095
TabR,14,49.82129807400437
TabR,15,49.35312391162994
TabR,16,49.04595482804951
TabR,17,48.260147827613366
TabR,18,47.86884366972023
TabR,19,47.97779445502415
TabR,20,49.20393848172976
TabR,21,47.16349440078538
TabR,22,46.66609036307226
TabR,23,54.56783146559712
TabR,24,46.54387549206309
TabR,25,46.06103684122658
TabR,26,46.05431415911531
TabR,27,47.97748901245495
TabR,28,45.58583455417168
TabR,29,45.71214209599704
TabR,30,45.32998536391899
TabR,31,44.94679797535211
TabR,32,45.65971538523907
TabR,33,45.13019881425577
TabR,34,44.49059905385695
TabR,35,44.45984561021415
TabR,36,44.97661879069905
TabR,37,44.472402480045886
TabR,38,48.76511855844687
TabR,39,44.464220483404056
TabR,40,43.87719775863667
TabR,41,43.71353431101582
TabR,42,43.61570566918982
TabR,43,43.4338054829088
TabR,44,44.14677274313988
TabR,45,48.06189675342208
TabR,46,43.53120995996396
TabR,47,43.662092799822986
TabR,48,47.73457360257279
TabR,49,43.55137353798951
TabR,50,46.30122987813451
TabR,51,43.24651536858401
TabR,52,45.9660067582788
TabR,53,42.95922164466495
TabR,54,47.28067184085114
TabR,55,43.90029761429283
TabR,56,42.62992507420886
TabR,57,43.0519698699228
TabR,58,42.83576603179079
TabR,59,42.194861799968365
TabR,60,43.6912252710341
TabR,61,42.58132690482733
TabR,62,43.329460799506656
TabR,63,43.2030736269363
TabR,64,42.40241284652105
TabR,65,42.237045550583446
TabR,66,42.323418099054855
TabR,67,42.50828619060096
TabR,68,42.78267693801762
TabR,69,42.236662673979446
TabR,70,46.85290875884276
TabR,71,41.8372791407588
TabR,72,44.99531406765228
TabR,73,41.748803092488686
TabR,74,42.22376431556101
TabR,75,43.28570682545819
TabR,76,41.72657236023331
TabR,77,41.87846021797756
TabR,78,41.74967863128179
TabR,79,42.25431730939744
TabR,80,41.69282964332616
TabR,81,42.06651174201516
TabR,82,44.32214520534048
TabR,83,42.88788148369002
TabR,84,41.39680289797999
TabR,85,41.47696040409882
TabR,86,41.90049451940774
TabR,87,41.52499524212539
TabR,88,42.18748364948653
TabR,89,44.54952538078973
TabR,90,44.81254910146564
TabR,91,44.966867494240624
TabR,92,41.86517072032923
TabR,93,42.48123814774993
TabR,94,43.30417806293296
TabR,95,41.92845015305079
TabR,96,41.23116425840661
TabR,97,41.610599116762735
TabR,98,42.36297880294471
TabR,99,42.6829126200602
TabR,100,41.01591124631752
TabR,101,42.08905480652175
TabR,102,41.27654414748473
TabR,103,41.84926948402073
TabR,104,42.14984758825183
TabR,105,41.08134952095742
TabR,106,41.07032430731736
TabR,107,40.723128143292605
TabR,108,40.81613141159799
TabR,109,40.58452042221569
TabR,110,40.78007865420746
TabR,111,40.4951404526581
TabR,112,41.47801512454947
TabR,113,40.826922151386086
TabR,114,40.71585615881656
TabR,115,40.80419428863334
TabR,116,40.7392229896507
TabR,117,43.95605271545334
TabR,118,40.74207267196646
TabR,119,40.77553777962124
TabR,120,41.87967806912368
TabR,121,41.3131175751195
TabR,122,40.47646861560128
TabR,123,42.33418914333893
TabR,124,40.94298418688172
TabR,125,40.54458842437565
TabR,126,43.11850902089032
TabR,127,40.34209238244805
TabR,128,42.25994106226515
TabR,129,42.41447937568697
TabR,130,42.77878761267127
TabR,131,40.89576797288381
TabR,132,40.61832337391522
TabR,133,41.356902303110864
TabR,134,41.39207338090476
TabR,135,40.573683551513255
TabR,136,40.22287247617968
TabR,137,40.91263748410381
TabR,138,40.59084799604113
TabR,139,40.692220830084864
TabR,140,40.51436084320122
TabR,141,40.128376992615856
TabR,142,40.17224037781019
TabR,143,41.11365703722106
TabR,144,42.76809280421641
TabR,145,41.5302901374901
TabR,146,40.30331550470016
TabR,147,41.68444375203695
TabR,148,40.72336858320978
TabR,149,40.35605324965332
TabR,150,40.65242098433386
TabR,151,40.13705409778316
TabR,152,41.57890253556274
TabR,153,40.30788655908911
TabR,154,40.50270684622709
TabR,155,41.08426268320563
TabR,156,40.43186284220751
TabR,157,41.7285749611382
TabR,158,40.32108239700225
TabR,159,40.30069555333932
TabR,160,40.32491950055597
TabR,161,41.46238448299826
TabR,162,40.29388884706264
TabR,163,40.38775607150731
TabR,164,40.23750938095109
TabR,165,40.67715479298203
TabR,166,41.06822138165883
TabR,167,40.13585030058984
TabR,168,40.17207749674088
TabR,169,40.641081716022086
TabR,170,40.430033182306175
TabR,171,40.44453738581101
TabR,172,40.38425189436301
TabR,173,40.39362957534796
TabR,174,40.292384749599
TabR,175,40.357549134416296
TabR,176,40.24137117253201
TabR,177,40.9231593265925
TabR,178,42.37174212898763
TabR,179,40.677287793800005
TabR,180,41.34490092637267
TabR,181,40.47522145834398
TabR,182,40.69748025357225
TabR,183,40.15462458422267
TabR,184,40.05208170244242
TabR,185,40.60697888841671
TabR,186,40.51043137796835
TabR,187,41.35267228798152
TabR,188,40.72869964940505
TabR,189,40.054498208482975
TabR,190,41.30123297349889
TabR,191,40.80841806310869
TabR,192,40.40191374397702
TabR,193,40.48663032242913
TabR,194,42.082074310512574
TabR,195,40.02827929892194
TabR,196,40.80050329127099
TabR,197,40.64997579624754
TabR,198,40.19259199922197
TabR,199,40.78371455907633
TabR,200,39.98160250209287
