Queue_Size,Validation_MAE,MAE_Std_Dev,Update_Delay_Samples,Update_Delay_Minutes
1000,20.68911256790161,0.7255288421713953,1000,8.0
2000,20.568995221455893,0.48069465122963995,2000,15.67
3000,20.393883514404298,0.3846611131449768,3000,24.86
4000,20.72892214457194,0.3548638364256005,4000,34.0
5000,20.333428064982098,0.2911154487529079,5000,42.67
6000,20.651261138916016,0.2709912877676931,6000,49.79
7000,20.949300527572632,0.24223867731506593,7000,59.0
8000,21.29539462498256,0.23225347955514417,8000,65.98
9000,21.508996327718098,0.2158515676573233,9000,74.65
10000,21.32672659556071,0.20226382573445637,10000,83.33
