Model,Round,Cumulative_Samples,MAE
LR,-1,0,51.871360778808594
LR,0,5000,51.20912170410156
LR,1,10000,48.16624450683594
LR,2,15000,44.63936996459961
LR,3,20000,54.419898986816406
LR,4,25000,49.345916748046875
LR,5,30000,50.556602478027344
LR,6,35000,46.977508544921875
LR,7,40000,54.58317184448242
LR,8,45000,55.009193420410156
LR,9,50000,55.370330810546875
LR,10,55000,57.412567138671875
LR,11,60000,54.76642990112305
RF,-1,0,84.50053895138748
RF,0,5000,89.20735233113689
RF,1,10000,88.45005242087865
RF,2,15000,67.59555183538832
RF,3,20000,84.74986680881113
RF,4,25000,78.91131643205165
RF,5,30000,82.2860632671505
RF,6,35000,72.13070240250622
RF,7,40000,86.93392219345452
RF,8,45000,95.98247238126596
RF,9,50000,91.3538369134375
RF,10,55000,89.87767729890042
RF,11,60000,86.52765313166803
XGBoost,-1,0,71.43569946289062
XGBoost,0,5000,74.19910430908203
XGBoost,1,10000,72.81024169921875
XGBoost,2,15000,81.17779541015625
XGBoost,3,20000,72.82548522949219
XGBoost,4,25000,73.16236877441406
XGBoost,5,30000,71.73258972167969
XGBoost,6,35000,74.9144287109375
XGBoost,7,40000,69.10396575927734
XGBoost,8,45000,63.735069274902344
XGBoost,9,50000,64.8236312866211
XGBoost,10,55000,66.09288024902344
XGBoost,11,60000,72.65077209472656
CatBoost,-1,0,75.03234052651543
CatBoost,0,5000,77.9228262715109
CatBoost,1,10000,78.31190473942101
CatBoost,2,15000,63.96909314852569
CatBoost,3,20000,80.87569885424706
CatBoost,4,25000,71.17988045489548
CatBoost,5,30000,70.55391689309084
CatBoost,6,35000,65.21640971002027
CatBoost,7,40000,80.6015177670759
CatBoost,8,45000,77.33095802038738
CatBoost,9,50000,79.08292731785471
CatBoost,10,55000,78.90185351111023
CatBoost,11,60000,76.44109963004578
NGBoost,-1,0,42.2636180620891
NGBoost,0,5000,41.07953239350017
NGBoost,1,10000,37.682577928363465
NGBoost,2,15000,32.84037715371988
NGBoost,3,20000,46.369726187819154
NGBoost,4,25000,38.61883472306403
NGBoost,5,30000,40.22280274367927
NGBoost,6,35000,36.71488391900688
NGBoost,7,40000,44.54890678024471
NGBoost,8,45000,48.59811475109111
NGBoost,9,50000,48.708565061980266
NGBoost,10,55000,47.914988484416966
NGBoost,11,60000,43.86410661818335
TabPFN,-1,0,65.5483258357792
TabPFN,0,5000,65.51077663601532
TabPFN,1,10000,65.53151913012613
TabPFN,2,15000,65.66188386888162
TabPFN,3,20000,65.93437105904565
TabPFN,4,25000,64.83014332270889
TabPFN,5,30000,66.67982515788273
TabPFN,6,35000,65.50570932279435
TabPFN,7,40000,66.0280720690301
TabPFN,8,45000,65.20783648339301
TabPFN,9,50000,64.61275325863284
TabPFN,10,55000,65.25805346173263
TabPFN,11,60000,65.84129661462995
MLP,-1,0,64.00969696044922
MLP,0,5000,66.3213119506836
MLP,1,10000,101.58128356933594
MLP,2,15000,101.3501968383789
MLP,3,20000,151.14132690429688
MLP,4,25000,84.84906005859375
MLP,5,30000,108.97564697265625
MLP,6,35000,102.52352142333984
MLP,7,40000,118.80038452148438
MLP,8,45000,97.52204132080078
MLP,9,50000,106.3780746459961
MLP,10,55000,85.7010726928711
MLP,11,60000,85.74241638183594
ResNet,-1,0,51.89255142211914
ResNet,0,5000,55.91603469848633
ResNet,1,10000,111.70156860351562
ResNet,2,15000,113.63422393798828
ResNet,3,20000,149.84051513671875
ResNet,4,25000,90.68498992919922
ResNet,5,30000,123.07907104492188
ResNet,6,35000,113.58061981201172
ResNet,7,40000,115.0929183959961
ResNet,8,45000,89.1617202758789
ResNet,9,50000,107.22572326660156
ResNet,10,55000,93.59626007080078
ResNet,11,60000,79.44310760498047
LSTM,-1,0,52.37974166870117
LSTM,0,5000,52.9128303527832
LSTM,1,10000,51.74662399291992
LSTM,2,15000,56.0222282409668
LSTM,3,20000,53.4854621887207
LSTM,4,25000,52.73292922973633
LSTM,5,30000,52.88258743286133
LSTM,6,35000,54.70909881591797
LSTM,7,40000,50.214019775390625
LSTM,8,45000,46.82694625854492
LSTM,9,50000,49.21625900268555
LSTM,10,55000,50.387210845947266
LSTM,11,60000,53.58456039428711
GRU,-1,0,105.8176040649414
GRU,0,5000,109.67704772949219
GRU,1,10000,108.83584594726562
GRU,2,15000,118.2734603881836
GRU,3,20000,105.87110900878906
GRU,4,25000,107.85232543945312
GRU,5,30000,105.72599792480469
GRU,6,35000,109.32899475097656
GRU,7,40000,101.87659454345703
GRU,8,45000,95.95266723632812
GRU,9,50000,96.56332397460938
GRU,10,55000,97.66998291015625
GRU,11,60000,105.83817291259766
FTT,-1,0,60.6068115234375
FTT,0,5000,62.196510314941406
FTT,1,10000,51.9946174621582
FTT,2,15000,41.19291305541992
FTT,3,20000,52.88875961303711
FTT,4,25000,40.55662536621094
FTT,5,30000,37.3027458190918
FTT,6,35000,33.47321319580078
FTT,7,40000,37.43825912475586
FTT,8,45000,36.207088470458984
FTT,9,50000,33.54398727416992
FTT,10,55000,31.545936584472656
FTT,11,60000,29.058237075805664
TabR,-1,0,56.69306564331055
TabR,0,5000,58.90662384033203
TabR,1,10000,103.35591125488281
TabR,2,15000,112.12177276611328
TabR,3,20000,166.28736877441406
TabR,4,25000,79.1536636352539
TabR,5,30000,111.30931854248047
TabR,6,35000,120.12548065185547
TabR,7,40000,127.66737365722656
TabR,8,45000,93.9123306274414
TabR,9,50000,115.76676177978516
TabR,10,55000,97.26847076416016
TabR,11,60000,90.63818359375
H-ST-MBAN,-1,0,58.38993835449219
H-ST-MBAN,0,5000,31.758262634277344
H-ST-MBAN,1,10000,24.015287399291992
H-ST-MBAN,2,15000,22.1374568939209
H-ST-MBAN,3,20000,20.55318069458008
H-ST-MBAN,4,25000,17.760406494140625
H-ST-MBAN,5,30000,18.734270095825195
H-ST-MBAN,6,35000,17.794649124145508
H-ST-MBAN,7,40000,18.21396827697754
H-ST-MBAN,8,45000,17.952150344848633
H-ST-MBAN,9,50000,19.588115692138672
H-ST-MBAN,10,55000,17.91309356689453
H-ST-MBAN,11,60000,17.58029556274414
