Model,Epoch,MAE
Early Fusion,0,245.13311334944785
Early Fusion,1,63.97893829201388
Early Fusion,2,46.34988406362631
Early Fusion,3,39.15519607835306
Early Fusion,4,33.7096016380868
Early Fusion,5,27.969051061630104
Early Fusion,6,23.325489159934083
Early Fusion,7,20.930267731045987
Early Fusion,8,20.888160041521818
Early Fusion,9,20.798626389618907
Early Fusion,10,20.72469060335242
Early Fusion,11,20.753825358642896
Early Fusion,12,20.730806419306447
Early Fusion,13,20.774707647826617
Early Fusion,14,20.72279307009822
Early Fusion,15,20.63947117796388
Early Fusion,16,20.680558944924083
Early Fusion,17,20.674855336647838
Early Fusion,18,20.653094750301946
Early Fusion,19,20.619942099711473
Early Fusion,20,20.637547958177834
Early Fusion,21,20.581460092864926
Early Fusion,22,20.589772381880895
Early Fusion,23,20.565994691350234
Early Fusion,24,20.597535056499385
Early Fusion,25,20.549913175029076
Early Fusion,26,20.622258368367532
Early Fusion,27,20.57587719131828
Early Fusion,28,20.534322199074666
Early Fusion,29,20.562859698815053
Early Fusion,30,20.554985541153567
Early Fusion,31,20.509002305647062
Early Fusion,32,20.538140056451457
Early Fusion,33,20.519121738284746
Early Fusion,34,20.60400197164726
Early Fusion,35,20.878735568113193
Early Fusion,36,20.47178765081414
Early Fusion,37,20.53443126074391
Early Fusion,38,20.466179474618812
Early Fusion,39,20.498280525085633
Early Fusion,40,20.511864506714744
Early Fusion,41,20.636116052599625
Early Fusion,42,20.633472137127438
Early Fusion,43,20.656655530178007
Early Fusion,44,20.505195244601683
Early Fusion,45,20.50939058665742
Early Fusion,46,20.525069243800484
Early Fusion,47,20.65677111957133
Early Fusion,48,20.498988502318927
Early Fusion,49,21.171855878636155
Early Fusion,50,20.53327259596029
Early Fusion,51,20.525736207455715
Early Fusion,52,20.661207800198422
Early Fusion,53,20.631219435772987
Early Fusion,54,20.726197908512212
Early Fusion,55,20.526428533128787
Early Fusion,56,20.54066172999316
Early Fusion,57,20.68411345918353
Early Fusion,58,20.639099409723997
Early Fusion,59,20.56001250027958
Early Fusion,60,20.552722892196645
Early Fusion,61,20.70360800165672
Early Fusion,62,20.573889642870835
Early Fusion,63,20.565092267819715
Early Fusion,64,20.926417409787103
Early Fusion,65,20.86907382503962
Early Fusion,66,20.71383964125326
Early Fusion,67,20.675709133002414
Early Fusion,68,20.684360876151874
Early Fusion,69,20.63038721959993
Early Fusion,70,21.1514699336274
Early Fusion,71,20.661093596230284
Early Fusion,72,20.679724170082885
Early Fusion,73,20.98138330536189
Early Fusion,74,20.712067070854687
Early Fusion,75,21.068399652180894
Early Fusion,76,20.676511394036293
Early Fusion,77,20.64137299230672
Early Fusion,78,21.064091117142965
Early Fusion,79,21.2779449246808
Early Fusion,80,20.99317009097176
Early Fusion,81,21.471422123228255
Early Fusion,82,20.91061176781652
Early Fusion,83,21.115607116781906
Early Fusion,84,20.740309362698422
Early Fusion,85,21.431914602191757
Early Fusion,86,21.042618524497712
Early Fusion,87,20.788628799509855
