Model,Epoch,MAE
w/o Hybrid,0,247.6982309293602
w/o Hybrid,1,98.45096518453964
w/o Hybrid,2,60.8088128219179
w/o Hybrid,3,57.225221408418754
w/o Hybrid,4,56.46701215260027
w/o Hybrid,5,55.26331852917071
w/o Hybrid,6,54.442270730354224
w/o Hybrid,7,54.62655514601333
w/o Hybrid,8,54.76047631067713
w/o Hybrid,9,54.245251261710465
w/o Hybrid,10,51.35491797484088
w/o Hybrid,11,50.81141417612983
w/o Hybrid,12,50.26502170349684
w/o Hybrid,13,50.14270228905192
w/o Hybrid,14,49.99143337937105
w/o Hybrid,15,48.58160299136014
w/o Hybrid,16,49.59431720056044
w/o Hybrid,17,47.855317152033116
w/o Hybrid,18,47.78674247447023
w/o Hybrid,19,47.101466044451826
w/o Hybrid,20,46.99626549279799
w/o Hybrid,21,46.60618143268641
w/o Hybrid,22,46.60674009603218
w/o Hybrid,23,46.39681063639094
w/o Hybrid,24,48.89568716889586
w/o Hybrid,25,45.38479463155978
w/o Hybrid,26,45.52822203468086
w/o Hybrid,27,45.98066715287186
w/o Hybrid,28,44.828814517378774
w/o Hybrid,29,44.449863184894305
w/o Hybrid,30,44.28707707337492
w/o Hybrid,31,45.22896270545232
w/o Hybrid,32,44.02440220525741
w/o Hybrid,33,43.76720738022737
w/o Hybrid,34,44.38259230476439
w/o Hybrid,35,43.325538024254875
w/o Hybrid,36,46.35730557417212
w/o Hybrid,37,43.17469477710181
w/o Hybrid,38,45.69119411768935
w/o Hybrid,39,42.475357055274024
w/o Hybrid,40,44.388974471830984
w/o Hybrid,41,42.68349035484459
w/o Hybrid,42,42.15590581545078
w/o Hybrid,43,41.94428089493175
w/o Hybrid,44,42.14176981053175
w/o Hybrid,45,42.263524146238595
w/o Hybrid,46,45.26368373224259
w/o Hybrid,47,41.82108332061904
w/o Hybrid,48,42.101471411414266
w/o Hybrid,49,43.40754181537729
w/o Hybrid,50,41.51388166082475
w/o Hybrid,51,41.565189047881894
w/o Hybrid,52,41.70827149261266
w/o Hybrid,53,41.29480532454596
w/o Hybrid,54,41.36101783968329
w/o Hybrid,55,42.505814267552914
w/o Hybrid,56,40.790712703655004
w/o Hybrid,57,40.4087841548497
w/o Hybrid,58,41.54128282484152
w/o Hybrid,59,40.886192987382096
w/o Hybrid,60,41.8134953094246
w/o Hybrid,61,41.257741556245364
w/o Hybrid,62,40.41710639146814
w/o Hybrid,63,41.220704348168184
w/o Hybrid,64,41.08106969003221
w/o Hybrid,65,41.56312703595096
w/o Hybrid,66,39.881699791392414
w/o Hybrid,67,40.28578680567981
w/o Hybrid,68,42.91564537947969
w/o Hybrid,69,41.9884683198442
w/o Hybrid,70,42.53758206709632
w/o Hybrid,71,42.74202099935137
w/o Hybrid,72,39.4591053937623
w/o Hybrid,73,40.22225909477966
w/o Hybrid,74,41.163308878623376
w/o Hybrid,75,42.5486555833983
w/o Hybrid,76,39.26650328468086
w/o Hybrid,77,43.80437267148718
w/o Hybrid,78,41.484927173065614
w/o Hybrid,79,39.91928527836712
w/o Hybrid,80,39.45213113840712
w/o Hybrid,81,40.63685080223857
w/o Hybrid,82,39.38288227051168
w/o Hybrid,83,38.852236765220404
w/o Hybrid,84,39.54790490761036
w/o Hybrid,85,38.665750472092995
w/o Hybrid,86,40.38548015491999
w/o Hybrid,87,40.82289807783863
w/o Hybrid,88,41.78216328226848
w/o Hybrid,89,38.50007071909109
w/o Hybrid,90,38.65441162814569
w/o Hybrid,91,38.64262275815739
w/o Hybrid,92,40.295146263955104
w/o Hybrid,93,40.41916266199739
w/o Hybrid,94,38.48810456460405
w/o Hybrid,95,43.24319628923724
w/o Hybrid,96,39.97461666408387
w/o Hybrid,97,39.43126408890046
w/o Hybrid,98,38.41856935054063
w/o Hybrid,99,38.15728509983449
w/o Hybrid,100,37.93380750488069
w/o Hybrid,101,38.19503601406534
w/o Hybrid,102,38.127952790401096
w/o Hybrid,103,39.91123138987053
w/o Hybrid,104,37.837476520163406
w/o Hybrid,105,42.51753860917889
w/o Hybrid,106,37.938099127746284
w/o Hybrid,107,37.93089180892695
w/o Hybrid,108,37.963268908482654
w/o Hybrid,109,38.18266386759189
w/o Hybrid,110,37.776117399083134
w/o Hybrid,111,37.501331406086244
w/o Hybrid,112,38.836862489735374
w/o Hybrid,113,37.96302941714488
w/o Hybrid,114,39.69126645935048
w/o Hybrid,115,39.20063368099934
w/o Hybrid,116,37.443093510658436
w/o Hybrid,117,38.67729500799602
w/o Hybrid,118,37.578511521145934
w/o Hybrid,119,37.534950907520894
w/o Hybrid,120,41.719165977032795
w/o Hybrid,121,37.5354246730097
w/o Hybrid,122,37.57294792818276
w/o Hybrid,123,39.1150533960341
w/o Hybrid,124,39.15995632440857
w/o Hybrid,125,37.232093778856786
w/o Hybrid,126,37.35857444890532
w/o Hybrid,127,41.67718799326129
w/o Hybrid,128,39.222833234947345
w/o Hybrid,129,38.09330955960354
w/o Hybrid,130,37.76088853083622
w/o Hybrid,131,41.23820419040445
w/o Hybrid,132,37.85743513014909
w/o Hybrid,133,37.29332849874029
w/o Hybrid,134,37.08200183155706
w/o Hybrid,135,37.4463173326626
w/o Hybrid,136,37.12195208955069
w/o Hybrid,137,38.630179642966695
w/o Hybrid,138,38.68585703550363
w/o Hybrid,139,36.890873727505685
w/o Hybrid,140,38.90725222406923
w/o Hybrid,141,37.13940962015286
w/o Hybrid,142,41.52618630838457
w/o Hybrid,143,37.877772722570676
w/o Hybrid,144,37.178065329362745
w/o Hybrid,145,37.28694287435137
w/o Hybrid,146,36.71128620278271
w/o Hybrid,147,37.0428133701968
w/o Hybrid,148,41.49956475182766
w/o Hybrid,149,41.054507369763044
w/o Hybrid,150,40.75922498466297
w/o Hybrid,151,36.8240660411967
w/o Hybrid,152,36.86293499355365
w/o Hybrid,153,41.146000424763876
w/o Hybrid,154,39.737355536348765
w/o Hybrid,155,36.99471436576583
w/o Hybrid,156,37.677521943137954
w/o Hybrid,157,37.01139513464636
w/o Hybrid,158,36.7774819430421
