Model,Epoch,MAE
w/o Kinematic (K),0,245.03761876214182
w/o Kinematic (K),1,75.78561880727423
w/o Kinematic (K),2,47.403119962544096
w/o Kinematic (K),3,40.02592617296337
w/o Kinematic (K),4,33.77091847249559
w/o Kinematic (K),5,28.25218218196429
w/o Kinematic (K),6,23.37166008935019
w/o Kinematic (K),7,20.95150579991405
w/o Kinematic (K),8,20.924717343306664
w/o Kinematic (K),9,20.849772118774922
w/o Kinematic (K),10,20.783879711743694
w/o Kinematic (K),11,20.80271353121565
w/o Kinematic (K),12,20.78490350351314
w/o Kinematic (K),13,20.772288383416996
w/o Kinematic (K),14,20.740710611787787
w/o Kinematic (K),15,20.726312461956972
w/o Kinematic (K),16,20.718752508742906
w/o Kinematic (K),17,20.724406042011484
w/o Kinematic (K),18,20.733651396169098
w/o Kinematic (K),19,20.713765452358547
w/o Kinematic (K),20,20.695640209222667
w/o Kinematic (K),21,20.69411926199324
w/o Kinematic (K),22,20.691148535952557
w/o Kinematic (K),23,20.671093445456084
w/o Kinematic (K),24,20.66349310272935
w/o Kinematic (K),25,20.713296517135937
w/o Kinematic (K),26,20.680266233289025
w/o Kinematic (K),27,20.646553022193963
w/o Kinematic (K),28,20.650450859792375
w/o Kinematic (K),29,20.67780458235746
w/o Kinematic (K),30,20.664861203861097
w/o Kinematic (K),31,20.683907679858645
w/o Kinematic (K),32,20.66125520420618
w/o Kinematic (K),33,20.65972797887883
w/o Kinematic (K),34,20.649546926023586
w/o Kinematic (K),35,20.636126586823572
w/o Kinematic (K),36,20.656264890200436
w/o Kinematic (K),37,20.6390332088664
w/o Kinematic (K),38,20.63376680832785
w/o Kinematic (K),39,20.62724915666298
w/o Kinematic (K),40,20.625563131654037
w/o Kinematic (K),41,20.636540978730253
w/o Kinematic (K),42,20.636814494113615
w/o Kinematic (K),43,20.62304575168228
w/o Kinematic (K),44,20.619260183449267
w/o Kinematic (K),45,20.64281669272098
w/o Kinematic (K),46,20.632909205174332
w/o Kinematic (K),47,20.636125451024547
w/o Kinematic (K),48,20.632022645386268
w/o Kinematic (K),49,20.603274922975352
w/o Kinematic (K),50,20.640008048945898
w/o Kinematic (K),51,20.641529944754737
w/o Kinematic (K),52,20.630958988319094
w/o Kinematic (K),53,20.65893434242878
w/o Kinematic (K),54,20.619028967218693
w/o Kinematic (K),55,20.612639885507463
w/o Kinematic (K),56,20.619481551927834
w/o Kinematic (K),57,20.60694585039445
w/o Kinematic (K),58,20.619717511055445
w/o Kinematic (K),59,20.608596241269076
w/o Kinematic (K),60,20.634352006934414
w/o Kinematic (K),61,20.625596931036082
w/o Kinematic (K),62,20.634909334780232
w/o Kinematic (K),63,20.62215725729148
w/o Kinematic (K),64,20.61368140073426
w/o Kinematic (K),65,20.63854238142957
w/o Kinematic (K),66,20.636247156258786
w/o Kinematic (K),67,20.642756832367844
w/o Kinematic (K),68,20.64210098955804
w/o Kinematic (K),69,20.637140630691476
w/o Kinematic (K),70,20.616263833283273
w/o Kinematic (K),71,20.664575706422063
w/o Kinematic (K),72,20.635464403509303
w/o Kinematic (K),73,20.64729705792605
w/o Kinematic (K),74,20.618802306665536
w/o Kinematic (K),75,20.636606018826207
w/o Kinematic (K),76,20.643044301853543
w/o Kinematic (K),77,20.64798198218348
w/o Kinematic (K),78,20.657265653956635
w/o Kinematic (K),79,20.6380731965808
w/o Kinematic (K),80,20.681563977287613
w/o Kinematic (K),81,20.65664842831376
w/o Kinematic (K),82,20.656416400798165
w/o Kinematic (K),83,20.675412389904878
w/o Kinematic (K),84,20.664770664452917
w/o Kinematic (K),85,20.65084956269491
w/o Kinematic (K),86,20.655890113965327
w/o Kinematic (K),87,20.70422509000521
w/o Kinematic (K),88,20.64045582835146
w/o Kinematic (K),89,20.687929843765975
w/o Kinematic (K),90,20.652517389956802
w/o Kinematic (K),91,20.69184882470013
w/o Kinematic (K),92,20.63847298535713
w/o Kinematic (K),93,20.661037080867693
w/o Kinematic (K),94,20.659597386953298
w/o Kinematic (K),95,20.67363457735695
w/o Kinematic (K),96,20.675228028504513
w/o Kinematic (K),97,20.667046206600993
w/o Kinematic (K),98,20.669598858749136
w/o Kinematic (K),99,20.688853672739704
w/o Kinematic (K),100,20.66207181874425
w/o Kinematic (K),101,20.655856401952438
w/o Kinematic (K),102,20.706637339919737
w/o Kinematic (K),103,20.667545184331946
w/o Kinematic (K),104,20.67520491312211
w/o Kinematic (K),105,20.694813921670907
w/o Kinematic (K),106,20.699539993905127
w/o Kinematic (K),107,20.726061375484075
w/o Kinematic (K),108,20.711550244853306
w/o Kinematic (K),109,20.72492395388666
w/o Kinematic (K),110,20.680964837060017
w/o Kinematic (K),111,20.76859792275089
w/o Kinematic (K),112,20.712228491610965
w/o Kinematic (K),113,20.71746291503844
w/o Kinematic (K),114,20.71917315378489
w/o Kinematic (K),115,20.743247000791616
w/o Kinematic (K),116,20.784044115532577
w/o Kinematic (K),117,20.726854088317335
w/o Kinematic (K),118,20.75961734706104
w/o Kinematic (K),119,20.773497472684905
w/o Kinematic (K),120,20.743457772639694
w/o Kinematic (K),121,20.77764664638238
w/o Kinematic (K),122,20.726958319720385
w/o Kinematic (K),123,20.752485914594303
w/o Kinematic (K),124,20.743589625177336
w/o Kinematic (K),125,20.78218702171628
w/o Kinematic (K),126,20.7864458936297
w/o Kinematic (K),127,20.764645591761777
w/o Kinematic (K),128,20.804121048318038
w/o Kinematic (K),129,20.75408026439604
w/o Kinematic (K),130,20.78280247501342
w/o Kinematic (K),131,20.770708050124135
w/o Kinematic (K),132,20.776734337655927
w/o Kinematic (K),133,20.81666018221112
w/o Kinematic (K),134,20.761395733749136
w/o Kinematic (K),135,20.74897075389896
w/o Kinematic (K),136,20.828847929840272
w/o Kinematic (K),137,20.78006116789496
w/o Kinematic (K),138,20.779745178620498
w/o Kinematic (K),139,20.820510803021396
w/o Kinematic (K),140,20.85618802281703
w/o Kinematic (K),141,20.811065673048045
w/o Kinematic (K),142,20.79362601567892
w/o Kinematic (K),143,20.802979994659996
w/o Kinematic (K),144,20.815183181667134
w/o Kinematic (K),145,20.839984164714924
w/o Kinematic (K),146,20.815935617319504
w/o Kinematic (K),147,20.8303273392767
w/o Kinematic (K),148,20.820183043873495
w/o Kinematic (K),149,20.87177512956596
w/o Kinematic (K),150,20.798544162761846
w/o Kinematic (K),151,20.825731746636237
w/o Kinematic (K),152,20.816958872392703
w/o Kinematic (K),153,20.82140703582315
w/o Kinematic (K),154,20.879206300644157
w/o Kinematic (K),155,20.89571107060067
w/o Kinematic (K),156,20.850592976957707
w/o Kinematic (K),157,20.866754598313566
w/o Kinematic (K),158,20.895494732089222
w/o Kinematic (K),159,20.88425512702177
w/o Kinematic (K),160,20.867179936327357
w/o Kinematic (K),161,20.872679150703906
w/o Kinematic (K),162,20.89541936995156
w/o Kinematic (K),163,20.84518255460622
w/o Kinematic (K),164,20.859448652198466
w/o Kinematic (K),165,20.843295855127362
w/o Kinematic (K),166,20.866483878743193
w/o Kinematic (K),167,20.90116276863769
w/o Kinematic (K),168,20.880036619658398
w/o Kinematic (K),169,20.915326756649243
w/o Kinematic (K),170,20.94919164059904
w/o Kinematic (K),171,20.88547294072397
w/o Kinematic (K),172,20.95052680355899
w/o Kinematic (K),173,20.93040552468623
w/o Kinematic (K),174,20.903613448499527
w/o Kinematic (K),175,20.88405002168752
w/o Kinematic (K),176,20.905910633235667
w/o Kinematic (K),177,20.918356257169265
w/o Kinematic (K),178,20.917712234158124
w/o Kinematic (K),179,20.908906833625963
w/o Kinematic (K),180,20.967664987414846
w/o Kinematic (K),181,20.946201918007592
w/o Kinematic (K),182,20.958434735639905
w/o Kinematic (K),183,20.92823150549737
w/o Kinematic (K),184,20.932543847334234
w/o Kinematic (K),185,20.889016196843606
w/o Kinematic (K),186,20.97143365595684
w/o Kinematic (K),187,20.98681273674545
w/o Kinematic (K),188,20.929850143924458
w/o Kinematic (K),189,20.96699371770836
w/o Kinematic (K),190,20.976020374387318
w/o Kinematic (K),191,20.89756838908051
w/o Kinematic (K),192,20.92734298614395
w/o Kinematic (K),193,21.029031522392067
w/o Kinematic (K),194,20.94590284090546
w/o Kinematic (K),195,20.962338402009152
w/o Kinematic (K),196,21.004001632155685
w/o Kinematic (K),197,20.986469650551335
w/o Kinematic (K),198,21.015262143414024
w/o Kinematic (K),199,21.035305214410897
w/o Kinematic (K),200,20.958932976973685
