Model,Epoch,MAE
w/o Social (S),0,245.25983487129673
w/o Social (S),1,82.26745630743399
w/o Social (S),2,57.195855237196774
w/o Social (S),3,48.02913596597735
w/o Social (S),4,38.97111757931322
w/o Social (S),5,33.49742796438054
w/o Social (S),6,23.86429268527453
w/o Social (S),7,21.261240528684244
w/o Social (S),8,21.23247301091885
w/o Social (S),9,21.249434022607744
w/o Social (S),10,21.204758653440607
w/o Social (S),11,21.197798901365314
w/o Social (S),12,21.171412792202396
w/o Social (S),13,21.18436221165183
w/o Social (S),14,21.177703783314108
w/o Social (S),15,21.189929761189642
w/o Social (S),16,21.326848936033397
w/o Social (S),17,21.415510980755222
w/o Social (S),18,21.22767321159831
w/o Social (S),19,21.331487277153734
w/o Social (S),20,21.23088108249086
w/o Social (S),21,21.175139136628985
w/o Social (S),22,21.170469068023728
w/o Social (S),23,21.27610260873316
w/o Social (S),24,21.17939810839287
w/o Social (S),25,21.196248460805098
w/o Social (S),26,21.176322339664118
w/o Social (S),27,21.262878800208806
w/o Social (S),28,21.16785063938246
w/o Social (S),29,21.16483942397865
w/o Social (S),30,21.172178096083307
w/o Social (S),31,21.385850075926292
w/o Social (S),32,21.16444299267417
w/o Social (S),33,21.267549667617775
w/o Social (S),34,21.154580175728828
w/o Social (S),35,21.158994876772546
w/o Social (S),36,21.16093845357193
w/o Social (S),37,21.15596317954232
w/o Social (S),38,21.17130698815454
w/o Social (S),39,21.509389538227552
w/o Social (S),40,21.157873206585815
w/o Social (S),41,21.15875937945333
w/o Social (S),42,21.156473652557928
w/o Social (S),43,21.239271392163097
w/o Social (S),44,21.25194695923385
w/o Social (S),45,21.37627743691048
w/o Social (S),46,21.39980682429993
w/o Social (S),47,21.1652781294733
w/o Social (S),48,21.14486740906818
w/o Social (S),49,21.27513992544765
w/o Social (S),50,21.24177185996252
w/o Social (S),51,21.148230809539633
w/o Social (S),52,21.393633719142212
w/o Social (S),53,21.172414354762306
w/o Social (S),54,21.21863324984503
w/o Social (S),55,21.150773888524547
w/o Social (S),56,21.17199254895868
w/o Social (S),57,21.195583444233915
w/o Social (S),58,21.17772294212188
w/o Social (S),59,21.31658088846144
w/o Social (S),60,21.356158392191855
w/o Social (S),61,21.241329447519394
w/o Social (S),62,21.217796727620716
w/o Social (S),63,21.43920517133541
w/o Social (S),64,21.25079538383317
w/o Social (S),65,21.22186788066192
w/o Social (S),66,21.22851612425232
w/o Social (S),67,21.17289250119022
w/o Social (S),68,21.137701815261465
w/o Social (S),69,21.36745071830427
w/o Social (S),70,21.13016995747169
w/o Social (S),71,21.350999293458116
w/o Social (S),72,21.124720406219645
w/o Social (S),73,21.186631887585154
w/o Social (S),74,21.126099753009893
w/o Social (S),75,21.523667830057704
w/o Social (S),76,21.234571817745746
w/o Social (S),77,21.20476499394507
w/o Social (S),78,21.265994621454908
w/o Social (S),79,21.12642224504582
w/o Social (S),80,21.29218866825043
w/o Social (S),81,21.441468469320345
w/o Social (S),82,21.31994407675066
w/o Social (S),83,21.29164483269855
w/o Social (S),84,21.11455931097588
w/o Social (S),85,21.344190590172158
w/o Social (S),86,21.120633239660286
w/o Social (S),87,21.18304944015842
w/o Social (S),88,21.185125156565526
w/o Social (S),89,21.11415681375572
w/o Social (S),90,21.21222155200372
w/o Social (S),91,21.45257763223796
w/o Social (S),92,21.3449859240801
w/o Social (S),93,21.12724618611168
w/o Social (S),94,21.284098434184965
w/o Social (S),95,21.258951182209522
w/o Social (S),96,21.550508271312882
w/o Social (S),97,21.227548485887535
w/o Social (S),98,21.715227562702097
w/o Social (S),99,21.282954647120473
w/o Social (S),100,21.13677778658681
