Model,Epoch,MAE
w/o Traffic (T),0,245.00147199553948
w/o Traffic (T),1,75.9512062235596
w/o Traffic (T),2,46.896902224228995
w/o Traffic (T),3,40.15114192485334
w/o Traffic (T),4,33.727498348473326
w/o Traffic (T),5,28.297191276344545
w/o Traffic (T),6,23.35774162114817
w/o Traffic (T),7,20.927727822313305
w/o Traffic (T),8,20.818477560505386
w/o Traffic (T),9,20.856456595602427
w/o Traffic (T),10,20.758859781591088
w/o Traffic (T),11,20.7921153904912
w/o Traffic (T),12,20.728829479970795
w/o Traffic (T),13,20.740905220342015
w/o Traffic (T),14,20.685160491148455
w/o Traffic (T),15,20.768921288478374
w/o Traffic (T),16,20.670427854744734
w/o Traffic (T),17,20.706677467324933
w/o Traffic (T),18,20.694183590654635
w/o Traffic (T),19,20.666054841269716
w/o Traffic (T),20,20.655654953641427
w/o Traffic (T),21,20.625688531355443
w/o Traffic (T),22,20.618681462641547
w/o Traffic (T),23,20.626807305878717
w/o Traffic (T),24,20.590421784335778
w/o Traffic (T),25,20.625458538293053
w/o Traffic (T),26,20.62244123201094
w/o Traffic (T),27,20.641227996951766
w/o Traffic (T),28,20.5787163394101
w/o Traffic (T),29,20.613676258435365
w/o Traffic (T),30,20.549766582066695
w/o Traffic (T),31,20.564400628618582
w/o Traffic (T),32,20.54656638717856
w/o Traffic (T),33,20.60589513644366
w/o Traffic (T),34,20.657579034637727
w/o Traffic (T),35,20.6071640735834
w/o Traffic (T),36,20.599894635294184
w/o Traffic (T),37,20.616116953250813
w/o Traffic (T),38,20.536951249309034
w/o Traffic (T),39,20.567007374755566
w/o Traffic (T),40,20.544427590240854
w/o Traffic (T),41,20.62552299176753
w/o Traffic (T),42,20.517335713036157
w/o Traffic (T),43,20.575422784338176
w/o Traffic (T),44,20.61544211389024
w/o Traffic (T),45,20.530840687985673
w/o Traffic (T),46,20.51996375228458
w/o Traffic (T),47,20.512788497945476
w/o Traffic (T),48,20.52356238796778
w/o Traffic (T),49,20.602335342590937
w/o Traffic (T),50,20.512660177618
w/o Traffic (T),51,20.536549862925284
w/o Traffic (T),52,20.529369353955516
w/o Traffic (T),53,20.58494700836028
w/o Traffic (T),54,20.520852471338923
w/o Traffic (T),55,20.53191627718329
w/o Traffic (T),56,20.509567297015987
w/o Traffic (T),57,20.5174689759616
w/o Traffic (T),58,20.505775375797207
w/o Traffic (T),59,20.5374163652514
w/o Traffic (T),60,20.536937182874926
w/o Traffic (T),61,20.53404548847646
w/o Traffic (T),62,20.472220103173488
w/o Traffic (T),63,20.5200479511883
w/o Traffic (T),64,20.52392237385292
w/o Traffic (T),65,20.502443091226578
w/o Traffic (T),66,20.50653443902412
w/o Traffic (T),67,20.50845174267018
w/o Traffic (T),68,20.504736182093698
w/o Traffic (T),69,20.529780201170727
w/o Traffic (T),70,20.464198940666456
w/o Traffic (T),71,20.60913273781185
w/o Traffic (T),72,20.572836544990224
w/o Traffic (T),73,20.646081278677052
w/o Traffic (T),74,20.470129484084634
w/o Traffic (T),75,20.502463697866077
w/o Traffic (T),76,20.61835120723205
w/o Traffic (T),77,20.46577887455746
w/o Traffic (T),78,20.503655500522417
w/o Traffic (T),79,20.49566747588811
w/o Traffic (T),80,20.524779964525127
w/o Traffic (T),81,20.507284802779356
w/o Traffic (T),82,20.60719430331136
w/o Traffic (T),83,20.543156356540447
w/o Traffic (T),84,20.47303214955283
