Queue_Size,Validation_MAE,MAE_Std_Dev,Update_Delay_Samples,Update_Delay_Minutes
1000,20.717500527699787,1.0175212734834624,1000,8.0
2000,21.473844687143963,0.8526605141131974,2000,15.67
3000,20.65440320968628,0.6771611556744146,3000,24.86
4000,21.11461893717448,0.6459823581650725,4000,34.0
5000,20.092514991760254,0.5163366038867515,5000,42.67
6000,20.149526596069336,0.5099117246721245,6000,49.79
7000,19.754413843154907,0.4077486239862857,7000,59.0
8000,20.15848159790039,0.4642603042185028,8000,65.98
9000,19.387996673583984,0.38740949288400345,9000,74.65
10000,18.98979949951172,0.3349304072062174,10000,83.33
