Model,Hit_Rate,Avg_Delay,Wasted_Traffic
LR,89.17404544570398,0.15088933333333335,20.201466666666665
RF,94.6149998832113,0.07513500000000001,30.590033333333334
XGBoost,70.48153752551718,0.3122111666666667,102.51336666666667
CatBoost,90.57592263339778,0.1265165,46.532333333333334
NGBoost,89.69165894261279,0.138403,54.476733333333335
TabPFN,67.37334672806013,0.4113955000000001,58.41983333333334
MLP,84.10047341262016,0.22866283333333334,53.7299
ResNet,79.05137967338526,0.3282405,97.36543333333333
LSTM,92.19229268096841,0.11008966666666668,19.810133333333333
GRU,91.13456693416548,0.12401033333333335,21.6704
FTT,91.82172874777743,0.11439,17.80913333333333
TabR,77.5893206240881,0.33179816666666667,100.02443333333333
H-ST-MBAN,90.66289609142281,0.12046783333333334,17.748366666666666
