Model,Round,delay,traffic,cache_hit
CatBoost,0,0.65484,62.646,0.790661615347811
CatBoost,1,0.63755,60.15,0.7923747101386871
CatBoost,2,0.68776,65.682,0.7751528614633446
CatBoost,3,0.7318600000000001,67.212,0.778670077118952
CatBoost,4,0.6861499999999999,66.68,0.775906646936425
CatBoost,5,0.63002,63.912,0.793481252855176
CatBoost,6,0.6965800000000001,60.036,0.7852688046920329
CatBoost,7,0.66774,66.124,0.7910592215016304
CatBoost,8,0.67265,66.838,0.7847333565433952
CatBoost,9,0.6634099999999999,64.788,0.7847061285947328
CatBoost,10,0.6736,66.63,0.7854454029188674
CatBoost,11,0.72112,64.36,0.7825585780946578
CatBoost,12,0.6508,63.792,0.788997228317629
CatBoost,13,0.5928,56.45,0.8020021137906266
CatBoost,14,0.64963,63.842,0.7898619522445848
CatBoost,15,0.70497,64.398,0.777370005011447
CatBoost,16,0.68997,66.304,0.7877300463647897
CatBoost,17,0.68488,63.666,0.7877239983385489
CatBoost,18,0.71701,70.598,0.7801266648806453
CatBoost,19,0.6624099999999999,62.276,0.7904818687417253
CatBoost,20,0.65561,62.01,0.7855150326924063
CatBoost,21,0.6903400000000001,67.086,0.77603330895397
CatBoost,22,0.6730700000000001,65.464,0.7787001576117207
CatBoost,23,0.72274,67.25,0.7882439975969516
CatBoost,24,0.6728200000000001,64.484,0.7811585206357898
CatBoost,25,0.7179500000000001,68.956,0.7807561994666345
CatBoost,26,0.63714,60.482,0.7964374721367412
CatBoost,27,0.63854,64.236,0.7971000398278352
CatBoost,28,0.75415,73.196,0.7755384453479955
CatBoost,29,0.70169,65.518,0.7821034293931848
CatBoost,30,0.66915,66.374,0.7876093662523308
CatBoost,31,0.6089823609226594,62.18724559023067,0.7923461338939735
FTT,0,0.9334,85.804,0.6342276405716915
FTT,1,0.87355,79.89,0.6437780975755424
FTT,2,0.93948,88.208,0.6314096845040574
FTT,3,0.92917,82.438,0.6479744887497421
FTT,4,0.9206700000000001,85.818,0.6373780809721364
FTT,5,0.87389,85.26,0.6378710515868828
FTT,6,0.97031,85.898,0.6351710550534853
FTT,7,0.8848400000000001,82.924,0.6423568692164557
FTT,8,0.9008,84.424,0.640143872620273
FTT,9,0.91822,87.818,0.6407303378508225
FTT,10,0.9506100000000001,92.476,0.6265134290860376
FTT,11,0.93488,83.034,0.6374352867850995
FTT,12,0.8981699999999999,87.136,0.6362284106916717
FTT,13,0.87561,81.342,0.6483465816433602
FTT,14,0.90124,86.584,0.6412994955385467
FTT,15,0.95373,86.784,0.6319207015179557
FTT,16,0.9524600000000001,89.348,0.6340004419336245
FTT,17,0.93536,86.208,0.6409394323614875
FTT,18,0.96753,91.674,0.6299093170770043
FTT,19,0.8834,82.704,0.6453506405544116
FTT,20,0.88276,81.968,0.6462532549520231
FTT,21,0.9476700000000001,89.982,0.6168667658227305
FTT,22,0.94912,92.722,0.6271574328430016
FTT,23,0.93459,85.024,0.6412722497925426
FTT,24,0.92203,87.11,0.6315637556677067
FTT,25,0.96557,90.734,0.6311795726574889
FTT,26,0.87066,84.16,0.6507874622321822
FTT,27,0.87385,83.8,0.6415700916951724
FTT,28,0.9819,91.614,0.6245951650200211
FTT,29,0.94296,85.12,0.6305260922431493
FTT,30,0.8806900000000001,82.332,0.6440407913323881
FTT,31,0.8478833107191316,79.11533242876527,0.6428697818653051
GRU,0,0.8708400000000001,79.704,0.6801144882800703
GRU,1,0.84613,81.418,0.6881184060019488
GRU,2,0.89332,82.914,0.6735257379288992
GRU,3,0.91874,80.416,0.6754484208763454
GRU,4,0.87127,81.678,0.6738342954257329
GRU,5,0.85057,82.586,0.6811604125167996
GRU,6,0.88951,76.97,0.6800574934723687
GRU,7,0.84112,76.662,0.6932601439059133
GRU,8,0.84363,78.504,0.6843563203748741
GRU,9,0.86524,81.53,0.6828339721431845
GRU,10,0.82253,78.924,0.6951458988459265
GRU,11,0.88544,78.286,0.6824105361635528
GRU,12,0.84423,78.33,0.6827018142340178
GRU,13,0.7966700000000001,73.866,0.6964390970482808
GRU,14,0.84227,82.014,0.6784029780576503
GRU,15,0.911,83.118,0.6726042604186562
GRU,16,0.8951800000000001,86.37,0.681157350957037
GRU,17,0.88807,79.212,0.6828763936971745
GRU,18,0.91491,88.074,0.6711088382006601
GRU,19,0.8384400000000001,78.17,0.6941570299069217
GRU,20,0.85251,76.376,0.6823169233871066
GRU,21,0.91646,83.508,0.6673464816847117
GRU,22,0.8867999999999999,82.082,0.6720257528632413
GRU,23,0.91756,83.302,0.6755376944018023
GRU,24,0.83524,78.416,0.680900781922866
GRU,25,0.91,88.62,0.670809644187944
GRU,26,0.8317899999999999,80.236,0.6913598671141197
