Round,Model,MAE,Mean_Residual_Pred_Minus_True
0,ST-MBAN,78.02803039550781,-32.480064392089844
0,TabR,84.74240112304688,-27.466575622558594
0,FTT,92.3097915649414,-25.70721435546875
0,MLP,94.2366943359375,-39.50347900390625
0,LSTM,96.10975646972656,-47.39116287231445
0,GRU,100.61981201171875,-40.39814758300781
0,LR,95.31145477294922,-23.042667388916016
0,RF,91.65314807768367,-20.199810205956098
0,XGB,88.478515625,-25.548606872558594
0,CatBoost,88.08628715899634,-27.604485657497058
1,ST-MBAN,81.39202880859375,-14.443678855895996
1,TabR,82.78759002685547,-20.91800308227539
1,FTT,90.84465789794922,-15.607623100280762
1,MLP,89.79405212402344,-30.245361328125
1,LSTM,93.38145446777344,-29.099679946899414
1,GRU,99.24237823486328,-25.98064422607422
1,LR,91.45057678222656,-13.39626693725586
1,RF,88.45870705290523,-8.629243425927065
1,XGB,86.61079406738281,-15.760990142822266
1,CatBoost,86.40671736512738,-18.20501188879014
2,ST-MBAN,86.80883026123047,-32.217689514160156
2,TabR,98.36766052246094,-32.110294342041016
2,FTT,101.03121948242188,-33.8502197265625
2,MLP,102.56256103515625,-44.99563980102539
2,LSTM,108.55740356445312,-54.39756393432617
2,GRU,112.3678970336914,-45.589988708496094
2,LR,103.08987426757812,-29.943151473999023
2,RF,103.26236036563002,-24.018748074779765
2,XGB,98.73652648925781,-32.32206726074219
2,CatBoost,98.72682510654346,-32.54006317178902
3,ST-MBAN,78.71112060546875,-19.750049591064453
3,TabR,88.6681900024414,-27.714075088500977
3,FTT,90.63551330566406,-24.097475051879883
3,MLP,91.93161010742188,-43.001686096191406
3,LSTM,95.03992462158203,-38.908348083496094
3,GRU,96.70207214355469,-35.86587142944336
3,LR,92.97976684570312,-17.928203582763672
3,RF,95.21648636035668,-10.09252099557294
3,XGB,89.30609130859375,-19.623207092285156
3,CatBoost,88.56312163874354,-20.112785233399023
4,ST-MBAN,93.0719223022461,-35.27907943725586
4,TabR,100.93585205078125,-42.711769104003906
4,FTT,109.29466247558594,-44.17829513549805
4,MLP,110.16146850585938,-64.5651626586914
4,LSTM,116.06883239746094,-66.45528411865234
4,GRU,120.66303253173828,-58.90485382080078
4,LR,113.31521606445312,-41.01087951660156
4,RF,111.91614904824259,-35.42590468155645
4,XGB,105.54608154296875,-43.17891311645508
4,CatBoost,105.55572665608072,-44.25171475636635
