episode,algorithm,cbr,constraint_satisfied,lagrange_lambda,energy_constraint,aoi_qos_constraint
1,SAC-Single,0.0,1,0.0,1,0
2,SAC-Single,0.0,1,0.0,1,0
3,SAC-Single,0.0,1,0.0,1,0
4,SAC-Single,0.0,1,0.0,1,0
5,SAC-Single,0.0,1,0.0,1,0
6,SAC-Single,0.0,1,0.0,1,0
7,SAC-Single,0.0,1,0.0,1,0
8,SAC-Single,0.0,1,0.0,1,0
9,SAC-Single,0.0,1,0.0,1,0
10,SAC-Single,0.0,1,0.0,1,0
11,SAC-Single,0.0,1,0.0,1,0
12,SAC-Single,0.0,1,0.0,1,0
13,SAC-Single,0.0,1,0.0,1,0
14,SAC-Single,0.0,1,0.0,1,0
15,SAC-Single,0.0,1,0.0,1,0
16,SAC-Single,0.0,1,0.0,1,0
17,SAC-Single,0.0,1,0.0,1,0
18,SAC-Single,0.0,1,0.0,1,0
19,SAC-Single,0.0,1,0.0,1,0
20,SAC-Single,0.0,1,0.0,1,0
21,SAC-Single,0.0,1,0.0,1,0
22,SAC-Single,0.0,1,0.0,1,0
23,SAC-Single,0.0,1,0.0,1,0
24,SAC-Single,0.0,1,0.0,1,0
25,SAC-Single,0.0,1,0.0,1,0
26,SAC-Single,0.0,1,0.0,1,0
27,SAC-Single,0.0,1,0.0,1,0
28,SAC-Single,0.0,1,0.0,1,0
29,SAC-Single,0.0,1,0.0,1,0
30,SAC-Single,0.0,1,0.0,1,0
31,SAC-Single,0.0,1,0.0,1,0
32,SAC-Single,0.0,1,0.0,1,0
33,SAC-Single,0.0,1,0.0,1,0
34,SAC-Single,0.0,1,0.0,1,0
35,SAC-Single,0.0,1,0.0,1,0
36,SAC-Single,0.0,1,0.0,1,0
37,SAC-Single,0.0,1,0.0,1,0
38,SAC-Single,0.0,1,0.0,1,0
39,SAC-Single,0.0,1,0.0,1,0
40,SAC-Single,0.0,1,0.0,1,0
41,SAC-Single,0.0,1,0.0,1,0
42,SAC-Single,0.0,1,0.0,1,0
43,SAC-Single,0.0,1,0.0,1,0
44,SAC-Single,0.0,1,0.0,1,0
45,SAC-Single,0.0,1,0.0,1,0
46,SAC-Single,0.0,1,0.0,1,0
47,SAC-Single,0.0,1,0.0,1,0
48,SAC-Single,0.0,1,0.0,1,0
49,SAC-Single,0.0,1,0.0,1,0
50,SAC-Single,0.0,1,0.0,1,0
