episode,algorithm,average_aoi,peak_aoi,cache_hit_ratio,tx_success_rate,throughput_mbps,constraint_violation,actor_loss,critic_loss,lagrange_lambda,mean_reward
1,SAC-Single,156.02807555828284,227.36299999999994,0.0,0.42249052143685595,2019.793,1.0,-13.725801749175854,0.0,0.0,0.02130833734955911
2,SAC-Single,156.35028518817273,224.55994230769232,0.0,0.41129280250162303,1982.05792,1.0,-18.769747359029363,0.0,0.0,0.07119596807205064
3,SAC-Single,156.83708061269488,229.05171978021986,0.0,0.41321881126965365,1974.00436,1.0,-22.81131161464734,0.0,0.0,0.014357497675996428
4,SAC-Single,155.69095934339842,225.738013736263,0.0,0.4167433391789976,2008.0968,1.0,-27.037704082017534,0.0,0.0,0.08518563058302846
5,SAC-Single,155.60217342847915,226.64938736263727,0.0,0.4241086421462239,2028.25108,1.0,-31.196820323386888,0.0,0.0,0.10154201898626203
6,SAC-Single,155.7041652215804,226.91963461538475,0.0,0.4094931769719125,1987.89724,1.0,-35.16535438580459,0.0,0.0,0.11470451478565982
7,SAC-Single,155.1743045024479,224.50295604395532,0.0,0.42086455695951946,2015.43348,1.0,-38.92969298630618,0.0,0.0,0.0386999178166966
8,SAC-Single,155.94370811319558,226.33917857142788,0.0,0.411208536596595,2018.54984,1.0,-42.461798485745206,0.0,0.0,0.13612466444890436
9,SAC-Single,155.75292799006746,225.5966318681325,0.0,0.41719881868235875,2029.0428,1.0,-45.759602557407334,0.0,0.0,0.10468016989152058
10,SAC-Single,156.1798369750329,227.49498901098852,0.0,0.4108050143799974,1986.3026,1.0,-48.78251767962166,0.0,0.0,0.15447861956418554
11,SAC-Single,156.70887417905357,228.99512912087988,0.0,0.4094724366801704,1967.54816,1.0,-51.630650123853364,0.0,0.0,0.1907111989045733
12,SAC-Single,155.42238383345583,229.25464835164823,0.0,0.41759853034195965,2027.92568,1.0,-54.22946089841007,0.0,0.0,0.14929919881248732
13,SAC-Single,156.91793830220672,227.6734230769223,0.0,0.40928826735648965,1967.1446,1.0,-56.657749197456276,0.0,0.0,0.1622112868153043
14,SAC-Single,156.56535666472539,226.7548922651934,0.0,0.4085996626043551,1963.93892,1.0,-58.87916693526707,0.0,0.0,0.02863276841535868
15,SAC-Single,156.04665331840945,230.67289835164885,0.0,0.40640463975153684,1969.89552,1.0,-60.88370631785875,0.0,0.0,0.13784930043209806
16,SAC-Single,157.1113568920904,229.28466483516428,0.0,0.41255231148465404,1977.687,1.0,-62.708003869217436,0.0,0.0,0.12488911508306329
17,SAC-Single,156.50609771473293,227.34000274725216,0.0,0.4019937867031886,1957.10704,1.0,-64.35957810048306,0.0,0.0,0.054145490214391
18,SAC-Single,157.52225551546107,231.56791208791276,0.0,0.39826189093257797,1942.40804,1.0,-65.85945180828652,0.0,0.0,0.005590278976772683
19,SAC-Single,158.1499085928484,230.80301098901035,0.0,0.3975039326123145,1900.57552,1.0,-67.16639165128215,0.0,0.0,0.08875316244206584
20,SAC-Single,158.0612154359548,230.3532390109885,0.0,0.3939198519039362,1882.64328,1.0,-68.35779867279396,0.0,0.0,-0.005369397513269924
21,SAC-Single,159.02811802940414,232.50454670329603,0.0,0.3878100729011024,1856.64696,1.0,-69.46003864588363,0.0,0.0,0.08730892643843878
22,SAC-Single,157.5054130910901,228.71241208791162,0.0,0.40247432421295193,1933.85532,1.0,-70.41295820943425,0.0,0.0,0.0765464254057393
23,SAC-Single,157.85184821998521,228.5904423076927,0.0,0.3989359796075939,1926.89284,1.0,-71.31054959672221,0.0,0.0,0.0207453039876526
24,SAC-Single,157.79879926855602,229.47710714285665,0.0,0.4018130242396389,1940.74736,1.0,-72.03825554151213,0.0,0.0,0.008567732738210558
25,SAC-Single,157.34590305078984,231.72931593406568,0.0,0.4102982649838222,1981.92788,1.0,-72.69052040442992,0.0,0.0,0.001576411335414551
26,SAC-Single,157.74715739591116,224.87640934065877,0.0,0.39575041611083395,1948.39948,1.0,-73.22414096017901,0.0,0.0,0.06452207226727784
27,SAC-Single,157.88900556066028,230.7220247252741,0.0,0.397810382035564,1932.16676,1.0,-73.75539584642046,0.0,0.0,0.07505475031614173
28,SAC-Single,157.27595955003127,232.22824175824124,0.0,0.4070606851483477,1998.20836,1.0,-74.0866462621796,0.0,0.0,0.06322639532192648
29,SAC-Single,158.52316671521643,229.51447252747204,0.0,0.40214802539555705,1947.44132,1.0,-74.44265978523855,0.0,0.0,0.11857438141289932
30,SAC-Single,158.10786333983228,226.2349258241762,0.0,0.40438516171013733,1969.22428,1.0,-74.69101104307711,0.0,0.0,0.1026378263107011
31,SAC-Single,157.81894811286753,229.46782417582457,0.0,0.39954032779782395,1951.69652,1.0,-74.86495204454057,0.0,0.0,0.02634502702878877
32,SAC-Single,159.00900993713293,233.12268232044192,0.0,0.399678742281406,1942.50772,1.0,-74.96109175949954,0.0,0.0,0.0762033478066884
33,SAC-Single,158.78536450482468,231.83406353591155,0.0,0.3970964292045396,1947.59076,1.0,-75.05833450060213,0.0,0.0,0.07398274462116561
34,SAC-Single,158.57171396366775,232.81586263736332,0.0,0.4095355127764811,1982.28752,1.0,-75.05876478988134,0.0,0.0,0.09512498446993496
35,SAC-Single,158.2619414515922,231.66289835164903,0.0,0.40580076812233395,1983.57636,1.0,-75.04937887727544,0.0,0.0,0.1207467759139604
36,SAC-Single,158.3570722679419,231.97738736263807,0.0,0.40621747188564156,1961.75512,1.0,-74.97407358148125,0.0,0.0,0.11044114222026882
37,SAC-Single,158.30929932265295,231.55509890109934,0.0,0.40604316949955005,1979.944,1.0,-74.8291717700744,0.0,0.0,0.0034718545753305084
38,SAC-Single,158.17883712080993,231.93368956044029,0.0,0.40318218084135765,1973.09136,1.0,-74.68233745017749,0.0,0.0,0.002989601204823163
39,SAC-Single,158.5475818333905,238.76880219780264,0.0,0.40484896377245233,1974.03592,1.0,-74.46095355173175,0.0,0.0,-0.0025927837587089906
40,SAC-Single,157.91233238068133,229.51115109890105,0.0,0.40874188745594925,1980.41108,1.0,-74.25759133328212,0.0,0.0,0.027786734059227953
41,SAC-Single,158.14743537810602,226.90214917127062,0.0,0.40933043517813966,1983.74616,1.0,-73.96712898940183,0.0,0.0,0.06331632430727142
42,SAC-Single,157.5947551019622,230.24272527472476,0.0,0.41172452322533704,2000.70928,1.0,-73.72932629103072,0.0,0.0,0.13111856611444056
43,SAC-Single,158.27019793140494,231.19584890109948,0.0,0.40376914290728483,1992.23904,1.0,-73.3959825708625,0.0,0.0,0.07353230394259293
44,SAC-Single,157.66321068363754,232.00104670329608,0.0,0.40509316463263734,2000.27632,1.0,-73.07090868574849,0.0,0.0,0.07585235825689472
45,SAC-Single,157.29683401967398,232.73712087912017,0.0,0.40426491692912314,2011.46804,1.0,-72.73610873704546,0.0,0.0,0.10790019939209652
46,SAC-Single,157.1783137920781,230.0558131868132,0.0,0.41458444926179444,2049.18528,1.0,-72.33199698201726,0.0,0.0,0.10876103649012077
47,SAC-Single,158.36049419278658,232.51557734806633,0.0,0.412893435794116,2038.9392,1.0,-71.94362085320977,0.0,0.0,0.015372192502422749
48,SAC-Single,157.6591487988377,237.01258563535907,0.0,0.4019177108712939,2022.39436,1.0,-71.51076134670986,0.0,0.0,0.1668094941090182
49,SAC-Single,157.30176339669728,226.82952472527435,0.0,0.40801317569611373,2020.35344,1.0,-71.11248016357422,0.0,0.0,0.08241106635454867
50,SAC-Single,158.54852938044093,232.2539615384611,0.0,0.40662515395385984,2004.72136,1.0,-70.70706575372246,0.0,0.0,0.054052598448020836
