content_id,lambda_k,mu_k,optimal_ttl_theory,best_ttl_sim,aoi_at_optimal,aoi_at_best
0,0.5,1.70125,2.7419,1.3709,2.3709,1.6855
1,0.5,0.850625,3.8567,1.9283,2.9283,1.9642
2,0.5,0.567083,4.5682,2.2841,3.2841,2.1421
3,0.5,0.425312,5.092,2.546,3.546,2.273
4,0.5,0.34025,5.5067,2.7533,3.7533,2.3767
5,0.5,0.283542,5.85,2.925,3.925,2.4625
6,0.5,0.243036,6.1429,3.0714,4.0714,2.5357
7,0.5,0.212656,6.3983,3.1992,4.1992,2.5996
8,0.5,0.189028,6.6248,3.3124,4.3124,2.6562
9,0.5,0.170125,6.8282,3.4141,4.4141,2.7071
10,0.5,0.154659,7.0129,3.5064,4.5064,2.7532
11,0.5,0.141771,7.1819,3.5909,4.5909,2.7955
12,0.5,0.130865,7.3377,3.6689,4.6689,2.8344
13,0.5,0.121518,7.4823,3.7411,4.7411,2.8706
14,0.5,0.113417,7.6171,3.8086,4.8086,2.9043
15,0.5,0.106328,7.7434,3.8717,4.8717,2.9359
16,0.5,0.100074,7.8622,3.9311,4.9311,2.9656
17,0.5,0.094514,7.9743,3.9872,4.9872,2.9936
18,0.5,0.089539,8.0805,4.0403,5.0403,3.0201
19,0.5,0.085062,8.1814,4.0907,5.0907,3.0453
