scenario,algorithm,density,pred_error_pct,gamma,tau_max,seed,CHR,CDSR,AoI_violation_rate,PCO,RLBI
D,RILP,10,20,2.0,3,42,0.218619,1.0,0.781381,0.878129,0.819204
D,RILP,10,20,2.0,3,43,0.235974,1.0,0.764026,0.900329,0.805301
D,RILP,10,20,2.0,3,44,0.213504,1.0,0.786496,0.970541,0.256731
D,RILP,10,20,2.0,3,45,0.261248,1.0,0.738752,0.958403,0.266623
D,RILP,10,20,2.0,3,46,0.207301,1.0,0.792699,1.183416,0.264024
D,RILP,10,20,2.0,3,47,0.227367,1.0,0.772633,0.960623,0.303889
D,RILP,10,20,2.0,3,48,0.224073,1.0,0.775927,1.082481,0.282251
D,RILP,10,20,2.0,3,49,0.25732,1.0,0.74268,0.800225,0.271396
D,RILP,10,20,2.0,3,50,0.224457,1.0,0.775543,1.054888,0.274684
D,RILP,10,20,2.0,3,51,0.260719,1.0,0.739281,0.948741,0.316852
D,RILP-Greedy,10,20,2.0,3,42,0.218619,1.0,0.781381,0.878129,0.819204
D,RILP-Greedy,10,20,2.0,3,43,0.235974,1.0,0.764026,0.900329,0.805301
D,RILP-Greedy,10,20,2.0,3,44,0.213504,1.0,0.786496,0.970541,0.256731
D,RILP-Greedy,10,20,2.0,3,45,0.261248,1.0,0.738752,0.958403,0.266623
D,RILP-Greedy,10,20,2.0,3,46,0.207301,1.0,0.792699,1.183416,0.264024
D,RILP-Greedy,10,20,2.0,3,47,0.227367,1.0,0.772633,0.960623,0.303889
D,RILP-Greedy,10,20,2.0,3,48,0.224073,1.0,0.775927,1.082481,0.282251
D,RILP-Greedy,10,20,2.0,3,49,0.25732,1.0,0.74268,0.800225,0.271396
D,RILP-Greedy,10,20,2.0,3,50,0.224457,1.0,0.775543,1.054888,0.274684
D,RILP-Greedy,10,20,2.0,3,51,0.260719,1.0,0.739281,0.948741,0.316852
D,Nam2023b,10,20,2.0,3,42,0.369264,1.0,0.630736,1.05317,0.91325
D,Nam2023b,10,20,2.0,3,43,0.364343,1.0,0.635657,0.96488,0.900365
