scenario,algorithm,density,pred_error_pct,gamma,tau_max,seed,CHR
A,RILP,1,0,0.0,5,42,0.438396
A,RILP,1,0,0.0,5,43,0.43822
A,RILP,1,0,0.0,5,44,0.43827
A,RILP,1,0,0.0,5,45,0.43831
A,RILP,1,0,0.0,5,46,0.438395
A,RILP,1,0,0.0,5,47,0.438083
A,RILP,1,0,0.0,5,48,0.438504
A,RILP,1,0,0.0,5,49,0.438457
A,RILP,1,0,0.0,5,50,0.438305
A,RILP,1,0,0.0,5,51,0.438333
A,RILP-Greedy,1,0,0.0,5,42,0.438396
A,RILP-Greedy,1,0,0.0,5,43,0.43822
A,RILP-Greedy,1,0,0.0,5,44,0.43827
A,RILP-Greedy,1,0,0.0,5,45,0.43831
A,RILP-Greedy,1,0,0.0,5,46,0.438395
A,RILP-Greedy,1,0,0.0,5,47,0.438083
A,RILP-Greedy,1,0,0.0,5,48,0.438504
A,RILP-Greedy,1,0,0.0,5,49,0.438457
A,RILP-Greedy,1,0,0.0,5,50,0.438305
A,RILP-Greedy,1,0,0.0,5,51,0.438333
A,Nam2023b,1,0,0.0,5,42,0.291536
A,Nam2023b,1,0,0.0,5,43,0.291415
A,Nam2023b,1,0,0.0,5,44,0.291219
A,Nam2023b,1,0,0.0,5,45,0.291346
A,Nam2023b,1,0,0.0,5,46,0.29154
A,Nam2023b,1,0,0.0,5,47,0.291328
A,Nam2023b,1,0,0.0,5,48,0.291685
A,Nam2023b,1,0,0.0,5,49,0.291452
A,Nam2023b,1,0,0.0,5,50,0.291254
A,Nam2023b,1,0,0.0,5,51,0.291373
A,Nam2025,1,0,0.0,5,42,0.438396
A,Nam2025,1,0,0.0,5,43,0.43822
A,Nam2025,1,0,0.0,5,44,0.43827
A,Nam2025,1,0,0.0,5,45,0.43831
A,Nam2025,1,0,0.0,5,46,0.438395
A,Nam2025,1,0,0.0,5,47,0.438083
A,Nam2025,1,0,0.0,5,48,0.438504
A,Nam2025,1,0,0.0,5,49,0.438457
A,Nam2025,1,0,0.0,5,50,0.438305
A,Nam2025,1,0,0.0,5,51,0.438333
A,Youn2026,1,0,0.0,5,42,0.438396
A,Youn2026,1,0,0.0,5,43,0.43822
A,Youn2026,1,0,0.0,5,44,0.43827
A,Youn2026,1,0,0.0,5,45,0.43831
A,Youn2026,1,0,0.0,5,46,0.438395
A,Youn2026,1,0,0.0,5,47,0.438083
A,Youn2026,1,0,0.0,5,48,0.438504
A,Youn2026,1,0,0.0,5,49,0.438457
A,Youn2026,1,0,0.0,5,50,0.438305
A,Youn2026,1,0,0.0,5,51,0.438333
A,V2I-Base,1,0,0.0,5,42,0.438396
A,V2I-Base,1,0,0.0,5,43,0.43822
A,V2I-Base,1,0,0.0,5,44,0.43827
A,V2I-Base,1,0,0.0,5,45,0.43831
A,V2I-Base,1,0,0.0,5,46,0.438395
A,V2I-Base,1,0,0.0,5,47,0.438083
A,V2I-Base,1,0,0.0,5,48,0.438504
A,V2I-Base,1,0,0.0,5,49,0.438457
A,V2I-Base,1,0,0.0,5,50,0.438305
A,V2I-Base,1,0,0.0,5,51,0.438333
A,V2V-Base,1,0,0.0,5,42,0.999454
A,V2V-Base,1,0,0.0,5,43,0.999427
A,V2V-Base,1,0,0.0,5,44,0.999442
A,V2V-Base,1,0,0.0,5,45,0.999433
A,V2V-Base,1,0,0.0,5,46,0.999426
A,V2V-Base,1,0,0.0,5,47,0.999448
A,V2V-Base,1,0,0.0,5,48,0.999447
A,V2V-Base,1,0,0.0,5,49,0.999424
