scenario,algorithm,density,pred_error_pct,gamma,tau_max,seed,PCO
A,RILP,1,0,0.0,5,42,0.167894
A,RILP,1,0,0.0,5,43,0.168553
A,RILP,1,0,0.0,5,44,0.168518
A,RILP,1,0,0.0,5,45,0.167954
A,RILP,1,0,0.0,5,46,0.168527
A,RILP,1,0,0.0,5,47,0.16694
A,RILP,1,0,0.0,5,48,0.166112
A,RILP,1,0,0.0,5,49,0.169367
A,RILP,1,0,0.0,5,50,0.167576
A,RILP,1,0,0.0,5,51,0.169271
A,RILP-Greedy,1,0,0.0,5,42,0.167894
A,RILP-Greedy,1,0,0.0,5,43,0.168553
A,RILP-Greedy,1,0,0.0,5,44,0.168518
A,RILP-Greedy,1,0,0.0,5,45,0.167954
A,RILP-Greedy,1,0,0.0,5,46,0.168527
A,RILP-Greedy,1,0,0.0,5,47,0.16694
A,RILP-Greedy,1,0,0.0,5,48,0.166112
A,RILP-Greedy,1,0,0.0,5,49,0.169367
A,RILP-Greedy,1,0,0.0,5,50,0.167576
A,RILP-Greedy,1,0,0.0,5,51,0.169271
A,Nam2023b,1,0,0.0,5,42,6.46879
A,Nam2023b,1,0,0.0,5,43,6.505786
A,Nam2023b,1,0,0.0,5,44,6.558881
A,Nam2023b,1,0,0.0,5,45,6.551396
A,Nam2023b,1,0,0.0,5,46,6.526031
A,Nam2023b,1,0,0.0,5,47,6.48549
A,Nam2023b,1,0,0.0,5,48,6.366584
A,Nam2023b,1,0,0.0,5,49,6.533195
A,Nam2023b,1,0,0.0,5,50,6.499614
A,Nam2023b,1,0,0.0,5,51,6.511773
A,Nam2025,1,0,0.0,5,42,0.167894
A,Nam2025,1,0,0.0,5,43,0.168553
A,Nam2025,1,0,0.0,5,44,0.168518
A,Nam2025,1,0,0.0,5,45,0.167954
A,Nam2025,1,0,0.0,5,46,0.168527
A,Nam2025,1,0,0.0,5,47,0.16694
A,Nam2025,1,0,0.0,5,48,0.166112
A,Nam2025,1,0,0.0,5,49,0.169367
A,Nam2025,1,0,0.0,5,50,0.167576
A,Nam2025,1,0,0.0,5,51,0.169271
A,Youn2026,1,0,0.0,5,42,0.167894
A,Youn2026,1,0,0.0,5,43,0.168553
A,Youn2026,1,0,0.0,5,44,0.168518
A,Youn2026,1,0,0.0,5,45,0.167954
A,Youn2026,1,0,0.0,5,46,0.168527
A,Youn2026,1,0,0.0,5,47,0.16694
A,Youn2026,1,0,0.0,5,48,0.166112
A,Youn2026,1,0,0.0,5,49,0.169367
A,Youn2026,1,0,0.0,5,50,0.167576
A,Youn2026,1,0,0.0,5,51,0.169271
A,V2I-Base,1,0,0.0,5,42,0.167894
A,V2I-Base,1,0,0.0,5,43,0.168553
A,V2I-Base,1,0,0.0,5,44,0.168518
