scenario,algorithm,density,pred_error_pct,gamma,tau_max,seed,CHR,CDSR,AoI_violation_rate,PCO,RLBI
B,RILP-Greedy,6,0,2.0,5,42,0.438359,0.004504,0.034203,0.166679,0.989736
B,RILP-Greedy,6,0,2.0,5,43,0.438092,0.004524,0.03416,0.166729,0.989734
B,RILP-Greedy,6,0,2.0,5,44,0.438263,0.00452,0.034107,0.167473,0.989723
B,RILP-Greedy,6,0,2.0,5,45,0.438452,0.004491,0.034166,0.166557,0.989702
B,RILP-Greedy,6,0,2.0,5,46,0.438283,0.004478,0.034167,0.166756,0.989742
B,RILP-Greedy,6,0,2.0,5,47,0.438185,0.004489,0.034179,0.166509,0.98974
B,RILP-Greedy,6,0,2.0,5,48,0.438378,0.004527,0.034037,0.16522,0.989693
B,RILP-Greedy,6,0,2.0,5,49,0.43835,0.004456,0.034084,0.167779,0.989843
B,RILP-Greedy,6,0,2.0,5,50,0.438428,0.004479,0.034126,0.166687,0.989773
B,RILP-Greedy,6,0,2.0,5,51,0.438271,0.004465,0.034274,0.168658,0.989783
B,Nam2023b,6,0,2.0,5,42,0.291386,0.00294,0.197653,6.439288,0.989736
B,Nam2023b,6,0,2.0,5,43,0.291188,0.003027,0.197825,6.445361,0.989734
B,Nam2023b,6,0,2.0,5,44,0.291235,0.003028,0.198162,6.499692,0.989723
B,Nam2023b,6,0,2.0,5,45,0.291398,0.002959,0.197832,6.466328,0.989702
B,Nam2023b,6,0,2.0,5,46,0.291494,0.002956,0.197864,6.441683,0.989742
B,Nam2023b,6,0,2.0,5,47,0.291337,0.002999,0.19776,6.43028,0.98974
