[run_scenario] Resume: 4331 runs already in /home/imnyj/papers/paper3/paper/experiment/data/A_full.csv; will skip those.
[HEARTBEAT] 시작 | 2026-05-18 12:18:06 | 시나리오=A | total_runs=6400 | already_done=4331
  [4332/6400] d=4 eps=10 g=2.0 tau=5 algo=RILP-Greedy seed=43 | CHR=0.438 AoI=0.034 | run=127.2s tot=127s eta=4383m
[HEARTBEAT] 2026-05-18 12:20:13 | 경과=2m 07s | 진행=4332/6400 (67.7%) | 평균=127.2s/run | ETA=73h 03m | 최근완료: algo=RILP-Greedy d=4 eps=10 g=2.0 tau=5 seed=43
  [4333/6400] d=4 eps=10 g=2.0 tau=5 algo=RILP-Greedy seed=44 | CHR=0.438 AoI=0.034 | run=131.1s tot=258s eta=4449m
[HEARTBEAT] 2026-05-18 12:22:24 | 경과=4m 18s | 진행=4333/6400 (67.7%) | 평균=129.1s/run | ETA=74h 08m | 최근완료: algo=RILP-Greedy d=4 eps=10 g=2.0 tau=5 seed=44
  [4334/6400] d=4 eps=10 g=2.0 tau=5 algo=RILP-Greedy seed=45 | CHR=0.438 AoI=0.034 | run=133.2s tot=391s eta=4493m
[HEARTBEAT] 2026-05-18 12:24:37 | 경과=6m 31s | 진행=4334/6400 (67.7%) | 평균=130.5s/run | ETA=74h 53m | 최근완료: algo=RILP-Greedy d=4 eps=10 g=2.0 tau=5 seed=45
  [4335/6400] d=4 eps=10 g=2.0 tau=5 algo=RILP-Greedy seed=46 | CHR=0.438 AoI=0.034 | run=129.6s tot=521s eta=4483m
[HEARTBEAT] 2026-05-18 12:26:47 | 경과=8m 41s | 진행=4335/6400 (67.7%) | 평균=130.3s/run | ETA=74h 43m | 최근완료: algo=RILP-Greedy d=4 eps=10 g=2.0 tau=5 seed=46
  [4336/6400] d=4 eps=10 g=2.0 tau=5 algo=RILP-Greedy seed=47 | CHR=0.438 AoI=0.034 | run=129.1s tot=650s eta=4473m
  [4337/6400] d=4 eps=10 g=2.0 tau=5 algo=RILP-Greedy seed=48 | CHR=0.438 AoI=0.034 | run=132.3s tot=782s eta=4484m
  [4338/6400] d=4 eps=10 g=2.0 tau=5 algo=RILP-Greedy seed=49 | CHR=0.439 AoI=0.034 | run=127.2s tot=910s eta=4466m
  [4339/6400] d=4 eps=10 g=2.0 tau=5 algo=RILP-Greedy seed=50 | CHR=0.438 AoI=0.034 | run=129.7s tot=1039s eta=4462m
  [4340/6400] d=4 eps=10 g=2.0 tau=5 algo=RILP-Greedy seed=51 | CHR=0.438 AoI=0.034 | run=126.6s tot=1166s eta=4448m
  [4341/6400] d=4 eps=10 g=2.0 tau=5 algo=Nam2023b    seed=42 | CHR=0.292 AoI=0.198 | run=142.0s tot=1308s eta=4488m
  [4342/6400] d=4 eps=10 g=2.0 tau=5 algo=Nam2023b    seed=43 | CHR=0.291 AoI=0.198 | run=141.4s tot=1449s eta=4519m
  [4343/6400] d=4 eps=10 g=2.0 tau=5 algo=Nam2023b    seed=44 | CHR=0.291 AoI=0.198 | run=145.8s tot=1595s eta=4557m
  [4344/6400] d=4 eps=10 g=2.0 tau=5 algo=Nam2023b    seed=45 | CHR=0.291 AoI=0.198 | run=145.2s tot=1740s eta=4587m
  [4345/6400] d=4 eps=10 g=2.0 tau=5 algo=Nam2023b    seed=46 | CHR=0.291 AoI=0.198 | run=142.2s tot=1882s eta=4605m
  [4346/6400] d=4 eps=10 g=2.0 tau=5 algo=Nam2023b    seed=47 | CHR=0.292 AoI=0.197 | run=142.1s tot=2025s eta=4621m
  [4347/6400] d=4 eps=10 g=2.0 tau=5 algo=Nam2023b    seed=48 | CHR=0.291 AoI=0.198 | run=146.3s tot=2171s eta=4642m
