number,value,datetime_start,datetime_complete,duration,params_gamma,params_hidden_dim,params_lr,params_omega,user_attrs_avg_power_norm,user_attrs_avg_tx_power_dbm,user_attrs_composite_score,user_attrs_coverage_outage_rate,user_attrs_mean_aoi,user_attrs_mean_error,user_attrs_n_failed_seeds,user_attrs_n_observations,user_attrs_n_observations_seed1001,user_attrs_n_observations_seed1002,user_attrs_n_observations_seed1003,user_attrs_n_update_failures,user_attrs_outage_metric,user_attrs_outage_rate,user_attrs_packet_loss_rate,user_attrs_tx_attempts,user_attrs_tx_attempts_seed1001,user_attrs_tx_attempts_seed1002,user_attrs_tx_attempts_seed1003,user_attrs_w1,user_attrs_w2,user_attrs_w3,user_attrs_w4,state,w1,w2,w3,w4
0,23.034679333333333,2026-09-02 13:02:38.879750,2026-09-02 13:03:32.993507,0 days 00:00:54.113757,0.9576449133816793,128,0.0007661100707771367,0.22853255256339208,0.4591,15.969,23.034679333333333,0.2621,8.7935,18.0219,0,36764.0,39651,33145,37496,0,coverage_outage_rate,0.2621,0.096,501.0,535,437,531,0.5,0.2,0.2,0.1,COMPLETE,0.5,0.2,0.2,0.1
1,30.763689333333332,2026-09-02 13:03:32.993554,2026-09-02 13:04:27.139371,0 days 00:00:54.145817,0.9510086402204943,128,0.0011114989443094978,17.052641538983092,0.4039,15.2509,30.763689333333332,0.2621,11.0214,24.648,0,36764.0,39651,33145,37496,0,coverage_outage_rate,0.2621,0.1415,246.3333,162,247,330,0.5,0.2,0.2,0.1,COMPLETE,0.5,0.2,0.2,0.1
2,25.480382666666667,2026-09-02 13:04:27.139422,2026-09-02 13:05:19.889231,0 days 00:00:52.749809,0.9649078699050173,64,0.00018659959624904942,1.6124278458562613,0.4702,16.1128,25.480382666666667,0.2621,9.5334,20.0955,0,36764.0,39651,33145,37496,0,coverage_outage_rate,0.2621,0.0752,321.6667,320,276,369,0.5,0.2,0.2,0.1,COMPLETE,0.5,0.2,0.2,0.1
3,24.488089333333335,2026-09-02 13:05:19.889277,2026-09-02 13:06:14.521121,0 days 00:00:54.631844,0.9643150877782256,256,0.000160712385120399,0.6966418981413739,0.4819,16.2648,24.488089333333335,0.2621,8.9148,19.4101,0,36764.0,39651,33145,37496,0,coverage_outage_rate,0.2621,0.0815,420.6667,419,404,439,0.5,0.2,0.2,0.1,COMPLETE,0.5,0.2,0.2,0.1
4,25.755415999999997,2026-09-02 13:06:14.521177,2026-09-02 13:07:09.006283,0 days 00:00:54.485106,0.97902831387424,128,0.0005748924681991981,0.12790390175145838,0.4689,16.0959,25.755415999999997,0.2621,8.9677,20.6536,0,36764.0,39651,33145,37496,0,coverage_outage_rate,0.2621,0.0972,484.3333,497,436,520,0.5,0.2,0.2,0.1,COMPLETE,0.5,0.2,0.2,0.1
5,28.996765999999997,2026-09-02 13:07:09.006330,2026-09-02 13:08:00.706080,0 days 00:00:51.699750,0.9973159696206534,64,0.00252126790477792,7.246804518258447,0.4662,16.0612,28.996765999999997,0.2621,10.6745,23.0421,0,36764.0,39651,33145,37496,0,coverage_outage_rate,0.2621,0.1103,197.3333,209,170,213,0.5,0.2,0.2,0.1,COMPLETE,0.5,0.2,0.2,0.1
6,24.331482666666663,2026-09-02 13:08:00.706127,2026-09-02 13:08:55.684385,0 days 00:00:54.978258,0.9559798735073941,256,0.00044684675025045853,1.378532226784798,0.4564,15.933,24.331482666666663,0.2621,9.2127,19.1097,0,36764.0,39651,33145,37496,0,coverage_outage_rate,0.2621,0.0989,372.3333,393,342,382,0.5,0.2,0.2,0.1,COMPLETE,0.5,0.2,0.2,0.1
7,25.95161933333333,2026-09-02 13:08:55.684434,2026-09-02 13:09:49.618856,0 days 00:00:53.934422,0.9652738427283811,128,0.0009519754482692679,1.572867419497858,0.4443,15.7762,25.95161933333333,0.2621,9.4647,20.6062,0,36764.0,39651,33145,37496,0,coverage_outage_rate,0.2621,0.0989,360.0,383,270,427,0.5,0.2,0.2,0.1,COMPLETE,0.5,0.2,0.2,0.1
8,27.500376,2026-09-02 13:09:49.618902,2026-09-02 13:10:44.714625,0 days 00:00:55.095723,0.9960354481366452,256,0.0013962563737015762,11.455777613940603,0.3882,15.0462,27.500376,0.2621,10.2608,21.7682,0,36764.0,39651,33145,37496,0,coverage_outage_rate,0.2621,0.102,216.0,213,241,194,0.5,0.2,0.2,0.1,COMPLETE,0.5,0.2,0.2,0.1
9,24.337022666666666,2026-09-02 13:10:44.714676,2026-09-02 13:11:38.634735,0 days 00:00:53.920059,0.9522161371566163,128,0.0001947558230629544,0.5605248221933016,0.4621,16.0074,24.337022666666666,0.2621,9.2852,19.0778,0,36764.0,39651,33145,37496,0,coverage_outage_rate,0.2621,0.0967,416.3333,455,404,390,0.5,0.2,0.2,0.1,COMPLETE,0.5,0.2,0.2,0.1
