number,value,datetime_start,datetime_complete,duration,params_clip_ratio,params_entropy_coef,params_gamma,params_hidden_dim,params_lr_actor,params_lr_critic,params_value_coef,user_attrs_avg_power_norm,user_attrs_avg_tx_power_dbm,user_attrs_composite_score,user_attrs_coverage_outage_rate,user_attrs_mean_aoi,user_attrs_mean_error,user_attrs_n_failed_seeds,user_attrs_n_observations,user_attrs_n_observations_seed1001,user_attrs_n_observations_seed1002,user_attrs_n_observations_seed1003,user_attrs_n_update_failures,user_attrs_outage_metric,user_attrs_outage_rate,user_attrs_packet_loss_rate,user_attrs_tx_attempts,user_attrs_tx_attempts_seed1001,user_attrs_tx_attempts_seed1002,user_attrs_tx_attempts_seed1003,user_attrs_w1,user_attrs_w2,user_attrs_w3,user_attrs_w4,state,w1,w2,w3,w4
0,19.953176,2026-09-02 12:34:58.348455,2026-09-02 12:35:57.544614,0 days 00:00:59.196159,0.1116167224336399,0.021766241123453687,0.9576437314964739,128,0.0007661100707771367,0.0001700037298921101,0.5606690070459254,0.249,13.2378,19.953176,0.2621,8.2811,15.2386,0,36764.0,39651,33145,37496,0,coverage_outage_rate,0.2621,0.0953,414.0,443,345,454,0.5,0.2,0.2,0.1,COMPLETE,0.5,0.2,0.2,0.1
1,26.987775999999997,2026-09-02 12:35:57.544662,2026-09-02 12:36:56.258189,0 days 00:00:58.713527,0.13668090197068677,0.0006624310605949989,0.9589094233931479,256,0.0016967533607196547,0.00020589728197687926,0.5148538589793428,0.2335,13.0359,26.987775999999997,0.2621,9.787,21.5234,0,36764.0,39651,33145,37496,0,coverage_outage_rate,0.2621,0.108,326.0,314,327,337,0.5,0.2,0.2,0.1,COMPLETE,0.5,0.2,0.2,0.1
2,25.934499333333335,2026-09-02 12:36:56.258239,2026-09-02 12:37:54.784480,0 days 00:00:58.526241,0.19121399684340717,0.013157287601765641,0.9679517303213908,256,0.000160712385120399,0.00027010527749605503,0.3198042692950159,0.3726,14.8439,25.934499333333335,0.2621,9.6352,20.5182,0,36764.0,39651,33145,37496,0,coverage_outage_rate,0.2621,0.0856,239.3333,200,232,286,0.5,0.2,0.2,0.1,COMPLETE,0.5,0.2,0.2,0.1
3,23.402362666666665,2026-09-02 12:37:54.784530,2026-09-02 12:38:53.720136,0 days 00:00:58.935606,0.28977710745066665,0.04038423798071561,0.9531875280562787,128,0.0007896186801026692,0.0001786013788939711,0.6850384088698768,0.243,13.1583,23.402362666666665,0.2621,8.6662,18.4965,0,36764.0,39651,33145,37496,0,coverage_outage_rate,0.2621,0.097,388.6667,248,518,400,0.5,0.2,0.2,0.1,COMPLETE,0.5,0.2,0.2,0.1
4,23.915792666666665,2026-09-02 12:38:53.720188,2026-09-02 12:39:53.853668,0 days 00:01:00.133480,0.10687770422304368,0.02845958019429148,0.9742636685954522,256,0.00044684675025045853,0.00015144860262751404,0.3552679889600102,0.2339,13.0402,23.915792666666665,0.2621,8.7797,18.955,0,36764.0,39651,33145,37496,0,coverage_outage_rate,0.2621,0.1169,443.3333,309,478,543,0.5,0.2,0.2,0.1,COMPLETE,0.5,0.2,0.2,0.1
5,17.380479333333337,2026-09-02 12:39:53.853721,2026-09-02 12:40:51.456034,0 days 00:00:57.602313,0.2550265646722229,0.0343304473310619,0.9975096467604634,64,0.000642033033629786,0.00018752209455786411,0.7368964102565894,0.3253,14.2289,17.380479333333337,0.2621,7.139,13.2217,0,36764.0,39651,33145,37496,0,coverage_outage_rate,0.2621,0.1123,631.6667,424,412,1059,0.5,0.2,0.2,0.1,COMPLETE,0.5,0.2,0.2,0.1
6,22.904139333333333,2026-09-02 12:40:51.456082,2026-09-02 12:41:50.706651,0 days 00:00:59.250569,0.1777354579378964,0.0005399616272305192,0.9659411862073999,128,0.0001947558230629544,0.00011662890273931399,0.6972425054911577,0.3436,14.4668,22.904139333333333,0.2621,8.3717,18.1254,0,36764.0,39651,33145,37496,0,coverage_outage_rate,0.2621,0.0858,339.0,249,267,501,0.5,0.2,0.2,0.1,COMPLETE,0.5,0.2,0.2,0.1
7,28.351526000000003,2026-09-02 12:41:50.706700,2026-09-02 12:42:48.882424,0 days 00:00:58.175724,0.29737738732010344,0.012141307774357374,0.9536529815403088,256,0.00016149614799999194,0.0015308837415731389,0.31922940892050344,0.4487,15.8334,28.351526000000003,0.2621,10.0551,22.71,0,36764.0,39651,33145,37496,0,coverage_outage_rate,0.2621,0.0396,176.0,180,178,170,0.5,0.2,0.2,0.1,COMPLETE,0.5,0.2,0.2,0.1
8,23.960119333333335,2026-09-02 12:42:48.882475,2026-09-02 12:43:47.601154,0 days 00:00:58.718679,0.17169314570885452,0.0002054599206680897,0.9536281879349704,128,0.001193526270851053,0.0013780336485752,0.7178620555253561,0.3423,14.4501,23.960119333333335,0.2621,9.5051,18.6149,0,36764.0,39651,33145,37496,0,coverage_outage_rate,0.2621,0.0796,261.6667,351,212,222,0.5,0.2,0.2,0.1,COMPLETE,0.5,0.2,0.2,0.1
9,21.29378266666667,2026-09-02 12:43:47.601202,2026-09-02 12:44:44.298639,0 days 00:00:56.697437,0.2275114942710426,0.024806219351771016,0.9857507027385651,64,0.0002879775265707035,0.0003022283475646735,0.4833289550971696,0.3256,14.2322,21.29378266666667,0.2621,8.2381,16.5854,0,36764.0,39651,33145,37496,0,coverage_outage_rate,0.2621,0.084,364.0,368,323,401,0.5,0.2,0.2,0.1,COMPLETE,0.5,0.2,0.2,0.1
