number,value,datetime_start,datetime_complete,duration,params_epsilon_decay,params_gamma,params_hidden_dim,params_lr_actor,params_lr_critic,params_lr_q,params_tau,user_attrs_avg_power_norm,user_attrs_avg_tx_power_dbm,user_attrs_composite_score,user_attrs_coverage_outage_rate,user_attrs_mean_aoi,user_attrs_mean_error,user_attrs_n_failed_seeds,user_attrs_n_observations,user_attrs_n_observations_seed1001,user_attrs_n_observations_seed1002,user_attrs_n_observations_seed1003,user_attrs_n_update_failures,user_attrs_outage_metric,user_attrs_outage_rate,user_attrs_packet_loss_rate,user_attrs_tx_attempts,user_attrs_tx_attempts_seed1001,user_attrs_tx_attempts_seed1002,user_attrs_tx_attempts_seed1003,user_attrs_w1,user_attrs_w2,user_attrs_w3,user_attrs_w4,state,w1,w2,w3,w4
0,14.835986,2026-09-02 12:19:24.150168,2026-09-02 12:20:27.276992,0 days 00:01:03.126824,0.9957105926115605,0.9528460969962418,128,0.0001700037298921101,0.00016998978382700775,0.0007661100707771367,0.013394334706750489,0.359,14.6673,14.835986,0.2621,5.5719,11.454,0,36764.0,39651,33145,37496,0,coverage_outage_rate,0.2621,0.1074,1325.6667,2573,246,1158,0.5,0.2,0.2,0.1,COMPLETE,0.5,0.2,0.2,0.1
1,18.485986,2026-09-02 12:20:27.277043,2026-09-02 12:21:30.941054,0 days 00:01:03.664011,0.9949851861005062,0.9589868209828182,256,0.00020589728197687926,0.00018559980846490597,0.0016967533607196547,0.002487873441981443,0.0688,10.8947,18.485986,0.2621,6.7301,14.583,0,36764.0,39651,33145,37496,0,coverage_outage_rate,0.2621,0.2355,2953.6667,3866,2354,2641,0.5,0.2,0.2,0.1,COMPLETE,0.5,0.2,0.2,0.1
2,8.885472666666667,2026-09-02 12:21:30.941103,2026-09-02 12:22:36.083673,0 days 00:01:05.142570,0.9918969009305044,0.9723474292266348,256,0.00027010527749605503,0.0003476649150592621,0.000160712385120399,0.01050842133869177,0.1158,11.5048,8.885472666666667,0.2621,4.2493,6.2135,0,36764.0,39651,33145,37496,0,coverage_outage_rate,0.2621,0.2294,4578.3333,8639,4109,987,0.5,0.2,0.2,0.1,COMPLETE,0.5,0.2,0.2,0.1
3,14.252612666666666,2026-09-02 12:22:36.083724,2026-09-02 12:23:38.110759,0 days 00:01:02.027035,0.9976797748071065,0.9964953913254133,128,0.0001786013788939711,0.00012476394272569445,0.0007896186801026692,0.018043311207136262,0.306,13.9778,14.252612666666666,0.2621,5.6543,10.8401,0,36764.0,39651,33145,37496,0,coverage_outage_rate,0.2621,0.1424,1870.3333,4440,830,341,0.5,0.2,0.2,0.1,COMPLETE,0.5,0.2,0.2,0.1
4,20.494186000000003,2026-09-02 12:23:38.110840,2026-09-02 12:24:40.370749,0 days 00:01:02.259909,0.9924584098252002,0.9516850375346456,256,0.00015144860262751404,0.0005388108577817234,0.00044684675025045853,0.015242391728466372,0.4503,15.8544,20.494186000000003,0.2621,7.5613,16.0993,0,36764.0,39651,33145,37496,0,coverage_outage_rate,0.2621,0.1107,652.3333,338,658,961,0.5,0.2,0.2,0.1,COMPLETE,0.5,0.2,0.2,0.1
5,16.515932666666668,2026-09-02 12:24:40.370813,2026-09-02 12:25:37.909241,0 days 00:00:57.538428,0.9985008598290627,0.9879815083446946,64,0.00018752209455786411,0.0027051668818999287,0.000642033033629786,0.01668461938629347,0.2399,13.1186,16.515932666666668,0.2621,6.3254,12.7811,0,36764.0,39651,33145,37496,0,coverage_outage_rate,0.2621,0.1552,1481.6667,1047,1991,1407,0.5,0.2,0.2,0.1,COMPLETE,0.5,0.2,0.2,0.1
6,11.521022666666667,2026-09-02 12:25:37.909291,2026-09-02 12:26:43.512171,0 days 00:01:05.602880,0.9978730063369434,0.9690451871947846,128,0.00011662890273931399,0.0003023795012558478,0.0001947558230629544,0.0022544116997360495,0.1723,12.2395,11.521022666666667,0.2621,4.5858,8.6695,0,36764.0,39651,33145,37496,0,coverage_outage_rate,0.2621,0.2193,6171.0,14986,1455,2072,0.5,0.2,0.2,0.1,COMPLETE,0.5,0.2,0.2,0.1
7,13.834845999999999,2026-09-02 12:26:43.512222,2026-09-02 12:27:48.325204,0 days 00:01:04.812982,0.9918877989745747,0.9983574598934254,256,0.0015308837415731389,0.00012886065671894017,0.00016149614799999194,0.010109125982108304,0.0718,10.9334,13.834845999999999,0.2621,6.0305,10.2811,0,36764.0,39651,33145,37496,0,coverage_outage_rate,0.2621,0.208,3587.0,7155,2753,853,0.5,0.2,0.2,0.1,COMPLETE,0.5,0.2,0.2,0.1
8,10.814176000000003,2026-09-02 12:27:48.325259,2026-09-02 12:28:54.903263,0 days 00:01:06.578004,0.9981994825458181,0.9675648206986693,128,0.0013780336485752,0.00012863908101989929,0.001193526270851053,0.0014149761574941428,0.0759,10.9864,10.814176000000003,0.2621,4.5755,7.9871,0,36764.0,39651,33145,37496,0,coverage_outage_rate,0.2621,0.224,6143.6667,9762,5311,3358,0.5,0.2,0.2,0.1,COMPLETE,0.5,0.2,0.2,0.1
9,23.889602666666665,2026-09-02 12:28:54.903313,2026-09-02 12:29:51.403722,0 days 00:00:56.500409,0.9944860417890385,0.9812403160964054,64,0.0003022283475646735,0.001195960383019184,0.0002879775265707035,0.014265611436377936,0.2298,12.9878,23.889602666666665,0.2621,8.1343,19.2523,0,36764.0,39651,33145,37496,0,coverage_outage_rate,0.2621,0.2154,816.6667,916,1093,441,0.5,0.2,0.2,0.1,COMPLETE,0.5,0.2,0.2,0.1
10,22.828366,2026-09-02 12:29:51.403785,2026-09-02 12:30:53.895662,0 days 00:01:02.491877,0.9901481505967553,0.9777150414433887,256,0.0005823763181103752,0.0005057798009246573,0.00010206070557577011,0.005734499659159589,0.2451,13.1856,22.828366,0.2621,8.6071,17.9516,0,36764.0,39651,33145,37496,0,coverage_outage_rate,0.2621,0.2207,1695.0,598,1973,2514,0.5,0.2,0.2,0.1,COMPLETE,0.5,0.2,0.2,0.1
11,27.93805933333333,2026-09-02 12:30:53.895712,2026-09-02 12:31:55.795866,0 days 00:01:01.900154,0.9929547059367528,0.9674484699434147,128,0.002945372784537229,0.0002964159646517907,0.002504825725650333,0.0012416390594007856,0.1825,12.3727,27.93805933333333,0.2621,10.1014,22.3267,0,36764.0,39651,33145,37496,0,coverage_outage_rate,0.2621,0.2078,2323.0,147,5338,1484,0.5,0.2,0.2,0.1,COMPLETE,0.5,0.2,0.2,0.1
12,17.883872666666665,2026-09-02 12:31:55.795917,2026-09-02 12:32:58.526083,0 days 00:01:02.730166,0.9966337189105993,0.9655335643423496,256,0.00070278144758503,0.00029451990092994515,0.001302280528485085,0.0067469433871992085,0.2653,13.4487,17.883872666666665,0.2621,7.4125,13.6004,0,36764.0,39651,33145,37496,0,coverage_outage_rate,0.2621,0.1627,1682.3333,1517,3199,331,0.5,0.2,0.2,0.1,COMPLETE,0.5,0.2,0.2,0.1
13,27.143385999999996,2026-09-02 12:32:58.526133,2026-09-02 12:34:00.422730,0 days 00:01:01.896597,0.9994621570516007,0.9732398514506114,128,0.0010841961695470992,0.001067498043297644,0.00035843945231189855,0.0010180490217349774,0.257,13.3409,27.143385999999996,0.2621,8.6562,22.2397,0,36764.0,39651,33145,37496,0,coverage_outage_rate,0.2621,0.1719,2336.3333,3703,183,3123,0.5,0.2,0.2,0.1,COMPLETE,0.5,0.2,0.2,0.1
14,7.9299859999999995,2026-09-02 12:34:00.422793,2026-09-02 12:34:58.340086,0 days 00:00:57.917293,0.9905080161893678,0.9610089895669421,64,0.0003339120912607416,0.00010117131728547454,0.0013304052839132727,0.003402489714403765,0.26,13.3801,7.9299859999999995,0.2621,3.8835,5.412,0,36764.0,39651,33145,37496,0,coverage_outage_rate,0.2621,0.1409,1950.3333,4152,1341,358,0.5,0.2,0.2,0.1,COMPLETE,0.5,0.2,0.2,0.1
