number,value,datetime_start,datetime_complete,duration,params_clip_range,params_ent_coef,params_gamma,params_hidden_dim,params_learning_rate,params_n_epochs,params_vf_coef,user_attrs_avg_power_norm,user_attrs_avg_tx_power_dbm,user_attrs_composite_score,user_attrs_coverage_outage_rate,user_attrs_mean_aoi,user_attrs_mean_error,user_attrs_n_failed_seeds,user_attrs_n_observations,user_attrs_n_observations_seed1001,user_attrs_n_observations_seed1002,user_attrs_n_observations_seed1003,user_attrs_n_update_failures,user_attrs_outage_metric,user_attrs_outage_rate,user_attrs_packet_loss_rate,user_attrs_tx_attempts,user_attrs_tx_attempts_seed1001,user_attrs_tx_attempts_seed1002,user_attrs_tx_attempts_seed1003,user_attrs_w1,user_attrs_w2,user_attrs_w3,user_attrs_w4,state,w1,w2,w3,w4
0,100.0,2026-09-02 11:09:11.423837,2026-09-02 11:10:47.692375,0 days 00:01:36.268538,0.13119890406724052,0.0001434715951720141,0.9576449133816793,128,0.0007661100707771367,10,0.7197056874649612,,,100.0,,,,3,,-1,-1,-1,0,,,,,-1,-1,-1,0.5,0.2,0.2,0.1,COMPLETE,0.5,0.2,0.2,0.1
1,34.61784599999999,2026-09-02 11:10:47.692440,2026-09-02 11:12:40.084501,0 days 00:01:52.392061,0.16084844859190756,0.002607965659809585,0.9589868209828182,64,0.00018559980846490597,10,0.4591670111852695,0.3571,14.6426,34.61784599999999,0.2621,11.889,28.0777,0,36764.0,39651,33145,37496,0,coverage_outage_rate,0.2621,0.1012,194.0,219,180,183,0.5,0.2,0.2,0.1,COMPLETE,0.5,0.2,0.2,0.1
2,100.0,2026-09-02 11:12:40.084564,2026-09-02 11:13:23.889390,0 days 00:00:43.804826,0.2028468876827223,0.003971084710792475,0.9597840153257596,256,0.0014447746112718689,4,0.22787024763199865,,,100.0,,,,3,,-1,-1,-1,0,,,,,-1,-1,-1,0.5,0.2,0.2,0.1,COMPLETE,0.5,0.2,0.2,0.1
3,33.639545999999996,2026-09-02 11:13:23.889444,2026-09-02 11:16:16.916716,0 days 00:02:53.027272,0.23684660530243137,0.0015415527060141947,0.9547859335863128,128,0.00028180680291847244,20,0.27322294090686733,0.2691,13.4985,33.639545999999996,0.2621,11.7299,27.1966,0,36764.0,39651,33145,37496,0,coverage_outage_rate,0.2621,0.1592,275.3333,214,212,400,0.5,0.2,0.2,0.1,COMPLETE,0.5,0.2,0.2,0.1
4,35.331009333333334,2026-09-02 11:16:16.916779,2026-09-02 11:17:36.932740,0 days 00:01:20.015961,0.1369708911051054,0.04138851334163269,0.9767888036878207,128,0.000586412916969653,4,0.6650796940166688,0.3259,14.2366,35.331009333333334,0.2621,12.2224,28.6304,0,36764.0,39651,33145,37496,0,coverage_outage_rate,0.2621,0.115,183.6667,176,176,199,0.5,0.2,0.2,0.1,COMPLETE,0.5,0.2,0.2,0.1
5,32.932012666666665,2026-09-02 11:17:36.932798,2026-09-02 11:20:40.421117,0 days 00:03:03.488319,0.1777354579378964,0.0005399616272305192,0.9659411862073999,64,0.00011662890273931399,20,0.6972425054911577,0.3043,13.9559,32.932012666666665,0.2621,11.6477,26.5231,0,36764.0,39651,33145,37496,0,coverage_outage_rate,0.2621,0.1293,220.6667,221,230,211,0.5,0.2,0.2,0.1,COMPLETE,0.5,0.2,0.2,0.1
6,100.0,2026-09-02 11:20:40.421166,2026-09-02 11:21:13.485136,0 days 00:00:33.063970,0.1397431363068345,0.00010349134435467596,0.9878399936955362,128,0.002869139536545374,20,0.6892768570729007,,,100.0,,,,3,,-1,-1,-1,0,,,,,-1,-1,-1,0.5,0.2,0.2,0.1,COMPLETE,0.5,0.2,0.2,0.1
7,100.0,2026-09-02 11:21:13.485186,2026-09-02 11:22:01.875212,0 days 00:00:48.390026,0.16617960497052983,0.00014843697010415803,0.9805416082145503,128,0.0018832519048593583,10,0.3865893930293973,,,100.0,,,,3,,-1,-1,-1,0,,,,,-1,-1,-1,0.5,0.2,0.2,0.1,COMPLETE,0.5,0.2,0.2,0.1
8,32.876946,2026-09-02 11:22:01.875257,2026-09-02 11:23:20.028814,0 days 00:01:18.153557,0.21225543951389925,0.012045290903541863,0.9872784673822279,64,0.001131225105716033,4,0.4962773578186345,0.2688,13.4943,32.876946,0.2621,11.8453,26.3763,0,36764.0,39651,33145,37496,0,coverage_outage_rate,0.2621,0.1084,222.3333,167,246,254,0.5,0.2,0.2,0.1,COMPLETE,0.5,0.2,0.2,0.1
9,35.606546,2026-09-02 11:23:20.028864,2026-09-02 11:24:38.726143,0 days 00:01:18.697279,0.2815132947852186,0.0004707954411452841,0.9749199638670704,256,0.0002913009501549591,4,0.44622975382137786,0.3638,14.7296,35.606546,0.2621,12.2925,28.8634,0,36764.0,39651,33145,37496,0,coverage_outage_rate,0.2621,0.0763,196.0,233,176,179,0.5,0.2,0.2,0.1,COMPLETE,0.5,0.2,0.2,0.1
10,31.063952666666665,2026-09-02 11:24:38.726194,2026-09-02 11:25:55.294950,0 days 00:01:16.568756,0.2361881493638004,0.02051249550821203,0.9975073184286054,64,0.0010809366764261586,4,0.5638821363327259,0.1903,12.4743,31.063952666666665,0.2621,11.0216,24.9909,0,36764.0,39651,33145,37496,0,coverage_outage_rate,0.2621,0.1431,375.3333,306,314,506,0.5,0.2,0.2,0.1,COMPLETE,0.5,0.2,0.2,0.1
11,34.92870933333333,2026-09-02 11:25:55.294999,2026-09-02 11:27:12.538443,0 days 00:01:17.243444,0.2406397051638922,0.022260440374904704,0.9988807098893311,64,0.0008681933428080245,4,0.5677180715868542,0.2694,13.5018,34.92870933333333,0.2621,11.4346,28.6333,0,36764.0,39651,33145,37496,0,coverage_outage_rate,0.2621,0.151,424.0,174,520,578,0.5,0.2,0.2,0.1,COMPLETE,0.5,0.2,0.2,0.1
12,33.59033266666666,2026-09-02 11:27:12.538495,2026-09-02 11:28:31.349524,0 days 00:01:18.811029,0.22472085476147716,0.010519567679389304,0.9987431259007356,64,0.0012021943196184042,4,0.5813934453062098,0.2747,13.5715,33.59033266666666,0.2621,11.5411,27.2407,0,36764.0,39651,33145,37496,0,coverage_outage_rate,0.2621,0.1409,453.0,356,280,723,0.5,0.2,0.2,0.1,COMPLETE,0.5,0.2,0.2,0.1
13,35.814506,2026-09-02 11:28:31.349579,2026-09-02 11:29:48.753274,0 days 00:01:17.403695,0.2765773380430997,0.010787729448708292,0.98910671237799,64,0.0004477178721154106,4,0.5540668265290605,0.3216,14.1807,35.814506,0.2621,11.8236,29.3142,0,36764.0,39651,33145,37496,0,coverage_outage_rate,0.2621,0.1356,194.0,190,184,208,0.5,0.2,0.2,0.1,COMPLETE,0.5,0.2,0.2,0.1
14,100.0,2026-09-02 11:29:48.753325,2026-09-02 11:30:44.049348,0 days 00:00:55.296023,0.206824301357206,0.008309190850716177,0.9896883402571306,64,0.0023586553545554326,4,0.3653863176142429,,,100.0,,,,3,,-1,-1,-1,0,,,,,-1,-1,-1,0.5,0.2,0.2,0.1,COMPLETE,0.5,0.2,0.2,0.1
