number,value,datetime_start,datetime_complete,duration,params_epsilon_decay,params_gamma,params_hidden_dim,params_lr_actor,params_lr_critic,params_num_res_blocks,params_tau,user_attrs_avg_power_norm,user_attrs_avg_tx_power_dbm,user_attrs_composite_score,user_attrs_coverage_outage_rate,user_attrs_mean_aoi,user_attrs_mean_error,user_attrs_n_failed_seeds,user_attrs_n_observations,user_attrs_n_observations_seed1001,user_attrs_n_observations_seed1002,user_attrs_n_observations_seed1003,user_attrs_n_update_failures,user_attrs_outage_metric,user_attrs_outage_rate,user_attrs_packet_loss_rate,user_attrs_tx_attempts,user_attrs_tx_attempts_seed1001,user_attrs_tx_attempts_seed1002,user_attrs_tx_attempts_seed1003,user_attrs_w1,user_attrs_w2,user_attrs_w3,user_attrs_w4,state,w1,w2,w3,w4
0,34.53058266666667,2026-09-02 12:02:58.653644,2026-09-02 12:04:01.182284,0 days 00:01:02.528640,0.9901955526958102,0.9576437314964739,128,0.0007661100707771367,0.0001700037298921101,1,0.0011900590783184247,0.2737,13.5587,34.53058266666667,0.2621,11.4993,28.202,0,36764.0,39651,33145,37496,0,coverage_outage_rate,0.2621,0.2046,1216.3333,256,2355,1038,0.5,0.2,0.2,0.1,COMPLETE,0.5,0.2,0.2,0.1
1,13.727149333333335,2026-09-02 12:04:01.182336,2026-09-02 12:05:11.219834,0 days 00:01:10.037498,0.9913251916761944,0.9649078699050173,64,0.00018559980846490597,0.00018659959624904942,3,0.004816414530907085,0.0867,11.1272,13.727149333333335,0.2621,5.5935,10.3889,0,36764.0,39651,33145,37496,0,coverage_outage_rate,0.2621,0.2218,3851.0,5092,2192,4269,0.5,0.2,0.2,0.1,COMPLETE,0.5,0.2,0.2,0.1
2,32.38508933333333,2026-09-02 12:05:11.219888,2026-09-02 12:06:19.920988,0 days 00:01:08.701100,0.9906179901333602,0.975197487482267,256,0.0014447746112718689,0.00019721610970574026,2,0.005898602410432692,0.2869,13.7302,32.38508933333333,0.2621,10.8799,26.3636,0,36764.0,39651,33145,37496,0,coverage_outage_rate,0.2621,0.1537,1295.3333,245,3065,576,0.5,0.2,0.2,0.1,COMPLETE,0.5,0.2,0.2,0.1
3,30.190276,2026-09-02 12:06:19.921040,2026-09-02 12:07:27.944332,0 days 00:01:08.023292,0.9986385438197485,0.9835274182990956,128,0.00028180680291847244,0.00013940346079873228,2,0.0037381058681917956,0.2307,12.9991,30.190276,0.2621,10.3167,24.4616,0,36764.0,39651,33145,37496,0,coverage_outage_rate,0.2621,0.2017,648.3333,588,1147,210,0.5,0.2,0.2,0.1,COMPLETE,0.5,0.2,0.2,0.1
4,26.773862666666663,2026-09-02 12:07:27.944383,2026-09-02 12:08:38.553182,0 days 00:01:10.608799,0.9956800497987054,0.9590578683207508,128,0.000586412916969653,0.000642033033629786,2,0.01825823043920025,0.193,12.509,26.773862666666663,0.2621,9.5708,21.4257,0,36764.0,39651,33145,37496,0,coverage_outage_rate,0.2621,0.1851,1509.0,3268,335,924,0.5,0.2,0.2,0.1,COMPLETE,0.5,0.2,0.2,0.1
5,12.569899333333334,2026-09-02 12:08:38.553228,2026-09-02 12:09:40.105834,0 days 00:01:01.552606,0.9951556127900034,0.9690451871947846,64,0.00011662890273931399,0.0003023795012558478,1,0.0022544116997360495,0.0956,11.2424,12.569899333333334,0.2621,4.66,9.6966,0,36764.0,39651,33145,37496,0,coverage_outage_rate,0.2621,0.2329,4336.0,7302,2501,3205,0.5,0.2,0.2,0.1,COMPLETE,0.5,0.2,0.2,0.1
6,31.78874933333333,2026-09-02 12:09:40.105883,2026-09-02 12:10:45.285386,0 days 00:01:05.179503,0.9973270682935165,0.9597370683951744,128,0.002869139536545374,0.0013826083091896758,1,0.0010166803740022873,0.0924,11.2015,31.78874933333333,0.2621,10.982,25.7551,0,36764.0,39651,33145,37496,0,coverage_outage_rate,0.2621,0.2625,1681.6667,1032,2345,1668,0.5,0.2,0.2,0.1,COMPLETE,0.5,0.2,0.2,0.1
7,24.587799333333336,2026-09-02 12:10:45.285434,2026-09-02 12:12:07.460575,0 days 00:01:22.175141,0.9960567959778746,0.9662140032177797,128,0.0018832519048593583,0.0008330803890301997,3,0.001209737992703384,0.0757,10.9846,24.587799333333336,0.2621,8.5177,19.7896,0,36764.0,39651,33145,37496,0,coverage_outage_rate,0.2621,0.2351,4696.3333,2332,9244,2513,0.5,0.2,0.2,0.1,COMPLETE,0.5,0.2,0.2,0.1
8,32.128505999999994,2026-09-02 12:12:07.460628,2026-09-02 12:13:08.181428,0 days 00:01:00.720800,0.9902414817040689,0.9775025826809053,64,0.001131225105716033,0.0013297554090738672,2,0.01007050911290015,0.6178,18.0307,32.128505999999994,0.2621,11.4311,25.7652,0,36764.0,39651,33145,37496,0,coverage_outage_rate,0.2621,0.0786,281.0,413,179,251,0.5,0.2,0.2,0.1,COMPLETE,0.5,0.2,0.2,0.1
9,26.199705999999995,2026-09-02 12:13:08.181481,2026-09-02 12:14:19.043911,0 days 00:01:10.862430,0.9907313091433735,0.9944707572223785,256,0.0002913009501549591,0.0005639239991667561,2,0.00211026340546017,0.0768,10.9983,26.199705999999995,0.2621,9.2215,21.0494,0,36764.0,39651,33145,37496,0,coverage_outage_rate,0.2621,0.2443,2353.3333,1076,1979,4005,0.5,0.2,0.2,0.1,COMPLETE,0.5,0.2,0.2,0.1
