number,value,datetime_start,datetime_complete,duration,params_epsilon_decay,params_gamma,params_hidden_dim,params_lr,params_per_alpha,params_target_update_freq,user_attrs_avg_power_norm,user_attrs_avg_tx_power_dbm,user_attrs_composite_score,user_attrs_coverage_outage_rate,user_attrs_mean_aoi,user_attrs_mean_error,user_attrs_n_failed_seeds,user_attrs_n_observations,user_attrs_n_observations_seed1001,user_attrs_n_observations_seed1002,user_attrs_n_observations_seed1003,user_attrs_n_update_failures,user_attrs_outage_metric,user_attrs_outage_rate,user_attrs_packet_loss_rate,user_attrs_tx_attempts,user_attrs_tx_attempts_seed1001,user_attrs_tx_attempts_seed1002,user_attrs_tx_attempts_seed1003,user_attrs_w1,user_attrs_w2,user_attrs_w3,user_attrs_w4,state,w1,w2,w3,w4
0,27.866606,2026-09-02 12:49:31.227149,2026-09-02 12:50:24.769294,0 days 00:00:53.542145,0.9957105926115605,0.9576449133816793,128,0.0007661100707771367,0.6832290311184182,1000,0.3713,14.8265,27.866606,0.2621,9.9001,22.3181,0,36764.0,39651,33145,37496,0,coverage_outage_rate,0.2621,0.2,611.0,959,198,676,0.5,0.2,0.2,0.1,COMPLETE,0.5,0.2,0.2,0.1
1,24.042589333333336,2026-09-02 12:50:24.769349,2026-09-02 12:51:18.213402,0 days 00:00:53.444053,0.9941034776771002,0.9589094233931479,128,0.00020589728197687926,0.5164916560792168,1000,0.2189,12.8462,24.042589333333336,0.2621,9.291,18.8291,0,36764.0,39651,33145,37496,0,coverage_outage_rate,0.2621,0.2364,674.0,495,608,919,0.5,0.2,0.2,0.1,COMPLETE,0.5,0.2,0.2,0.1
2,12.891485999999999,2026-09-02 12:51:18.213451,2026-09-02 12:52:10.100633,0 days 00:00:51.887182,0.9956279384041894,0.9723474292266348,64,0.0003476649150592621,0.4185801650879991,200,0.1657,12.1537,12.891485999999999,0.2621,5.666,9.5012,0,36764.0,39651,33145,37496,0,coverage_outage_rate,0.2621,0.1979,1725.3333,1911,939,2326,0.5,0.2,0.2,0.1,COMPLETE,0.5,0.2,0.2,0.1
3,23.251012666666668,2026-09-02 12:52:10.100682,2026-09-02 12:53:02.024913,0 days 00:00:51.924231,0.9965002137518655,0.9973159696206534,64,0.00252126790477792,0.5760609974958406,200,0.419,15.4468,23.251012666666668,0.2621,8.7897,18.2482,0,36764.0,39651,33145,37496,0,coverage_outage_rate,0.2621,0.2041,521.0,775,553,235,0.5,0.2,0.2,0.1,COMPLETE,0.5,0.2,0.2,0.1
4,18.455439333333334,2026-09-02 12:53:02.024963,2026-09-02 12:53:54.949954,0 days 00:00:52.924991,0.9951937476537612,0.9626802190984008,128,0.0022038218939289885,0.4739417822102108,200,0.4469,15.8098,18.455439333333334,0.2621,7.9828,13.8505,0,36764.0,39651,33145,37496,0,coverage_outage_rate,0.2621,0.1593,463.3333,366,353,671,0.5,0.2,0.2,0.1,COMPLETE,0.5,0.2,0.2,0.1
5,18.693506,2026-09-02 12:53:54.950002,2026-09-02 12:54:46.222150,0 days 00:00:51.272148,0.9904296592446501,0.9792970989617431,64,0.0020978213384576817,0.5301321323053058,200,0.3624,14.7114,18.693506,0.2621,7.7251,14.2343,0,36764.0,39651,33145,37496,0,coverage_outage_rate,0.2621,0.1882,493.6667,613,596,272,0.5,0.2,0.2,0.1,COMPLETE,0.5,0.2,0.2,0.1
6,18.89832266666667,2026-09-02 12:54:46.222199,2026-09-02 12:55:42.072211,0 days 00:00:55.850012,0.9907082311149579,0.9637657909746816,256,0.0003364867144187955,0.7947547746402069,1000,0.1379,11.7933,18.89832266666667,0.2621,7.9307,14.3812,0,36764.0,39651,33145,37496,0,coverage_outage_rate,0.2621,0.2472,1405.6667,2091,720,1406,0.5,0.2,0.2,0.1,COMPLETE,0.5,0.2,0.2,0.1
7,22.07095933333333,2026-09-02 12:55:42.072259,2026-09-02 12:56:32.862061,0 days 00:00:50.789802,0.9934054244211706,0.9846360098485332,64,0.0016015312171361203,0.4463476238100519,500,0.3104,14.0347,22.07095933333333,0.2621,9.2689,16.8502,0,36764.0,39651,33145,37496,0,coverage_outage_rate,0.2621,0.1946,444.3333,331,713,289,0.5,0.2,0.2,0.1,COMPLETE,0.5,0.2,0.2,0.1
8,19.979615999999996,2026-09-02 12:56:32.862112,2026-09-02 12:57:25.203489,0 days 00:00:52.341377,0.9984285210544751,0.9652381337640674,64,0.00012413189635294234,0.5888859700647797,500,0.4086,15.3113,19.979615999999996,0.2621,7.6722,15.5376,0,36764.0,39651,33145,37496,0,coverage_outage_rate,0.2621,0.1819,1216.0,626,394,2628,0.5,0.2,0.2,0.1,COMPLETE,0.5,0.2,0.2,0.1
9,19.159766,2026-09-02 12:57:25.203539,2026-09-02 12:58:19.704461,0 days 00:00:54.500922,0.9902414817040689,0.9877773918177735,256,0.0006746437142284312,0.4431565707973218,500,0.3101,14.0304,19.159766,0.2621,8.5367,14.3052,0,36764.0,39651,33145,37496,0,coverage_outage_rate,0.2621,0.2207,641.3333,801,772,351,0.5,0.2,0.2,0.1,COMPLETE,0.5,0.2,0.2,0.1
10,17.200359333333335,2026-09-02 12:58:19.704509,2026-09-02 12:59:11.037828,0 days 00:00:51.333319,0.9991400950834172,0.9503698186464984,64,0.00034456398189694866,0.6760988294276582,200,0.3729,14.8474,17.200359333333335,0.2621,7.7073,12.748,0,36764.0,39651,33145,37496,0,coverage_outage_rate,0.2621,0.173,677.3333,873,555,604,0.5,0.2,0.2,0.1,COMPLETE,0.5,0.2,0.2,0.1
11,23.625506,2026-09-02 12:59:11.037878,2026-09-02 13:00:01.518670,0 days 00:00:50.480792,0.9994396726718764,0.9709106886552659,64,0.0003410671794012172,0.6830182523715989,200,0.4328,15.626,23.625506,0.2621,8.9521,18.5387,0,36764.0,39651,33145,37496,0,coverage_outage_rate,0.2621,0.1664,476.3333,573,168,688,0.5,0.2,0.2,0.1,COMPLETE,0.5,0.2,0.2,0.1
