number,value,datetime_start,datetime_complete,duration,params_gamma,params_hidden_dim,params_learning_rate,params_policy_delay,params_target_noise_clip,params_target_policy_noise,params_tau,user_attrs_avg_power_norm,user_attrs_avg_tx_power_dbm,user_attrs_composite_score,user_attrs_coverage_outage_rate,user_attrs_mean_aoi,user_attrs_mean_error,user_attrs_n_failed_seeds,user_attrs_n_observations,user_attrs_n_observations_seed1001,user_attrs_n_observations_seed1002,user_attrs_n_observations_seed1003,user_attrs_n_update_failures,user_attrs_outage_metric,user_attrs_outage_rate,user_attrs_packet_loss_rate,user_attrs_tx_attempts,user_attrs_tx_attempts_seed1001,user_attrs_tx_attempts_seed1002,user_attrs_tx_attempts_seed1003,user_attrs_w1,user_attrs_w2,user_attrs_w3,user_attrs_w4,state,w1,w2,w3,w4
0,7.442226000000001,2026-09-02 11:48:09.178823,2026-09-02 11:49:14.648379,0 days 00:01:05.469556,0.9576449133816793,128,0.0007661100707771367,3,0.20617534828874073,0.2416145155592091,0.001595708469414836,0.1457,11.8943,7.442226000000001,0.2621,3.2732,5.2523,0,36764.0,39651,33145,37496,0,coverage_outage_rate,0.2621,0.1866,6217.0,11622,6012,1017,0.5,0.2,0.2,0.1,COMPLETE,0.5,0.2,0.2,0.1
1,5.324465999999999,2026-09-02 11:49:14.648429,2026-09-02 11:50:15.657761,0 days 00:01:01.009332,0.9589868209828182,64,0.00018559980846490597,2,0.24184815819561256,0.22237057894447587,0.002487873441981443,0.2394,13.1123,5.324465999999999,0.2621,2.7369,3.384,0,36764.0,39651,33145,37496,0,coverage_outage_rate,0.2621,0.1642,2544.0,4790,926,1916,0.5,0.2,0.2,0.1,COMPLETE,0.5,0.2,0.2,0.1
2,17.920622666666667,2026-09-02 11:50:15.657824,2026-09-02 11:51:13.174211,0 days 00:00:57.516387,0.9597840153257596,256,0.0014447746112718689,4,0.21951547789558387,0.1341048247374583,0.004666963767236925,0.1603,12.0835,17.920622666666667,0.2621,6.4986,14.1151,0,36764.0,39651,33145,37496,0,coverage_outage_rate,0.2621,0.158,2004.6667,3479,217,2318,0.5,0.2,0.2,0.1,COMPLETE,0.5,0.2,0.2,0.1
3,7.130562666666667,2026-09-02 11:51:13.174264,2026-09-02 11:52:12.860738,0 days 00:00:59.686474,0.9547859335863128,128,0.00028180680291847244,4,0.47279612062363463,0.10687770422304368,0.007766184280392887,0.1605,12.0861,7.130562666666667,0.2621,3.0613,5.0436,0,36764.0,39651,33145,37496,0,coverage_outage_rate,0.2621,0.1863,3061.0,7026,754,1403,0.5,0.2,0.2,0.1,COMPLETE,0.5,0.2,0.2,0.1
4,19.177109333333334,2026-09-02 11:52:12.860797,2026-09-02 11:53:10.859755,0 days 00:00:57.998958,0.9767888036878207,128,0.000586412916969653,2,0.3793699936433256,0.27896547008552974,0.0017398074711291722,0.2929,13.8076,19.177109333333334,0.2621,6.6158,15.2865,0,36764.0,39651,33145,37496,0,coverage_outage_rate,0.2621,0.1557,1730.3333,638,2155,2398,0.5,0.2,0.2,0.1,COMPLETE,0.5,0.2,0.2,0.1
5,1.485052666666667,2026-09-02 11:53:10.859815,2026-09-02 11:54:10.320547,0 days 00:00:59.460732,0.9659411862073999,64,0.00011662890273931399,3,0.3628088249474746,0.15618690193747614,0.003203913722293046,0.5377,16.9898,1.485052666666667,0.2621,1.0604,0.3231,0,36764.0,39651,33145,37496,0,coverage_outage_rate,0.2621,0.0654,2624.3333,2667,1946,3260,0.5,0.2,0.2,0.1,COMPLETE,0.5,0.2,0.2,0.1
6,20.96745266666667,2026-09-02 11:54:10.320600,2026-09-02 11:55:08.862561,0 days 00:00:58.541961,0.9878399936955362,128,0.002869139536545374,3,0.4313811040057837,0.24580143360819745,0.0018135730867783408,0.2243,12.916,20.96745266666667,0.2621,7.7342,16.5313,0,36764.0,39651,33145,37496,0,coverage_outage_rate,0.2621,0.172,3060.0,8606,192,382,0.5,0.2,0.2,0.1,COMPLETE,0.5,0.2,0.2,0.1
7,23.676552666666666,2026-09-02 11:55:08.862612,2026-09-02 11:56:03.493951,0 days 00:00:54.631339,0.9805416082145503,128,0.0018832519048593583,4,0.39126724140656394,0.24592123566761281,0.002694686557241768,0.3102,14.0322,23.676552666666666,0.2621,8.8911,18.6448,0,36764.0,39651,33145,37496,0,coverage_outage_rate,0.2621,0.1553,991.3333,829,1899,246,0.5,0.2,0.2,0.1,COMPLETE,0.5,0.2,0.2,0.1
8,19.264026,2026-09-02 11:56:03.494000,2026-09-02 11:57:02.812802,0 days 00:00:59.318802,0.9872784673822279,64,0.001131225105716033,2,0.20762573802322856,0.18550820367170992,0.005373267600451111,0.3257,14.2346,19.264026,0.2621,6.924,15.2127,0,36764.0,39651,33145,37496,0,coverage_outage_rate,0.2621,0.1264,2140.3333,5739,263,419,0.5,0.2,0.2,0.1,COMPLETE,0.5,0.2,0.2,0.1
9,11.245256,2026-09-02 11:57:02.812853,2026-09-02 11:57:58.680720,0 days 00:00:55.867867,0.9749199638670704,256,0.0002913009501549591,4,0.22309397294863792,0.1457596330983245,0.015162513677579235,0.2373,13.0847,11.245256,0.2621,4.6734,8.3369,0,36764.0,39651,33145,37496,0,coverage_outage_rate,0.2621,0.1238,1358.3333,2542,1057,476,0.5,0.2,0.2,0.1,COMPLETE,0.5,0.2,0.2,0.1
10,2.410626,2026-09-02 11:57:58.680779,2026-09-02 11:58:54.697501,0 days 00:00:56.016722,0.9975073184286054,64,0.00010206070557577011,3,0.3083935989325428,0.17605859205036214,0.0010552829926879388,0.563,17.3195,2.410626,0.2621,1.7512,0.8982,0,36764.0,39651,33145,37496,0,coverage_outage_rate,0.2621,0.0447,1406.0,2027,1300,891,0.5,0.2,0.2,0.1,COMPLETE,0.5,0.2,0.2,0.1
11,2.183946,2026-09-02 11:58:54.697553,2026-09-02 11:59:52.029397,0 days 00:00:57.331844,0.9987941656424942,64,0.00011237596547709997,3,0.3119772667272556,0.17890545436469296,0.0010385674256703182,0.3703,14.8137,2.183946,0.2621,1.5503,0.8105,0,36764.0,39651,33145,37496,0,coverage_outage_rate,0.2621,0.0875,1883.3333,2126,2414,1110,0.5,0.2,0.2,0.1,COMPLETE,0.5,0.2,0.2,0.1
12,1.8661860000000001,2026-09-02 11:59:52.029446,2026-09-02 12:00:53.175429,0 days 00:01:01.145983,0.9660119606293268,64,0.00010406988607738313,3,0.3120772022611133,0.15541162831215197,0.0010190081812016336,0.4493,15.8413,1.8661860000000001,0.2621,1.3303,0.587,0,36764.0,39651,33145,37496,0,coverage_outage_rate,0.2621,0.0852,2631.3333,3416,3139,1339,0.5,0.2,0.2,0.1,COMPLETE,0.5,0.2,0.2,0.1
13,2.373416,2026-09-02 12:00:53.175475,2026-09-02 12:01:53.397948,0 days 00:01:00.222473,0.9668889107021195,64,0.00021063674791213017,3,0.31223473730977713,0.14746916998094026,0.010099416769827797,0.4364,15.6733,2.373416,0.2621,1.5726,0.9756,0,36764.0,39651,33145,37496,0,coverage_outage_rate,0.2621,0.0954,2930.0,5652,1127,2011,0.5,0.2,0.2,0.1,COMPLETE,0.5,0.2,0.2,0.1
14,1.1831326666666666,2026-09-02 12:01:53.397997,2026-09-02 12:02:58.645341,0 days 00:01:05.247344,0.9686210900343065,64,0.00014286087587174216,3,0.2767791941805241,0.11093660279535178,0.003388090824674181,0.2457,13.1946,1.1831326666666666,0.2621,0.7978,0.2109,0,36764.0,39651,33145,37496,0,coverage_outage_rate,0.2621,0.143,5505.3333,3987,4804,7725,0.5,0.2,0.2,0.1,COMPLETE,0.5,0.2,0.2,0.1
