Episode,Global_Step,Reward,AoI_mean,CBR_mean,PDR_mean,Loss,Epsilon,Density
1,2000,-927936.7586665252,138.324,0.073,92.98,0.0,0.0,30
2,4000,-933849.276417854,145.545,0.0882,91.75,0.0,0.0,50
3,6000,-945468.7135951808,145.545,0.0882,91.75,0.0,0.0,50
4,8000,-920385.4697804884,138.324,0.073,92.98,0.0,0.0,30
5,10000,-945612.121913181,145.545,0.0882,91.75,0.0,0.0,50
6,12000,-952516.3247898386,146.729,0.0893,91.65,0.0,0.0,100
7,14000,-942394.11355494,138.324,0.073,92.98,0.0,0.0,30
8,16000,-918601.203986306,145.545,0.0882,91.75,0.0,0.0,50
9,18000,-939513.086133316,138.324,0.073,92.98,0.0,0.0,30
10,20000,-924176.5788308048,145.545,0.0882,91.75,0.0,0.0,50
11,22000,-893220.880325592,146.729,0.0893,91.65,0.0,0.0,100
12,24000,-914463.9014503916,138.324,0.073,92.98,0.0,0.0,30
13,26000,-892965.9891824945,138.324,0.073,92.98,0.0,0.0,30
14,28000,-935387.5901023422,146.729,0.0893,91.65,0.0,0.0,100
15,30000,-913507.6731354916,138.324,0.073,92.98,0.0,0.0,30
16,32000,-917351.5073737074,146.729,0.0893,91.65,0.0,0.0,100
17,34000,-997087.8546188852,138.324,0.073,92.98,0.0,0.0,30
18,36000,-947230.717685281,145.545,0.0882,91.75,0.0,0.0,50
19,38000,-937824.1467436284,145.545,0.0882,91.75,0.0,0.0,50
20,40000,-941333.2520018652,146.729,0.0893,91.65,0.0,0.0,100
21,42000,-915505.1038136282,145.545,0.0882,91.75,0.0,0.0,50
22,44000,-964542.2191143092,145.545,0.0882,91.75,0.0,0.0,50
23,46000,-984870.674294784,145.545,0.0882,91.75,0.0,0.0,50
24,48000,-886795.3306907375,138.324,0.073,92.98,0.0,0.0,30
25,50000,-928482.8824203656,138.324,0.073,92.98,0.0,0.0,30
26,52000,-934799.0603583044,146.729,0.0893,91.65,0.0,0.0,100
27,54000,-914669.224232728,146.729,0.0893,91.65,0.0,0.0,100
28,56000,-932360.2159753296,138.324,0.073,92.98,0.0,0.0,30
29,58000,-886547.8108839468,145.545,0.0882,91.75,0.0,0.0,50
30,60000,-979883.5071514924,138.324,0.073,92.98,0.0,0.0,30
31,62000,-992860.74508837,145.545,0.0882,91.75,0.0,0.0,50
32,64000,-932032.2355799254,146.729,0.0893,91.65,0.0,0.0,100
33,66000,-981223.604271225,145.545,0.0882,91.75,0.0,0.0,50
34,68000,-920912.0450727724,145.545,0.0882,91.75,0.0,0.0,50
35,70000,-941370.2437766698,145.545,0.0882,91.75,0.0,0.0,50
36,72000,-975339.9355044971,138.324,0.073,92.98,0.0,0.0,30
37,74000,-936899.3579700248,138.324,0.073,92.98,0.0,0.0,30
38,76000,-929420.2316523144,145.545,0.0882,91.75,0.0,0.0,50
39,78000,-954513.8650905956,146.729,0.0893,91.65,0.0,0.0,100
40,80000,-914925.713858241,138.324,0.073,92.98,0.0,0.0,30
41,82000,-907658.571157837,145.545,0.0882,91.75,0.0,0.0,50
42,84000,-944109.875462277,146.729,0.0893,91.65,0.0,0.0,100
43,86000,-965927.776744306,138.324,0.073,92.98,0.0,0.0,30
44,88000,-968498.5155232408,138.324,0.073,92.98,0.0,0.0,30
45,90000,-956391.0067546052,138.324,0.073,92.98,0.0,0.0,30
46,92000,-935400.7485115743,145.545,0.0882,91.75,0.0,0.0,50
47,94000,-931272.985235019,138.324,0.073,92.98,0.0,0.0,30
48,96000,-890237.1860014598,138.324,0.073,92.98,0.0,0.0,30
49,98000,-914406.5787792064,138.324,0.073,92.98,0.0,0.0,30
50,100000,-953368.2467767636,145.545,0.0882,91.75,0.0,0.0,50
51,102000,-911761.1555864612,145.545,0.0882,91.75,0.0,0.0,50
52,104000,-911973.4371873282,146.729,0.0893,91.65,0.0,0.0,100
53,106000,-892719.9218270481,146.729,0.0893,91.65,0.0,0.0,100
54,108000,-955833.512159078,145.545,0.0882,91.75,0.0,0.0,50
55,110000,-941768.2969002782,138.324,0.073,92.98,0.0,0.0,30
56,112000,-929528.7287979332,145.545,0.0882,91.75,0.0,0.0,50
57,114000,-917063.1032449316,145.545,0.0882,91.75,0.0,0.0,50
58,116000,-860686.4101513678,138.324,0.073,92.98,0.0,0.0,30
59,118000,-899380.0735674581,146.729,0.0893,91.65,0.0,0.0,100
60,120000,-873171.9971454475,138.324,0.073,92.98,0.0,0.0,30
61,122000,-898129.9747701398,146.729,0.0893,91.65,0.0,0.0,100
62,124000,-900309.2263193658,138.324,0.073,92.98,0.0,0.0,30
63,126000,-959052.6279629152,146.729,0.0893,91.65,0.0,0.0,100
64,128000,-927523.2808787,146.729,0.0893,91.65,0.0,0.0,100
65,130000,-966152.1647168528,138.324,0.073,92.98,0.0,0.0,30
66,132000,-889039.490338876,138.324,0.073,92.98,0.0,0.0,30
67,134000,-892442.7198747296,145.545,0.0882,91.75,0.0,0.0,50
68,136000,-883031.5644348088,145.545,0.0882,91.75,0.0,0.0,50
69,138000,-883967.4879294138,138.324,0.073,92.98,0.0,0.0,30
70,140000,-896942.0221229665,145.545,0.0882,91.75,0.0,0.0,50
71,142000,-947117.0703999684,138.324,0.073,92.98,0.0,0.0,30
72,144000,-916397.1622481945,138.324,0.073,92.98,0.0,0.0,30
73,146000,-860856.9095491668,145.545,0.0882,91.75,0.0,0.0,50
74,148000,-914112.4969582162,146.729,0.0893,91.65,0.0,0.0,100
75,150000,-917863.6560349596,138.324,0.073,92.98,0.0,0.0,30
76,152000,-895645.0273480159,146.729,0.0893,91.65,0.0,0.0,100
77,154000,-854521.7210445853,145.545,0.0882,91.75,0.0,0.0,50
78,156000,-878971.8998743213,146.729,0.0893,91.65,0.0,0.0,100
79,158000,-854640.9923978894,138.324,0.073,92.98,0.0,0.0,30
80,160000,-851432.5783489322,146.729,0.0893,91.65,0.0,0.0,100
81,162000,-937840.4131990796,138.324,0.073,92.98,0.0,0.0,30
82,164000,-863445.3502383889,145.545,0.0882,91.75,0.0,0.0,50
83,166000,-885006.5576368405,138.324,0.073,92.98,0.0,0.0,30
84,168000,-913446.490399844,146.729,0.0893,91.65,0.0,0.0,100
85,170000,-893901.2290212692,138.324,0.073,92.98,0.0,0.0,30
86,172000,-869340.5054945803,138.324,0.073,92.98,0.0,0.0,30
87,174000,-878136.5210865418,146.729,0.0893,91.65,0.0,0.0,100
88,176000,-881155.8330626994,146.729,0.0893,91.65,0.0,0.0,100
89,178000,-849767.4510424259,145.545,0.0882,91.75,0.0,0.0,50
90,180000,-947778.4095979529,145.545,0.0882,91.75,0.0,0.0,50
91,182000,-875066.6893804289,145.545,0.0882,91.75,0.0,0.0,50
92,184000,-919086.901137873,145.545,0.0882,91.75,0.0,0.0,50
93,186000,-925140.8656420326,146.729,0.0893,91.65,0.0,0.0,100
94,188000,-916163.1680954546,146.729,0.0893,91.65,0.0,0.0,100
95,190000,-841575.461740548,138.324,0.073,92.98,0.0,0.0,30
96,192000,-902240.9141234932,138.324,0.073,92.98,0.0,0.0,30
97,194000,-929471.3016394587,138.324,0.073,92.98,0.0,0.0,30
98,196000,-875424.8570163877,138.324,0.073,92.98,0.0,0.0,30
99,198000,-897235.6882020938,146.729,0.0893,91.65,0.0,0.0,100
100,200000,-899734.9787897432,146.729,0.0893,91.65,0.0,0.0,100
