Episode,Global_Step,Reward,AoI_mean,CBR_mean,PDR_mean,Loss,Epsilon,Density
1.0,2000.0,-331605.41048244474,554.945,0.0823,63.61,0.0911929334647847,0.0,100.0
2.0,4000.0,-168356.35025200195,766.833,0.0625,49.5,0.1128664230980368,0.0,30.0
3.0,6000.0,-263189.1359935466,891.8,0.0772,43.56,0.1654357543728963,0.0,50.0
4.0,8000.0,-911783.5873713248,138.268,0.073,93.0,0.0,0.0,30.0
5.0,10000.0,-939841.2229300116,145.508,0.0882,91.76,0.0,0.0,50.0
6.0,12000.0,-942215.674316834,146.652,0.0893,91.67,0.0,0.0,100.0
7.0,14000.0,-929975.3093833624,138.268,0.073,93.0,0.0,0.0,30.0
8.0,16000.0,-906869.4799940992,145.508,0.0882,91.76,0.0,0.0,50.0
9.0,18000.0,-928985.6357775902,138.268,0.073,93.0,0.0,0.0,30.0
10.0,20000.0,-913418.4991733624,145.508,0.0882,91.76,0.0,0.0,50.0
11.0,22000.0,-885864.3914294606,146.652,0.0893,91.67,0.0,0.0,100.0
12.0,24000.0,-905534.578999061,138.268,0.073,93.0,0.0,0.0,30.0
13.0,26000.0,-885207.1554442585,138.268,0.073,93.0,0.0,0.0,30.0
14.0,28000.0,-928391.4270173076,146.652,0.0893,91.67,0.0,0.0,100.0
15.0,30000.0,-908555.7365269894,138.268,0.073,93.0,0.0,0.0,30.0
16.0,32000.0,-910983.3849095652,146.652,0.0893,91.67,0.0,0.0,100.0
17.0,34000.0,-988059.0375603924,138.268,0.073,93.0,0.0,0.0,30.0
18.0,36000.0,-938927.9070042552,145.508,0.0882,91.76,0.0,0.0,50.0
19.0,38000.0,-929221.5883224516,145.508,0.0882,91.76,0.0,0.0,50.0
20.0,40000.0,-931478.4656450104,146.652,0.0893,91.67,0.0,0.0,100.0
21.0,42000.0,-906843.2510672526,145.508,0.0882,91.76,0.0,0.0,50.0
22.0,44000.0,-953463.6958522,145.508,0.0882,91.76,0.0,0.0,50.0
23.0,46000.0,-998328.2889780934,145.508,0.0882,91.76,0.0,0.0,50.0
24.0,48000.0,-874985.4276044797,138.268,0.073,93.0,0.0,0.0,30.0
25.0,50000.0,-912961.2778700804,138.268,0.073,93.0,0.0,0.0,30.0
26.0,52000.0,-920444.4771596494,146.652,0.0893,91.67,0.0,0.0,100.0
27.0,54000.0,-898493.8569522843,146.652,0.0893,91.67,0.0,0.0,100.0
28.0,56000.0,-914065.7123202258,138.268,0.073,93.0,0.0,0.0,30.0
29.0,58000.0,-868851.0785148819,145.508,0.0882,91.76,0.0,0.0,50.0
30.0,60000.0,-958472.3234830266,138.268,0.073,93.0,0.0,0.0,30.0
31.0,62000.0,-970175.6661751884,145.508,0.0882,91.76,0.0,0.0,50.0
32.0,64000.0,-910413.6358443772,146.652,0.0893,91.67,0.0,0.0,100.0
33.0,66000.0,-957459.1269254874,145.508,0.0882,91.76,0.0,0.0,50.0
34.0,68000.0,-898451.100687301,145.508,0.0882,91.76,0.0,0.0,50.0
35.0,70000.0,-922969.6503894574,145.508,0.0882,91.76,0.0,0.0,50.0
36.0,72000.0,-958078.9996413476,138.268,0.073,93.0,0.0,0.0,30.0
37.0,74000.0,-920218.4374160472,138.268,0.073,93.0,0.0,0.0,30.0
38.0,76000.0,-915465.5030363993,145.508,0.0882,91.76,0.0,0.0,50.0
39.0,78000.0,-940617.2758164016,146.652,0.0893,91.67,0.0,0.0,100.0
40.0,80000.0,-902956.422961204,138.268,0.073,93.0,0.0,0.0,30.0
41.0,82000.0,-896649.9958399414,145.508,0.0882,91.76,0.0,0.0,50.0
