Episode,Global_Step,Reward,AoI_mean,CBR_mean,PDR_mean,Loss,Epsilon,Density
1.0,2000.0,-332082.2238638745,553.428,0.0823,63.81,0.0204637077439215,0.95,100.0
2.0,4000.0,-200690.46661875924,520.818,0.0669,64.19,0.0072199070616036,0.9025,30.0
3.0,6000.0,-303016.7399868262,555.346,0.0801,64.2,0.0099752838496046,0.8573749999999999,50.0
4.0,8000.0,-305151.8927501795,566.976,0.0797,63.19,0.0147494419029062,0.8145062499999999,50.0
5.0,10000.0,-199254.4183110716,520.71,0.0676,65.72,0.0109239618088462,0.7737809374999999,30.0
6.0,12000.0,-315995.4027194831,594.7,0.0806,61.64,0.0196966191478879,0.7350918906249998,50.0
7.0,14000.0,-973021.3882855668,142.465,0.0714,92.95,0.037572,0.7351,30.0
8.0,16000.0,-963561.0987607175,148.185,0.0869,91.73,0.036069,0.6983,50.0
9.0,18000.0,-920068.5807856906,142.465,0.0714,92.95,0.034627,0.6634,30.0
10.0,20000.0,-1011378.2858227236,148.185,0.0869,91.73,0.033242,0.6302,50.0
11.0,22000.0,-919380.0555969202,149.179,0.088,91.62,0.031912,0.5987,100.0
12.0,24000.0,-941877.6232766014,142.465,0.0714,92.95,0.030635,0.5688,30.0
13.0,26000.0,-920409.0193107142,142.465,0.0714,92.95,0.02941,0.5404,30.0
14.0,28000.0,-919418.694728811,149.179,0.088,91.62,0.028234,0.5133,100.0
15.0,30000.0,-901196.25979448,142.465,0.0714,92.95,0.027104,0.4877,30.0
16.0,32000.0,-932033.459535614,149.179,0.088,91.62,0.02602,0.4633,100.0
17.0,34000.0,-1080764.0782231132,142.465,0.0714,92.95,0.024979,0.4401,30.0
18.0,36000.0,-978557.8150745456,148.185,0.0869,91.73,0.02398,0.4181,50.0
19.0,38000.0,-920588.4117138904,148.185,0.0869,91.73,0.023021,0.3972,50.0
20.0,40000.0,-1026993.6393296744,149.179,0.088,91.62,0.0221,0.3774,100.0
21.0,42000.0,-944024.0874882012,148.185,0.0869,91.73,0.021216,0.3585,50.0
22.0,44000.0,-949459.812476568,148.185,0.0869,91.73,0.020367,0.3406,50.0
23.0,46000.0,-1075073.074642692,148.185,0.0869,91.73,0.019553,0.3235,50.0
24.0,48000.0,-872657.0835829772,142.465,0.0714,92.95,0.018771,0.3074,30.0
25.0,50000.0,-903986.9655389544,142.465,0.0714,92.95,0.01802,0.292,30.0
26.0,52000.0,-912092.7438230256,149.179,0.088,91.62,0.017299,0.2774,100.0
27.0,54000.0,-892054.6604184092,149.179,0.088,91.62,0.016607,0.2635,100.0
28.0,56000.0,-904569.3366789672,142.465,0.0714,92.95,0.015943,0.2503,30.0
29.0,58000.0,-897673.7066158924,148.185,0.0869,91.73,0.015305,0.2378,50.0
30.0,60000.0,-947918.3270015646,142.465,0.0714,92.95,0.014693,0.2259,30.0
31.0,62000.0,-961385.4960361233,148.185,0.0869,91.73,0.014105,0.2146,50.0
32.0,64000.0,-906473.8572096118,149.179,0.088,91.62,0.013541,0.2039,100.0
33.0,66000.0,-958598.1993270068,148.185,0.0869,91.73,0.012999,0.1937,50.0
34.0,68000.0,-961342.802200372,148.185,0.0869,91.73,0.012479,0.184,50.0
35.0,70000.0,-957546.8465371776,148.185,0.0869,91.73,0.01198,0.1748,50.0
36.0,72000.0,-1063217.7271637218,142.465,0.0714,92.95,0.011501,0.1661,30.0
37.0,74000.0,-911279.964752226,142.465,0.0714,92.95,0.011041,0.1578,30.0
38.0,76000.0,-980929.7172304068,148.185,0.0869,91.73,0.010599,0.1499,50.0
39.0,78000.0,-1040793.4559810044,149.179,0.088,91.62,0.010175,0.1424,100.0
40.0,80000.0,-893176.1299028195,142.465,0.0714,92.95,0.009768,0.1353,30.0
41.0,82000.0,-889202.0209132539,148.185,0.0869,91.73,0.009378,0.1285,50.0
42.0,84000.0,-922399.7536377086,149.179,0.088,91.62,0.009002,0.1221,100.0
43.0,86000.0,-994311.6004078093,142.465,0.0714,92.95,0.008642,0.116,30.0
44.0,88000.0,-950693.3575156038,142.465,0.0714,92.95,0.008297,0.1102,30.0
45.0,90000.0,-987768.9474142136,142.465,0.0714,92.95,0.007965,0.1047,30.0
46.0,92000.0,-967883.9411012356,148.185,0.0869,91.73,0.007646,0.0994,50.0
47.0,94000.0,-1025899.722399153,142.465,0.0714,92.95,0.00734,0.0945,30.0
48.0,96000.0,-879765.123020031,142.465,0.0714,92.95,0.007047,0.0897,30.0
49.0,98000.0,-932545.3290695028,142.465,0.0714,92.95,0.006765,0.0853,30.0
50.0,100000.0,-1060185.4377396023,148.185,0.0869,91.73,0.006494,0.081,50.0
51.0,102000.0,-948129.1864671428,148.185,0.0869,91.73,0.006235,0.0769,50.0
52.0,104000.0,-904097.745236413,149.179,0.088,91.62,0.005985,0.0731,100.0
53.0,106000.0,-888292.5431493137,149.179,0.088,91.62,0.005746,0.0694,100.0
54.0,108000.0,-952205.6856316928,148.185,0.0869,91.73,0.005516,0.066,50.0
55.0,110000.0,-999731.5946502374,142.465,0.0714,92.95,0.005295,0.0627,30.0
56.0,112000.0,-931604.8784143298,148.185,0.0869,91.73,0.005083,0.0595,50.0
57.0,114000.0,-960606.4061176904,148.185,0.0869,91.73,0.00488,0.0566,50.0
58.0,116000.0,-943879.3355399392,142.465,0.0714,92.95,0.004685,0.0537,30.0
