Episode,Global_Step,Reward,AoI_mean,CBR_mean,PDR_mean,Loss,Epsilon,Density
1.0,2000.0,-332312.6266432843,553.361,0.0822,63.82,0.0183534004959762,0.95,100.0
2.0,4000.0,-200487.76523108443,516.71,0.0668,64.47,0.0007938621338896,0.9025,30.0
3.0,6000.0,-300750.800958166,562.104,0.0788,64.19,0.0014106200881038,0.8573749999999999,50.0
4.0,8000.0,-305302.44392684044,579.728,0.0797,62.49,0.0022847345778004,0.8145062499999999,50.0
5.0,10000.0,-197617.06862380376,592.895,0.0676,59.95,0.0023308951486038,0.7737809374999999,30.0
6.0,12000.0,-1036349.4373033711,246.733,0.0556,93.45,0.039138,0.7738,100.0
7.0,14000.0,-918066.6863681816,239.946,0.0447,94.62,0.037572,0.7351,30.0
8.0,16000.0,-896261.0753007398,245.41,0.0548,93.6,0.036069,0.6983,50.0
9.0,18000.0,-1027416.7649100544,239.946,0.0447,94.62,0.034627,0.6634,30.0
10.0,20000.0,-905605.4678838226,245.41,0.0548,93.6,0.033242,0.6302,50.0
11.0,22000.0,-918269.2388647028,246.733,0.0556,93.45,0.031912,0.5987,100.0
12.0,24000.0,-896341.5837550135,239.946,0.0447,94.62,0.030635,0.5688,30.0
13.0,26000.0,-877770.598998466,239.946,0.0447,94.62,0.02941,0.5404,30.0
14.0,28000.0,-919415.6315190564,246.733,0.0556,93.45,0.028234,0.5133,100.0
15.0,30000.0,-900540.7764568585,239.946,0.0447,94.62,0.027104,0.4877,30.0
16.0,32000.0,-946856.1164759104,246.733,0.0556,93.45,0.02602,0.4633,100.0
17.0,34000.0,-1030422.1070290284,239.946,0.0447,94.62,0.024979,0.4401,30.0
18.0,36000.0,-978559.5360682146,245.41,0.0548,93.6,0.02398,0.4181,50.0
19.0,38000.0,-920589.194699858,245.41,0.0548,93.6,0.023021,0.3972,50.0
20.0,40000.0,-1035031.1251909632,246.733,0.0556,93.45,0.0221,0.3774,100.0
