Episode,Global_Step,Reward,AoI_mean,CBR_mean,PDR_mean,Loss,Epsilon,Density
1.0,2000.0,-334042.56593640987,547.357,0.0825,64.21,1.9170779469576166e-07,0.0,100.0
2.0,4000.0,-206235.01334292215,508.734,0.068,64.56,9.985028667336324e-08,0.0,30.0
3.0,6000.0,-315319.1687104155,547.216,0.0811,64.24,2.3981109169100992e-08,0.0,50.0
4.0,8000.0,-918947.2652537988,1075.812,0.073,36.66,0.0,0.0,30.0
5.0,10000.0,-944676.697256176,1090.102,0.0882,35.8,0.0,0.0,50.0
6.0,12000.0,-952149.333501362,1092.442,0.0893,35.85,0.0,0.0,100.0
7.0,14000.0,-942770.927947363,1075.812,0.073,36.66,0.0,0.0,30.0
8.0,16000.0,-919503.464138652,1090.102,0.0882,35.8,0.0,0.0,50.0
9.0,18000.0,-941944.4908752204,1075.812,0.073,36.66,0.0,0.0,30.0
10.0,20000.0,-926851.6200951572,1090.102,0.0882,35.8,0.0,0.0,50.0
11.0,22000.0,-896858.9320962798,1092.442,0.0893,35.85,0.0,0.0,100.0
12.0,24000.0,-918696.2042766494,1075.812,0.073,36.66,0.0,0.0,30.0
13.0,26000.0,-896893.7706456298,1075.812,0.073,36.66,0.0,0.0,30.0
14.0,28000.0,-939679.2077334652,1092.442,0.0893,35.85,0.0,0.0,100.0
15.0,30000.0,-919870.9865836066,1075.812,0.073,36.66,0.0,0.0,30.0
16.0,32000.0,-922358.8276639292,1092.442,0.0893,35.85,0.0,0.0,100.0
17.0,34000.0,-1001030.6173487192,1075.812,0.073,36.66,0.0,0.0,30.0
18.0,36000.0,-951733.1383455562,1090.102,0.0882,35.8,0.0,0.0,50.0
19.0,38000.0,-940924.240264266,1090.102,0.0882,35.8,0.0,0.0,50.0
20.0,40000.0,-943127.5765998992,1092.442,0.0893,35.85,0.0,0.0,100.0
21.0,42000.0,-916572.2163155358,1090.102,0.0882,35.8,0.0,0.0,50.0
22.0,44000.0,-962909.7562898016,1090.102,0.0882,35.8,0.0,0.0,50.0
23.0,46000.0,-981110.376766401,1090.102,0.0882,35.8,0.0,0.0,50.0
24.0,48000.0,-882754.6777879082,1075.812,0.073,36.66,0.0,0.0,30.0
25.0,50000.0,-921837.0099522778,1075.812,0.073,36.66,0.0,0.0,30.0
26.0,52000.0,-927010.7863660504,1092.442,0.0893,35.85,0.0,0.0,100.0
27.0,54000.0,-905184.2647837664,1092.442,0.0893,35.85,0.0,0.0,100.0
28.0,56000.0,-920419.212688791,1075.812,0.073,36.66,0.0,0.0,30.0
29.0,58000.0,-874955.2641991265,1090.102,0.0882,35.8,0.0,0.0,50.0
30.0,60000.0,-964316.3229144064,1075.812,0.073,36.66,0.0,0.0,30.0
31.0,62000.0,-975332.0587803517,1090.102,0.0882,35.8,0.0,0.0,50.0
32.0,64000.0,-915191.9336630504,1092.442,0.0893,35.85,0.0,0.0,100.0
33.0,66000.0,-961440.7578213402,1090.102,0.0882,35.8,0.0,0.0,50.0
34.0,68000.0,-902578.7345832642,1090.102,0.0882,35.8,0.0,0.0,50.0
35.0,70000.0,-927174.9860070244,1090.102,0.0882,35.8,0.0,0.0,50.0
36.0,72000.0,-960572.7598586276,1075.812,0.073,36.66,0.0,0.0,30.0
37.0,74000.0,-923442.8732902644,1075.812,0.073,36.66,0.0,0.0,30.0
38.0,76000.0,-916783.5123449824,1090.102,0.0882,35.8,0.0,0.0,50.0
39.0,78000.0,-941582.9564411348,1092.442,0.0893,35.85,0.0,0.0,100.0
40.0,80000.0,-903211.3245736324,1075.812,0.073,36.66,0.0,0.0,30.0
41.0,82000.0,-896580.9671297036,1090.102,0.0882,35.8,0.0,0.0,50.0
42.0,84000.0,-932386.1759884472,1092.442,0.0893,35.85,0.0,0.0,100.0
43.0,86000.0,-955036.5900974488,1075.812,0.073,36.66,0.0,0.0,30.0
44.0,88000.0,-957845.2998997052,1075.812,0.073,36.66,0.0,0.0,30.0
45.0,90000.0,-946960.830088254,1075.812,0.073,36.66,0.0,0.0,30.0
46.0,92000.0,-927009.06970408,1090.102,0.0882,35.8,0.0,0.0,50.0
47.0,94000.0,-924172.7593649774,1075.812,0.073,36.66,0.0,0.0,30.0
48.0,96000.0,-884332.9577066854,1075.812,0.073,36.66,0.0,0.0,30.0
49.0,98000.0,-909291.6350960566,1075.812,0.073,36.66,0.0,0.0,30.0
50.0,100000.0,-948942.0232248696,1090.102,0.0882,35.8,0.0,0.0,50.0
51.0,102000.0,-908787.4112789548,1090.102,0.0882,35.8,0.0,0.0,50.0
52.0,104000.0,-909891.88355681,1092.442,0.0893,35.85,0.0,0.0,100.0
53.0,106000.0,-891433.3623064046,1092.442,0.0893,35.85,0.0,0.0,100.0
54.0,108000.0,-955285.650308238,1090.102,0.0882,35.8,0.0,0.0,50.0
55.0,110000.0,-941955.6882803944,1075.812,0.073,36.66,0.0,0.0,30.0
56.0,112000.0,-930236.6630153048,1090.102,0.0882,35.8,0.0,0.0,50.0
57.0,114000.0,-918164.8205597586,1090.102,0.0882,35.8,0.0,0.0,50.0
58.0,116000.0,-861987.3103939404,1075.812,0.073,36.66,0.0,0.0,30.0
