Episode,Global_Step,Reward,AoI_mean,CBR_mean,PDR_mean,Loss,Epsilon,Density
1.0,2000.0,-332560.8049313188,533.415,0.0822,65.37,-0.6654546467674403,0.0,100.0
2.0,4000.0,-195688.5872240133,508.033,0.0666,65.15,-1.2977747462890212,0.0,30.0
3.0,6000.0,-303404.53294504253,569.081,0.0798,63.18,-1.2420918177801368,0.0,50.0
4.0,8000.0,-918638.35731908,138.324,0.073,92.96,0.0,0.0,30.0
5.0,10000.0,-946026.9872725684,145.545,0.0882,91.73,0.0,0.0,50.0
6.0,12000.0,-952456.1304340984,146.729,0.0893,91.64,0.0,0.0,100.0
7.0,14000.0,-944093.520504334,138.324,0.073,92.96,0.0,0.0,30.0
8.0,16000.0,-919971.561904765,145.545,0.0882,91.73,0.0,0.0,50.0
9.0,18000.0,-944551.2475726746,138.324,0.073,92.96,0.0,0.0,30.0
10.0,20000.0,-927934.6074628364,145.545,0.0882,91.73,0.0,0.0,50.0
11.0,22000.0,-898578.0586768285,146.729,0.0893,91.64,0.0,0.0,100.0
12.0,24000.0,-920690.5411559634,138.324,0.073,92.96,0.0,0.0,30.0
13.0,26000.0,-899690.0774021669,138.324,0.073,92.96,0.0,0.0,30.0
14.0,28000.0,-941955.8753721948,146.729,0.0893,91.64,0.0,0.0,100.0
15.0,30000.0,-922940.2383747696,138.324,0.073,92.96,0.0,0.0,30.0
16.0,32000.0,-926453.8496516504,146.729,0.0893,91.64,0.0,0.0,100.0
17.0,34000.0,-1006156.3653175016,138.324,0.073,92.96,0.0,0.0,30.0
18.0,36000.0,-955922.17060679,145.545,0.0882,91.73,0.0,0.0,50.0
19.0,38000.0,-945575.1889069736,145.545,0.0882,91.73,0.0,0.0,50.0
20.0,40000.0,-948179.513582862,146.729,0.0893,91.64,0.0,0.0,100.0
21.0,42000.0,-921961.05212419,145.545,0.0882,91.73,0.0,0.0,50.0
22.0,44000.0,-968862.6940073988,145.545,0.0882,91.73,0.0,0.0,50.0
23.0,46000.0,-987425.8382502492,145.545,0.0882,91.73,0.0,0.0,50.0
24.0,48000.0,-889157.094044211,138.324,0.073,92.96,0.0,0.0,30.0
25.0,50000.0,-929330.8770896964,138.324,0.073,92.96,0.0,0.0,30.0
26.0,52000.0,-934628.831379688,146.729,0.0893,91.64,0.0,0.0,100.0
27.0,54000.0,-913230.3137239742,146.729,0.0893,91.64,0.0,0.0,100.0
