Episode,Global_Step,Reward,AoI_mean,CBR_mean,PDR_mean,Loss,Epsilon,Density
1,2000,-926251.2011188884,492.916,0.0228,96.61,0.0,0.0,30
2,4000,-911666.1138697678,494.797,0.0285,95.5,0.0,0.0,50
3,6000,-1027778.2283675412,494.797,0.0285,95.5,0.0,0.0,50
4,8000,-939197.5420496812,492.916,0.0228,96.61,0.0,0.0,30
5,10000,-921659.3592291484,494.797,0.0285,95.5,0.0,0.0,50
6,12000,-1036325.9384283712,494.389,0.0291,95.22,0.0,0.0,100
7,14000,-918071.3278341189,492.916,0.0228,96.61,0.0,0.0,30
8,16000,-941201.5984644413,494.797,0.0285,95.5,0.0,0.0,50
9,18000,-917793.3837896097,492.916,0.0228,96.61,0.0,0.0,30
10,20000,-969793.2190130332,494.797,0.0285,95.5,0.0,0.0,50
11,22000,-877834.6805155781,494.389,0.0291,95.22,0.0,0.0,100
12,24000,-1002228.2087488128,492.916,0.0228,96.61,0.0,0.0,30
13,26000,-877767.4377445726,492.916,0.0228,96.61,0.0,0.0,30
14,28000,-1025898.9812921076,494.389,0.0291,95.22,0.0,0.0,100
15,30000,-1003238.9846890796,492.916,0.0228,96.61,0.0,0.0,30
16,32000,-901243.2378521098,494.389,0.0291,95.22,0.0,0.0,100
17,34000,-976346.87778352,492.916,0.0228,96.61,0.0,0.0,30
18,36000,-932906.7017039604,494.797,0.0285,95.5,0.0,0.0,50
19,38000,-975435.6279118154,494.797,0.0285,95.5,0.0,0.0,50
20,40000,-1017498.1902112596,494.389,0.0291,95.22,0.0,0.0,100
21,42000,-944029.5445788011,494.797,0.0285,95.5,0.0,0.0,50
22,44000,-943328.3656910677,494.797,0.0285,95.5,0.0,0.0,50
23,46000,-1079370.6052760736,494.797,0.0285,95.5,0.0,0.0,50
24,48000,-867497.6695524087,492.916,0.0228,96.61,0.0,0.0,30
25,50000,-906295.2646549152,492.916,0.0228,96.61,0.0,0.0,30
26,52000,-912092.3366405884,494.389,0.0291,95.22,0.0,0.0,100
27,54000,-890743.6766590686,494.389,0.0291,95.22,0.0,0.0,100
28,56000,-906070.9474819162,492.916,0.0228,96.61,0.0,0.0,30
29,58000,-902456.6593339083,494.797,0.0285,95.5,0.0,0.0,50
30,60000,-953212.05073292,492.916,0.0228,96.61,0.0,0.0,30
31,62000,-958885.285456294,494.797,0.0285,95.5,0.0,0.0,50
32,64000,-1000827.7247842632,494.389,0.0291,95.22,0.0,0.0,100
33,66000,-948986.6655773324,494.797,0.0285,95.5,0.0,0.0,50
34,68000,-993449.7095183748,494.797,0.0285,95.5,0.0,0.0,50
35,70000,-1023219.1242016688,494.797,0.0285,95.5,0.0,0.0,50
36,72000,-949665.1589554172,492.916,0.0228,96.61,0.0,0.0,30
37,74000,-1020764.3334362424,492.916,0.0228,96.61,0.0,0.0,30
38,76000,-907774.5793442548,494.797,0.0285,95.5,0.0,0.0,50
39,78000,-1042317.9572260692,494.389,0.0291,95.22,0.0,0.0,100
40,80000,-898742.2120912838,492.916,0.0228,96.61,0.0,0.0,30
41,82000,-886956.0958390123,494.797,0.0285,95.5,0.0,0.0,50
42,84000,-1023216.394492844,494.389,0.0291,95.22,0.0,0.0,100
43,86000,-994294.3601419784,492.916,0.0228,96.61,0.0,0.0,30
44,88000,-948478.0252341612,492.916,0.0228,96.61,0.0,0.0,30
45,90000,-945860.4890323092,492.916,0.0228,96.61,0.0,0.0,30
46,92000,-919277.1862063726,494.797,0.0285,95.5,0.0,0.0,50
47,94000,-1012455.5841385666,492.916,0.0228,96.61,0.0,0.0,30
48,96000,-877907.7294326506,492.916,0.0228,96.61,0.0,0.0,30
49,98000,-1003558.65824255,492.916,0.0228,96.61,0.0,0.0,30
50,100000,-993735.2369909724,494.797,0.0285,95.5,0.0,0.0,50
51,102000,-1007116.755011502,494.797,0.0285,95.5,0.0,0.0,50
