episode,global_step,density,reward_per_sec_selected,reward_per_decision,mean_reward,mean_loss,grad_updates_total,grad_updates_this_episode,swap_count,mean_delta,mean_delta_actual,n_decisions,n_intervals_closed,mean_aoi,peak_aoi,mean_peak_aoi,packet_loss_rate,mean_error,max_error,low_speed_error,high_speed_error,avg_tx_power_dbm,total_energy_joules,jains_fairness_aoi,jains_fairness_err,tx_attempts,tx_fails,tx_abandoned,coverage_outage_rate,outage_vehicle_steps,total_vehicle_steps,mean_update_error,n_updates_delivered,dynamics_fallbacks,n_observations,n_vehicles_seen,mean_cbr,max_cbr
1,2000,5.0,-0.153055,-1.22838,-0.153055,12.427,83,83,4,10.516,8.0257,478,478,13.3027,45.4,6.9535,0.1184,35.2043,485.1771,73.4923,26.5232,16.1294,0.015066,0.7614,0.3609,456,54,1,0.284556,300340,1055468,21.1814,402,0,38707,75,0.000255,0.0056
2,4000,10.0,-0.156142,-0.98848,-0.156142,6.0885,385,302,19,8.1048,6.3306,1372,1371,10.9037,45.2,5.3178,0.0809,32.2394,525.6899,55.552,26.136,16.05,0.041598,0.733,0.3175,1298,105,0,0.27452,606858,2210611,15.0893,1193,0,87856,179,0.000728,0.0112
3,6000,15.0,-0.137217,-0.779606,-0.137217,2.9245,974,589,48,6.7759,5.6816,3366,3362,8.8246,45.4,5.2009,0.0757,19.6342,526.5281,18.8794,20.0413,15.9787,0.104806,0.786,0.3067,3316,251,0,0.258095,844855,3273429,10.7311,3065,0,193882,301,0.00186,0.01568
4,8000,20.0,-0.141498,-0.748811,-0.141498,3.0516,1644,670,82,6.4609,5.292,3914,3911,7.8195,45.2,4.8479,0.0727,18.3568,512.5342,18.3024,18.3888,15.9914,0.122789,0.7899,0.3153,3864,281,1,0.253073,1079899,4267141,10.5871,3583,0,210349,330,0.002166,0.02128
5,10000,25.0,-0.140295,-0.756425,-0.140295,2.3328,2483,839,124,6.381,5.3917,5003,4999,8.3694,45.4,5.016,0.1013,17.25,518.8321,16.5725,17.7489,15.9102,0.162558,0.7945,0.3384,5145,521,0,0.248733,1331759,5354165,10.5615,4624,0,273925,378,0.002884,0.02016
6,12000,30.0,-0.13021,-0.679455,-0.13021,1.2666,3373,890,168,6.057,5.2181,5344,5336,8.2799,49.6,4.9678,0.1105,13.2696,427.0499,10.2117,16.1651,16.0064,0.181527,0.8115,0.3275,5622,621,4,0.287349,1744107,6069646,7.5641,5001,0,283260,337,0.003149,0.02352
7,14000,35.0,-0.134362,-0.778643,-0.134362,2.2254,4158,785,207,6.6944,5.7951,4870,4864,9.4237,45.5,5.3419,0.1194,14.3752,415.544,11.1074,17.4957,15.8363,0.161293,0.8006,0.3498,5151,615,5,0.300652,1913418,6364224,8.5239,4536,0,286222,329,0.002887,0.02352
8,16000,5.0,-0.120189,-0.619638,-0.120189,1.9943,4353,195,217,6.5978,5.1555,821,821,7.9324,45.3,4.5578,0.1006,15.5212,418.0644,22.2683,14.1233,16.1039,0.026857,0.7303,0.2574,815,82,0,0.288268,298852,1036717,8.2102,733,0,42996,88,0.000456,0.00448
9,18000,10.0,-0.131743,-0.684669,-0.131743,2.3652,4699,346,234,6.5972,5.197,1795,1795,8.0171,45.3,4.5459,0.0788,17.5975,435.3415,13.0503,18.7986,15.8635,0.054416,0.7841,0.288,1752,138,0,0.275959,585137,2120375,9.0893,1614,0,94763,181,0.000982,0.0112
10,20000,15.0,-0.139145,-0.791088,-0.139145,2.3093,5177,478,258,7.046,5.6853,2607,2607,9.1037,45.5,5.033,0.1101,20.1879,405.8109,25.7186,17.9738,15.9073,0.083742,0.7629,0.3225,2651,292,1,0.265247,851753,3211165,11.5924,2359,0,150410,247,0.001486,0.01232
11,22000,20.0,-0.150301,-0.799164,-0.150301,1.9828,5807,630,290,6.5625,5.3171,3482,3482,8.4638,45.4,4.7577,0.0898,19.8482,437.3938,21.3054,19.153,15.9116,0.110082,0.7914,0.353,3485,313,0,0.255925,1069483,4178887,11.1554,3172,0,188099,310,0.001953,0.0224
12,24000,25.0,-0.144218,-0.806445,-0.144218,2.2198,6575,768,328,6.4908,5.5918,4688,4685,8.8049,45.3,5.0436,0.0972,17.3312,538.5001,15.2315,18.9499,15.9637,0.153294,0.7993,0.3329,4814,468,0,0.251857,1334865,5300085,9.8378,4346,0,266125,342,0.002697,0.02352
13,26000,30.0,-0.129426,-0.6834,-0.129426,1.38,7520,945,376,6.1846,5.2802,5669,5668,8.073,45.3,4.8877,0.1131,13.0342,401.7725,9.8181,15.6978,15.9335,0.187964,0.7973,0.3104,5940,672,2,0.292157,1749001,5986517,8.1818,5268,0,304334,399,0.003329,0.02464
14,28000,35.0,-0.128363,-0.712289,-0.128363,1.7463,8472,952,423,6.2935,5.549,6095,6093,9.1979,45.5,5.1472,0.1106,14.7938,472.1307,11.7898,18.5655,15.8917,0.201843,0.8051,0.2729,6413,709,2,0.291508,1839035,6308693,7.7415,5704,0,343605,388,0.003592,0.03584
15,30000,5.0,-0.128518,-0.753293,-0.128518,1.9424,8649,177,432,7.7074,5.8614,686,686,9.9214,45.2,4.8793,0.0807,20.5253,479.8893,38.1555,16.9712,16.279,0.022,0.7334,0.2547,657,53,0,0.288108,305625,1060801,11.7599,604,0,40752,82,0.000368,0.00896
16,32000,10.0,-0.117563,-0.622348,-0.117563,2.1508,8943,294,447,6.8559,5.2937,1475,1471,8.761,45.3,4.5945,0.0804,15.8133,395.8355,23.145,13.7276,15.9429,0.045051,0.7411,0.295,1430,115,0,0.279222,583733,2090573,8.5606,1315,0,79080,158,0.000804,0.0112
17,34000,15.0,-0.136839,-0.802929,-0.136839,2.0365,9486,543,474,6.9897,5.8677,3235,3235,9.3976,45.4,5.2022,0.079,18.7261,433.5985,24.0932,16.2685,16.1464,0.103506,0.8004,0.3322,3215,254,0,0.26183,893414,3412196,10.2972,2961,0,192600,274,0.001802,0.02016
18,36000,20.0,-0.133416,-0.747651,-0.133416,2.1493,10128,642,506,6.8039,5.6039,3496,3493,8.7832,45.3,5.0114,0.0861,17.2073,467.946,20.216,15.5847,15.9954,0.10975,0.7735,0.2793,3473,299,0,0.244333,1086540,4446960,9.3185,3174,0,198726,321,0.001948,0.01904
19,38000,25.0,-0.133064,-0.728547,-0.133064,2.3098,10981,853,549,6.3823,5.4752,5131,5127,8.6578,45.4,5.0474,0.1036,14.9704,418.0566,10.7472,18.2402,15.7919,0.163095,0.8133,0.3433,5328,552,2,0.250556,1324500,5286233,8.7442,4776,0,285288,353,0.002985,0.01792
20,40000,30.0,-0.138003,-0.756109,-0.138003,1.7302,11886,905,594,6.4121,5.4789,5538,5535,8.6,45.4,5.0005,0.1154,15.3184,440.1725,12.1284,17.8187,15.9201,0.183645,0.7906,0.3367,5822,672,2,0.280871,1712675,6097722,8.8196,5150,0,308196,386,0.003262,0.02576
21,42000,35.0,-0.146716,-0.804505,-0.146716,1.6492,12772,886,638,6.5003,5.4834,5528,5525,9.1145,45.3,5.0485,0.1121,16.796,394.7402,15.9831,17.4158,16.0135,0.186845,0.791,0.3942,5788,649,1,0.298926,1889257,6320160,9.5443,5139,0,307880,388,0.003242,0.02912
