episode,global_step,density,reward_per_sec_selected,reward_per_decision,mean_reward,mean_loss,grad_updates_total,grad_updates_this_episode,swap_count,mean_delta,mean_delta_actual,n_decisions,n_intervals_closed,mean_aoi,peak_aoi,mean_peak_aoi,packet_loss_rate,mean_error,max_error,low_speed_error,high_speed_error,avg_tx_power_dbm,total_energy_joules,jains_fairness_aoi,jains_fairness_err,tx_attempts,tx_fails,tx_abandoned,coverage_outage_rate,outage_vehicle_steps,total_vehicle_steps,mean_update_error,n_updates_delivered,dynamics_fallbacks,n_observations,n_vehicles_seen,mean_cbr,max_cbr
1,2000,5.0,-0.023245,-0.191414,-0.023245,0.051,83,83,4,10.5528,8.2348,467,466,13.2625,45.8,7.4793,0.0862,37.5566,555.0771,62.2862,31.9497,16.2581,0.014598,0.7877,0.3476,429,37,0,0.284556,300340,1055468,17.3659,392,0,38707,75,0.000241,0.0056
2,4000,10.0,-0.025096,-0.192259,-0.025096,0.0502,336,253,16,10.1666,7.661,1136,1136,12.8029,45.3,6.2405,0.0929,41.1391,501.9684,62.3341,35.59,16.1413,0.034652,0.7545,0.3945,1055,98,0,0.27452,606858,2210611,20.7057,957,0,87856,179,0.000592,0.00896
3,6000,15.0,-0.023162,-0.198316,-0.023162,0.0482,762,426,38,10.7135,8.5622,2245,2244,13.7811,45.4,7.5926,0.0822,38.144,521.34,46.4902,33.6427,15.9857,0.067261,0.8179,0.4639,2118,174,0,0.258095,844855,3273429,22.8729,1944,0,193882,301,0.001187,0.01568
4,8000,20.0,-0.024342,-0.203555,-0.024342,0.0496,1242,480,62,10.7011,8.3624,2494,2492,13.6691,45.4,7.2557,0.1013,43.7658,492.2407,53.4644,38.0631,15.8167,0.074031,0.8246,0.503,2408,244,0,0.253073,1079899,4267141,24.5625,2164,0,210349,330,0.001351,0.0168
5,10000,25.0,-0.023205,-0.205387,-0.023205,0.0476,1835,593,91,10.7931,8.8511,3070,3067,14.0481,51.4,7.9267,0.1297,41.5197,592.7877,39.776,42.8037,15.7362,0.094483,0.8196,0.5024,3085,400,6,0.248733,1331759,5354165,24.0485,2685,0,273925,378,0.00173,0.01792
6,12000,30.0,-0.023652,-0.205369,-0.023652,0.0457,2434,599,121,10.3318,8.683,3235,3231,14.187,45.5,7.9327,0.1136,32.8154,429.8078,32.7741,32.8546,15.8418,0.102185,0.8431,0.4852,3266,371,1,0.287349,1744107,6069646,19.6025,2895,0,283260,337,0.001831,0.0224
7,14000,35.0,-0.023707,-0.205705,-0.023707,0.0442,3042,608,152,10.4228,8.677,3269,3267,13.9088,45.4,7.9249,0.1161,31.1464,539.2745,25.8694,36.1856,15.8537,0.104317,0.8376,0.4903,3326,386,0,0.300652,1913418,6364224,18.5644,2940,0,286222,329,0.001864,0.0224
8,16000,5.0,-0.022923,-0.18719,-0.022923,0.0432,3198,156,159,10.9509,8.1659,522,522,13.0593,45.3,7.1953,0.1143,33.852,491.7182,52.5964,29.9686,15.8898,0.015385,0.7521,0.3507,490,56,0,0.288268,298852,1036717,22.528,434,0,42996,88,0.000274,0.0056
9,18000,10.0,-0.02349,-0.194083,-0.02349,0.0445,3447,249,172,10.5226,8.2624,1138,1137,13.7107,45.6,6.9465,0.1064,38.8325,588.8029,39.322,38.7033,15.7886,0.033363,0.7852,0.4441,1071,114,0,0.275959,585137,2120375,18.4172,957,0,94763,181,0.0006,0.00896
10,20000,15.0,-0.023948,-0.202477,-0.023948,0.0446,3819,372,190,10.8196,8.455,1763,1763,13.9158,45.4,7.3242,0.0938,43.0366,505.4969,57.0321,37.4337,16.1639,0.056162,0.7919,0.4679,1673,157,0,0.265247,851753,3211165,23.3328,1516,0,150410,247,0.000939,0.01232
11,22000,20.0,-0.025067,-0.205509,-0.025067,0.0441,4299,480,214,10.2589,8.1984,2273,2273,13.3027,46.0,7.0926,0.0983,42.8548,531.44,52.3091,38.3442,16.0635,0.071821,0.8214,0.4651,2177,214,0,0.255925,1069483,4178887,23.3465,1963,0,188099,310,0.00122,0.01568
12,24000,25.0,-0.022284,-0.208719,-0.022284,0.0438,4826,527,241,11.1331,9.3662,2819,2817,14.7814,45.6,8.4548,0.1167,41.1442,507.8655,38.1261,43.4709,15.8375,0.087516,0.8608,0.4961,2803,327,1,0.251857,1334865,5300085,24.3237,2476,0,266125,342,0.001571,0.01904
13,26000,30.0,-0.024321,-0.205613,-0.024321,0.0473,5460,634,273,10.2032,8.454,3566,3565,14.1293,46.8,7.6865,0.1125,34.7391,519.2518,32.86,36.2953,15.8458,0.11098,0.8247,0.4591,3565,401,3,0.292157,1749001,5986517,18.7136,3164,0,304334,399,0.001999,0.03136
14,28000,35.0,-0.022569,-0.203958,-0.022569,0.041,6113,653,305,10.75,9.0371,3767,3767,14.4845,45.7,8.1052,0.1185,31.3946,500.3889,27.6164,36.1387,15.7163,0.117859,0.8447,0.4972,3831,454,1,0.291508,1839035,6308693,18.4829,3377,0,343605,388,0.002146,0.03136
15,30000,5.0,-0.024936,-0.181575,-0.024936,0.0412,6265,152,313,9.4726,7.2818,554,554,12.0509,45.3,6.4441,0.0906,31.6745,504.3797,67.836,24.3846,15.6191,0.015381,0.7504,0.2813,519,47,0,0.288108,305625,1060801,18.867,472,0,40752,82,0.000291,0.0056
16,32000,10.0,-0.023372,-0.19536,-0.023372,0.0407,6490,225,324,11.0935,8.3588,940,938,13.5773,45.5,6.5102,0.1314,34.8749,495.7348,54.5489,29.2781,16.0927,0.02858,0.7909,0.3464,898,118,0,0.279222,583733,2090573,17.5445,780,0,79080,158,0.000503,0.01008
17,34000,15.0,-0.02387,-0.204351,-0.02387,0.0435,6916,426,345,10.4776,8.561,2230,2229,13.7464,45.3,7.3268,0.1044,36.7314,493.6842,46.8385,32.1034,15.9692,0.0706,0.8365,0.472,2184,228,0,0.26183,893414,3412196,21.6028,1956,0,192600,274,0.001225,0.0168
18,36000,20.0,-0.022751,-0.19901,-0.022751,0.0417,7385,469,369,11.0625,8.7472,2253,2252,13.7636,45.4,7.4979,0.0805,38.1393,532.4548,48.5114,32.5456,16.0555,0.067212,0.7986,0.4143,2100,169,0,0.244333,1086540,4446960,21.088,1931,0,198726,321,0.001177,0.01456
19,38000,25.0,-0.023257,-0.208052,-0.023257,0.0421,7935,550,396,10.6556,8.9456,3162,3160,14.1818,45.5,7.7903,0.117,38.6256,521.6526,39.6698,37.817,15.918,0.100038,0.8479,0.4645,3180,372,1,0.250556,1324500,5286233,21.8108,2808,0,285288,353,0.001782,0.01904
