episode,global_step,density,reward_per_sec_selected,reward_per_decision,mean_reward,mean_loss,grad_updates_total,grad_updates_this_episode,swap_count,mean_delta,mean_delta_actual,n_decisions,n_intervals_closed,mean_aoi,peak_aoi,mean_peak_aoi,packet_loss_rate,mean_error,max_error,low_speed_error,high_speed_error,avg_tx_power_dbm,total_energy_joules,jains_fairness_aoi,jains_fairness_err,tx_attempts,tx_fails,tx_abandoned,coverage_outage_rate,outage_vehicle_steps,total_vehicle_steps,mean_update_error,n_updates_delivered,dynamics_fallbacks,n_observations,n_vehicles_seen,mean_cbr,max_cbr
1,2000,5.0,-0.019877,-0.189587,-0.019877,-0.094,23,23,1,14.1197,9.538,403,403,14.5366,45.4,8.2265,0.1323,35.8048,441.8392,64.0192,29.4078,15.9631,0.011767,0.81,0.3979,378,50,0,0.284556,300340,1055468,30.6033,328,0,38707,75,0.000212,0.00448
2,4000,10.0,-0.005461,-0.156795,-0.005461,-0.0665,73,50,3,45.0,28.7121,306,306,19.3138,45.5,45.0993,0.1181,53.8879,419.3366,77.6815,47.6585,12.086,0.001683,0.8575,0.4977,144,17,0,0.27452,606858,2210611,217.1426,127,0,87856,179,8.1e-05,0.0224
3,6000,15.0,-0.005874,-0.188454,-0.005874,-0.0895,137,64,6,45.0,32.0821,604,604,20.2372,45.8,45.1102,0.163,61.8518,499.1759,75.4669,54.5087,10.4519,0.001964,0.9047,0.6036,362,59,0,0.258095,844855,3273429,211.7853,303,0,193882,301,0.000203,0.03808
4,8000,20.0,-0.006438,-0.208861,-0.006438,-0.0939,209,72,10,45.0,32.4438,649,648,20.1417,45.9,45.1189,0.1862,68.609,491.6127,80.3781,61.6889,10.1293,0.001869,0.9123,0.6643,392,73,0,0.253073,1079899,4267141,219.9478,319,0,210349,330,0.00022,0.04144
5,10000,25.0,-0.006675,-0.220391,-0.006675,-0.0857,293,84,14,45.0,33.0159,830,829,20.5344,45.5,45.1139,0.206,69.524,485.6692,73.9554,66.2607,10.0113,0.002563,0.8989,0.6577,568,117,0,0.248733,1331759,5354165,206.8372,451,0,273925,378,0.000319,0.06832
6,12000,30.0,-0.006743,-0.232957,-0.006743,-0.0764,384,91,19,45.0,34.5498,821,819,20.6129,45.5,45.1034,0.1454,51.3737,438.7369,53.3305,49.5209,12.367,0.006254,0.9228,0.617,564,82,0,0.287349,1744107,6069646,159.8171,482,0,283260,337,0.000316,0.08064
7,14000,35.0,-0.00603,-0.210271,-0.00603,-0.0591,475,91,23,45.0,34.8689,820,820,20.7613,46.0,45.1268,0.2561,48.74,471.7859,43.9797,53.2858,10.1638,0.003178,0.9167,0.6121,660,169,0,0.300652,1913418,6364224,142.432,491,0,286222,329,0.00037,0.09296
8,16000,5.0,-0.004325,-0.123977,-0.004325,-0.0774,508,33,25,45.0,28.6653,150,150,19.5638,45.5,45.1096,0.1507,44.337,429.5061,57.6089,41.5874,10.0,0.000327,0.8592,0.4637,73,11,0,0.288268,298852,1036717,188.6346,62,0,42996,88,4.1e-05,0.00784
9,18000,10.0,-0.00458,-0.138684,-0.00458,0.0116,554,46,27,45.0,30.2773,313,313,19.339,45.5,45.0968,0.1429,44.9722,415.0059,61.916,40.4969,10.0222,0.000694,0.894,0.5533,154,22,0,0.275959,585137,2120375,181.8313,132,0,94763,181,8.6e-05,0.028
10,20000,15.0,-0.008593,-0.145417,-0.008593,0.8827,631,77,31,24.077,16.923,886,886,19.1452,45.6,13.5558,0.3209,55.2568,423.5529,78.3195,46.024,10.4572,0.00504,0.8605,0.5588,941,302,0,0.265247,851753,3211165,69.8741,639,0,150410,247,0.000528,0.03584
11,22000,20.0,-0.243888,-0.245469,-0.243888,285247.4644,746,115,37,1.3634,1.0065,17048,17047,14.65,45.6,0.8233,0.1089,61.7444,499.2364,83.1155,51.5484,18.4397,0.925893,0.7565,0.5327,18783,2045,0,0.255925,1069483,4178887,2.956,16738,0,188099,310,0.010521,0.04816
12,24000,25.0,-0.487346,-0.266885,-0.487346,285247.4644,746,0,37,0.6899,0.5476,41180,41175,12.5861,45.6,0.5657,0.1221,52.1016,543.0618,60.0533,45.9716,19.582,2.639177,0.6864,0.4579,46514,5678,2,0.251857,1334865,5300085,1.5903,40836,0,266125,342,0.026051,0.08288
13,26000,30.0,-0.617253,-0.269595,-0.617253,285247.4644,746,0,37,0.5415,0.4368,56825,56810,10.9532,45.7,0.4429,0.1368,40.6872,494.6953,40.9689,40.4538,19.5986,3.703923,0.6209,0.4257,65362,8940,4,0.292157,1749001,5986517,0.8968,56422,0,304334,399,0.036603,0.10528
14,28000,35.0,-0.763186,-0.290124,-0.763186,285247.4644,746,0,37,0.454,0.3801,71702,71681,10.4137,45.9,0.4185,0.1309,35.9516,482.7315,32.8983,39.7853,20.8377,5.50885,0.6023,0.4255,82055,10742,0,0.291508,1839035,6308693,0.8111,71313,0,343605,388,0.045952,0.12544
15,30000,5.0,-0.008228,-0.144215,-0.008228,285247.4644,746,0,37,27.0638,17.5272,232,232,18.9995,45.3,14.493,0.1979,48.4357,454.147,70.9817,43.8906,12.2562,0.002102,0.8638,0.4623,187,37,0,0.288108,305625,1060801,75.4784,150,0,40752,82,0.000105,0.01344
16,32000,10.0,-0.038836,-0.18085,-0.038836,285247.4644,746,0,37,7.0816,4.6567,1672,1668,17.8812,45.6,3.1715,0.2121,49.752,432.4259,75.5512,42.4128,14.4688,0.042061,0.8364,0.4573,1919,407,0,0.279222,583733,2090573,12.7733,1512,0,79080,158,0.001075,0.02016
