episode,global_step,density,reward_per_sec_selected,reward_per_decision,mean_reward,mean_loss,grad_updates_total,grad_updates_this_episode,swap_count,mean_delta,mean_delta_actual,n_decisions,n_intervals_closed,mean_aoi,peak_aoi,mean_peak_aoi,packet_loss_rate,mean_error,max_error,low_speed_error,high_speed_error,avg_tx_power_dbm,total_energy_joules,jains_fairness_aoi,jains_fairness_err,tx_attempts,tx_fails,tx_abandoned,coverage_outage_rate,outage_vehicle_steps,total_vehicle_steps,mean_update_error,n_updates_delivered,dynamics_fallbacks,n_observations,n_vehicles_seen,mean_cbr,max_cbr
1,2000,5.0,-0.106116,-0.236181,-0.106116,0.1928,180,180,9,2.608,2.2257,1672,1670,5.3286,45.2,2.0498,0.1844,12.6629,480.0984,10.6111,13.1281,11.2678,0.018492,0.474,0.14,1958,361,0,0.284556,300340,1055468,2.5759,1597,0,38707,75,0.001099,0.01456
2,4000,10.0,-0.076316,-0.138099,-0.076316,0.1043,769,589,38,1.8816,1.8096,4618,4617,2.5694,45.2,1.9093,0.1537,3.4904,395.7701,4.5143,3.2224,10.6374,0.035003,0.3878,0.0463,5245,806,0,0.27452,606858,2210611,1.0716,4439,0,87856,179,0.002939,0.04256
3,6000,15.0,-0.091811,-0.198833,-0.091811,0.0235,1696,927,84,2.2394,2.1657,8586,8579,3.5342,45.2,2.1815,0.159,4.7608,301.1504,4.7389,4.7726,11.232,0.08606,0.7344,0.1879,9849,1566,2,0.258095,844855,3273429,1.9222,8283,0,193882,301,0.005517,0.05376
4,8000,20.0,-0.056076,-0.181537,-0.056076,0.0177,2392,696,119,3.4419,3.2373,6319,6319,2.8501,45.2,3.4192,0.1369,2.4446,374.404,1.787,2.8312,11.8691,0.069626,0.784,0.0833,6938,950,1,0.253073,1079899,4267141,2.5675,5988,0,210349,330,0.00389,0.06384
5,10000,25.0,-0.045052,-0.215606,-0.045052,0.0293,3024,632,151,5.1563,4.7857,5623,5619,3.4692,45.3,5.0606,0.1847,3.0979,429.0087,3.1216,3.0804,10.8097,0.042609,0.8437,0.1284,6428,1187,3,0.248733,1331759,5354165,4.2253,5241,0,273925,378,0.003602,0.07504
6,12000,30.0,-0.038803,-0.193598,-0.038803,0.0218,3660,636,183,5.1515,4.9892,5584,5576,3.6058,45.2,5.4124,0.1888,2.4388,376.6071,1.8837,2.9644,10.68,0.041362,0.8708,0.1,6462,1220,3,0.287349,1744107,6069646,3.3923,5242,0,283260,337,0.003619,0.09856
7,14000,35.0,-0.043399,-0.239237,-0.043399,0.0154,4288,628,214,5.7221,5.5125,5112,5109,4.1111,45.2,5.9525,0.1923,2.8404,402.4887,1.8387,3.7969,10.6892,0.038673,0.8465,0.0906,5918,1138,3,0.300652,1913418,6364224,4.238,4780,0,286222,329,0.003317,0.08624
8,16000,5.0,-0.039985,-0.144731,-0.039985,0.0151,4483,195,224,3.9977,3.6197,1160,1160,3.1001,19.2,3.5584,0.1014,1.1018,70.0942,0.9754,1.1279,11.5533,0.010647,0.8368,0.4718,1193,121,0,0.288268,298852,1036717,2.242,1072,0,42996,88,0.000669,0.00672
9,18000,10.0,-0.035295,-0.153801,-0.035295,0.0145,4808,325,240,4.8927,4.3575,2135,2133,3.7673,19.3,4.226,0.113,1.3293,70.1334,1.3267,1.33,10.9147,0.014161,0.8565,0.5519,2203,249,0,0.275959,585137,2120375,2.8712,1954,0,94763,181,0.001234,0.01792
10,20000,15.0,-0.042287,-0.207871,-0.042287,0.0068,5223,415,261,5.3948,4.9157,3008,3007,4.3045,45.2,5.0245,0.1187,2.6245,357.7932,3.1444,2.4163,11.3435,0.022473,0.8388,0.1071,3133,372,0,0.265247,851753,3211165,3.5317,2761,0,150410,247,0.001756,0.04144
11,22000,20.0,-0.034717,-0.162816,-0.034717,0.0047,5702,479,285,5.064,4.6898,3939,3938,3.3244,45.2,4.8505,0.1181,1.5511,61.0896,1.2188,1.7096,10.7671,0.025467,0.9106,0.6945,4115,486,0,0.255925,1069483,4178887,3.6903,3629,0,188099,310,0.002306,0.04256
12,24000,25.0,-0.039706,-0.160977,-0.039706,0.004,6397,695,319,4.2942,4.0542,6424,6419,3.2278,45.2,4.1002,0.163,1.6434,379.361,1.1427,2.0295,11.1524,0.057494,0.8935,0.1301,7262,1184,4,0.251857,1334865,5300085,2.5571,6078,0,266125,342,0.004068,0.05712
13,26000,30.0,-0.035187,-0.154466,-0.035187,0.0052,7160,763,358,4.6544,4.3898,6794,6792,3.2976,45.3,4.5314,0.1937,2.0874,440.6159,1.7357,2.3787,10.6449,0.053321,0.7751,0.0743,7929,1536,2,0.292157,1749001,5986517,2.6375,6393,0,304334,399,0.004444,0.06608
14,28000,35.0,-0.039175,-0.181454,-0.039175,0.0065,7930,770,396,4.841,4.6319,7274,7274,3.5905,45.2,4.8864,0.1862,1.5581,234.051,1.2469,1.9487,11.3671,0.087291,0.9331,0.2897,8453,1574,6,0.291508,1839035,6308693,2.7811,6879,0,343605,388,0.004738,0.08512
15,30000,5.0,-0.035913,-0.177939,-0.035913,0.0029,8086,156,404,6.7303,4.9548,811,809,4.4455,22.5,4.8143,0.0989,1.4758,51.2585,0.8852,1.5948,11.3411,0.008389,0.8591,0.4875,809,80,0,0.288108,305625,1060801,3.0902,729,0,40752,82,0.000454,0.01008
16,32000,10.0,-0.032142,-0.13584,-0.032142,0.0049,8368,282,418,4.8805,4.2262,1837,1834,3.4848,21.9,4.029,0.1391,1.0203,55.6157,0.8825,1.0595,10.6696,0.013486,0.8973,0.5625,1948,271,0,0.279222,583733,2090573,2.1907,1677,0,79080,158,0.001091,0.02016
17,34000,15.0,-0.031266,-0.145619,-0.031266,0.0055,8873,505,443,5.14,4.6574,4059,4058,3.5266,45.1,4.7507,0.1271,1.3574,254.3576,1.4879,1.2977,11.126,0.037079,0.8183,0.142,4336,551,0,0.26183,893414,3412196,2.6634,3785,0,192600,274,0.002431,0.04368
18,36000,20.0,-0.030951,-0.138442,-0.030951,0.007,9419,546,470,5.0295,4.4729,4358,4357,3.646,45.2,4.2938,0.1302,1.2081,128.5736,1.1564,1.236,10.6393,0.029905,0.8849,0.3118,4639,604,1,0.244333,1086540,4446960,2.5343,4035,0,198726,321,0.0026,0.04032
19,38000,25.0,-0.036072,-0.158284,-0.036072,0.0031,10151,732,507,4.8534,4.388,6373,6369,3.6194,45.2,4.4652,0.1645,1.7838,318.4129,0.8161,2.533,10.6997,0.045183,0.8517,0.1127,7202,1185,3,0.250556,1324500,5286233,2.6813,6017,0,285288,353,0.004034,0.04704
20,40000,30.0,-0.034645,-0.176096,-0.034645,0.0038,10823,672,541,5.5534,5.0828,5961,5958,3.8114,45.2,5.1605,0.1729,2.5254,294.5672,2.268,2.7272,10.5863,0.03924,0.8157,0.0912,6739,1165,1,0.280871,1712675,6097722,3.5307,5574,0,308196,386,0.003775,0.06608
21,42000,35.0,-0.048941,-0.201327,-0.048941,0.004,11599,776,579,4.6836,4.1137,7325,7321,3.9094,45.3,4.1355,0.1936,2.4249,347.5763,1.5461,3.0949,11.7871,0.077852,0.7864,0.0998,8595,1664,6,0.298926,1889257,6320160,2.8526,6931,0,307880,388,0.004814,0.10416
22,44000,5.0,-0.031683,-0.148778,-0.031683,0.0068,11793,194,589,5.8334,4.6958,1124,1124,3.882,38.3,4.5493,0.1223,2.1291,319.9222,1.7964,2.2207,10.4786,0.007175,0.8808,0.0593,1177,144,0,0.288355,296233,1027321,2.5676,1033,0,53749,91,0.000659,0.01232
23,46000,10.0,-0.043856,-0.176686,-0.043856,0.0097,12134,341,606,4.7496,4.0288,2289,2289,4.2245,45.2,4.0088,0.1025,2.0535,264.8786,2.1207,2.0329,11.7796,0.02234,0.7829,0.0861,2362,242,0,0.275622,613383,2225447,2.4685,2120,0,94221,169,0.001323,0.02128
24,48000,15.0,-0.054356,-0.253086,-0.054356,0.0077,12480,346,624,5.2704,4.6561,2615,2615,3.8898,25.8,4.7475,0.1103,2.4246,344.058,2.0711,2.5054,14.7036,0.067862,0.9297,0.1161,2692,297,0,0.268667,836330,3112883,3.7167,2395,0,123985,220,0.001508,0.05936
25,50000,20.0,-0.045723,-0.189488,-0.045723,0.0036,13069,589,653,4.6489,4.1443,5038,5034,3.6607,45.5,4.0552,0.135,2.5269,332.0981,2.4529,2.567,11.9219,0.068167,0.802,0.1139,5444,735,0,0.259545,1105101,4257836,2.8971,4709,0,213128,328,0.003049,0.06272
26,52000,25.0,-0.035273,-0.178108,-0.035273,0.0053,13740,671,687,5.4279,5.0494,5544,5540,3.7749,45.2,5.1226,0.1473,1.7382,354.7871,1.5221,1.9161,11.2525,0.06207,0.9256,0.169,6061,893,1,0.258908,1400077,5407614,3.4141,5168,0,284693,375,0.003396,0.07168
27,54000,30.0,-0.041676,-0.183797,-0.041676,0.0089,14524,784,726,4.8297,4.4102,6644,6639,4.0551,45.4,4.3701,0.1764,2.5913,487.0167,2.2994,2.8335,10.9902,0.071439,0.8272,0.0795,7595,1340,2,0.291878,1787131,6122872,2.9221,6255,0,298832,386,0.004254,0.09072
28,56000,35.0,-0.056711,-0.297776,-0.056711,0.0089,15171,647,758,5.6289,5.2507,5277,5270,4.4404,45.2,5.3203,0.1479,3.7682,303.7046,2.695,4.6775,12.5674,0.085025,0.8591,0.1844,5793,857,0,0.299522,1869816,6242668,4.4606,4936,0,281453,340,0.003246,0.10304
29,58000,5.0,-0.045059,-0.187773,-0.045059,0.0097,15339,168,766,4.706,4.1672,937,937,4.2367,45.2,4.0617,0.0752,2.7033,285.4148,1.0406,3.1463,12.2342,0.01283,0.7539,0.0732,931,70,0,0.28947,286033,988127,2.4754,861,0,39851,76,0.000521,0.0056
