episode,global_step,density,reward_per_sec_selected,reward_per_decision,mean_reward,mean_loss,grad_updates_total,grad_updates_this_episode,swap_count,mean_delta,mean_delta_actual,n_decisions,n_intervals_closed,mean_aoi,peak_aoi,mean_peak_aoi,packet_loss_rate,mean_error,max_error,low_speed_error,high_speed_error,avg_tx_power_dbm,total_energy_joules,jains_fairness_aoi,jains_fairness_err,tx_attempts,tx_fails,tx_abandoned,coverage_outage_rate,outage_vehicle_steps,total_vehicle_steps,mean_update_error,n_updates_delivered,dynamics_fallbacks,n_observations,n_vehicles_seen,mean_cbr,max_cbr
1,2000,5.0,-0.111323,-0.169935,-0.111323,-0.049,253,253,12,1.753,1.5265,2388,2388,5.6295,42.3,1.4361,0.1083,8.9555,369.1266,8.688,9.0162,14.4781,0.03862,0.5918,0.2119,2594,281,0,0.284556,300340,1055468,1.9023,2313,0,38707,75,0.001454,0.00784
2,4000,10.0,-0.156683,-0.115406,-0.156683,0.1404,1445,1192,72,0.9555,0.7366,10539,10539,10.5154,45.4,0.589,0.1663,20.6166,382.0654,35.0379,16.8409,10.3934,0.06531,0.6314,0.3033,12426,2066,0,0.27452,606858,2210611,1.2637,10360,0,87856,179,0.00697,0.03024
3,6000,15.0,-0.049895,-0.114422,-0.049895,0.2835,2275,830,113,3.0947,2.2932,8123,8122,13.644,45.5,1.8019,0.1624,34.876,460.4541,38.8925,32.7098,10.2676,0.044894,0.8138,0.4752,9337,1516,1,0.258095,844855,3273429,6.0269,7821,0,193882,301,0.00523,0.03248
4,8000,20.0,-0.008659,-0.162325,-0.008659,0.3036,2458,183,122,25.2951,18.7458,1120,1119,17.9452,45.6,17.2656,0.21,56.1411,562.5442,66.6407,49.9674,10.288,0.004813,0.9037,0.6019,1000,210,0,0.253073,1079899,4267141,82.4108,790,0,210349,330,0.000561,0.01456
5,10000,25.0,-0.007526,-0.186562,-0.007526,0.3259,2659,201,132,32.2151,24.7895,1104,1103,18.3964,45.8,29.1589,0.1599,57.3586,485.5813,60.8495,54.7878,10.2269,0.004091,0.8948,0.6092,863,138,0,0.248733,1331759,5354165,117.187,725,0,273925,378,0.000484,0.03136
6,12000,30.0,-0.007014,-0.181234,-0.007014,0.3387,2881,222,144,32.5236,25.8399,1096,1094,18.7927,46.3,29.3953,0.1738,43.978,437.7496,44.3047,43.6687,10.2194,0.004326,0.92,0.628,915,159,1,0.287349,1744107,6069646,92.7498,756,0,283260,337,0.000512,0.04144
7,14000,35.0,-0.006793,-0.194887,-0.006793,0.342,3078,197,153,35.5466,28.6897,996,996,18.649,45.6,34.0339,0.1599,44.3799,445.5439,39.0754,49.4454,10.235,0.003768,0.9101,0.601,794,127,0,0.300652,1913418,6364224,95.0814,667,0,286222,329,0.000445,0.03808
8,16000,5.0,-0.008692,-0.108791,-0.008692,0.3396,3159,81,157,18.7455,12.5164,342,342,16.7503,45.7,9.8192,0.2953,32.372,429.5061,34.1712,31.9992,10.2347,0.001705,0.8448,0.3876,359,106,1,0.288268,298852,1036717,36.8107,253,0,42996,88,0.000201,0.00336
9,18000,10.0,-0.004925,-0.133298,-0.004925,0.3381,3249,90,162,38.2616,27.066,350,350,17.4069,45.4,36.164,0.1058,37.6473,457.4637,47.6954,34.9933,10.2437,0.000898,0.8918,0.4933,189,20,0,0.275959,585137,2120375,128.785,169,0,94763,181,0.000106,0.01568
10,20000,15.0,-0.005811,-0.154553,-0.005811,0.3231,3364,115,168,36.4159,26.5945,565,565,17.7248,45.4,33.0828,0.0862,43.6403,422.3168,55.7059,38.81,10.22,0.00165,0.8868,0.4972,348,30,0,0.265247,851753,3211165,121.7591,318,0,150410,247,0.000195,0.00784
11,22000,20.0,-0.006796,-0.196243,-0.006796,0.3161,3501,137,175,39.87,28.8743,651,651,18.1061,45.5,38.3354,0.1323,57.7784,451.3004,71.4477,51.2568,10.4326,0.002065,0.9089,0.5773,393,52,0,0.255925,1069483,4178887,183.473,341,0,188099,310,0.00022,0.02352
12,24000,25.0,-0.006812,-0.213546,-0.006812,0.3119,3672,171,183,39.3815,31.3465,848,848,18.8609,45.6,38.705,0.1553,60.0763,543.0618,63.6836,57.2953,10.4889,0.003291,0.9234,0.5852,599,93,0,0.251857,1334865,5300085,168.3114,506,0,266125,342,0.000335,0.03248
13,26000,30.0,-0.006651,-0.2036,-0.006651,0.3134,3862,190,193,39.6032,30.6102,993,993,18.8192,45.7,38.7943,0.1761,48.9173,410.6845,48.7211,49.0798,10.275,0.00362,0.9041,0.5774,721,127,0,0.292157,1749001,5986517,132.9209,594,0,304334,399,0.000405,0.03808
