episode,global_step,density,reward_per_sec_selected,reward_per_decision,mean_reward,mean_loss,grad_updates_total,grad_updates_this_episode,swap_count,mean_delta,mean_delta_actual,n_decisions,n_intervals_closed,mean_aoi,peak_aoi,mean_peak_aoi,packet_loss_rate,mean_error,max_error,low_speed_error,high_speed_error,avg_tx_power_dbm,total_energy_joules,jains_fairness_aoi,jains_fairness_err,tx_attempts,tx_fails,tx_abandoned,coverage_outage_rate,outage_vehicle_steps,total_vehicle_steps,mean_update_error,n_updates_delivered,dynamics_fallbacks,n_observations,n_vehicles_seen,mean_cbr,max_cbr
1,2000,5.0,-0.099559,-0.208025,-0.099559,0.2919,153,153,7,2.1216,2.0895,1774,1774,1.5952,13.1,2.1977,0.0514,0.6011,63.4411,0.4464,0.6362,17.0768,0.043699,0.8722,0.4526,1791,92,0,0.284556,300340,1055468,0.9592,1699,0,38707,75,0.001004,0.0056
2,4000,10.0,-0.219303,-0.189614,-0.219303,0.8732,1016,863,50,0.8092,0.8646,9147,9139,4.0693,31.0,0.8426,0.1954,7.7332,268.0327,11.072,6.859,11.2902,0.090343,0.6292,0.3133,11146,2178,0,0.27452,606858,2210611,1.3225,8968,0,87856,179,0.006255,0.0392
3,6000,15.0,-0.224585,-0.13907,-0.224585,1.6868,3475,2459,173,0.6249,0.6192,27027,27026,2.7042,34.2,0.6521,0.201,2.989,369.0478,1.1183,3.9978,10.5359,0.174974,0.5964,0.1303,33446,6723,3,0.258095,844855,3273429,0.3862,26723,0,193882,301,0.018752,0.05712
4,8000,20.0,-0.075076,-0.336217,-0.075076,2.381,3892,417,194,5.1313,4.4783,4613,4606,5.6041,42.4,3.7302,0.1928,6.1284,287.4428,3.1508,7.8792,10.3219,0.026005,0.7817,0.2892,5306,1023,0,0.253073,1079899,4267141,5.3163,4283,0,210349,330,0.002971,0.01344
5,10000,25.0,-0.073431,-0.175754,-0.073431,2.0773,4780,888,239,2.6323,2.3935,11012,11010,3.1638,30.0,2.1882,0.1964,2.3085,164.2005,0.3997,3.7141,11.1054,0.110127,0.8083,0.2062,13212,2595,16,0.248733,1331759,5354165,1.5335,10617,0,273925,378,0.0074,0.03248
6,12000,30.0,-0.068101,-0.582745,-0.068101,2.6995,5096,316,254,9.4618,8.5571,3282,3278,6.6534,38.6,8.8155,0.1479,5.5657,250.1606,3.9328,7.1119,10.6828,0.02375,0.911,0.5502,3454,511,0,0.287349,1744107,6069646,9.8773,2943,0,283260,337,0.001934,0.00896
7,14000,35.0,-0.056413,-0.152049,-0.056413,1.8431,5894,798,294,2.8533,2.6953,10263,10258,3.1535,33.9,2.4995,0.2418,1.82,178.0821,0.4987,3.0818,10.5203,0.082429,0.7202,0.1095,13083,3164,15,0.300652,1913418,6364224,1.3532,9919,0,286222,329,0.007328,0.02576
8,16000,5.0,-0.065292,-0.211018,-0.065292,1.8468,6045,151,302,3.8815,3.2319,1295,1295,3.9485,31.9,2.7984,0.1606,3.535,144.8903,0.3293,4.1992,10.7125,0.010673,0.8153,0.2509,1438,231,0,0.288268,298852,1036717,2.5088,1207,0,42996,88,0.000805,0.0056
9,18000,10.0,-0.059128,-0.364435,-0.059128,2.0883,6213,168,310,7.6968,6.1635,1519,1518,5.4712,32.5,5.1673,0.1226,4.3099,191.9138,1.8831,4.9509,10.587,0.01019,0.8723,0.3269,1525,187,0,0.275959,585137,2120375,5.7609,1338,0,94763,181,0.000854,0.0056
10,20000,15.0,-0.057567,-0.39234,-0.057567,2.2793,6438,225,321,8.0599,6.8154,2181,2181,5.582,44.7,6.4314,0.1225,4.4487,304.9032,3.6386,4.773,10.7104,0.014665,0.8634,0.3729,2204,270,0,0.265247,851753,3211165,7.1427,1934,0,150410,247,0.001234,0.00784
11,22000,20.0,-0.056104,-0.392673,-0.056104,2.4475,6717,279,335,8.1062,6.9991,2658,2657,5.0422,28.1,6.4649,0.1249,4.053,170.0529,1.9844,5.0399,10.5263,0.015896,0.8826,0.3605,2683,335,0,0.255925,1069483,4178887,8.4762,2348,0,188099,310,0.001503,0.00784
12,24000,25.0,-0.040401,-0.234202,-0.040401,2.0966,7115,398,355,6.2217,5.797,4527,4522,4.1465,28.8,5.6319,0.1687,2.2475,163.0176,1.1579,3.0875,10.9997,0.042366,0.8742,0.5962,5033,849,1,0.251857,1334865,5300085,4.9461,4184,0,266125,342,0.002818,0.01008
13,26000,30.0,-0.037747,-0.150984,-0.037747,1.3043,7741,626,387,4.1978,3.9999,7441,7438,3.0887,30.0,3.8743,0.2011,1.3079,92.3268,0.4473,2.0207,10.8229,0.072233,0.8995,0.3889,8807,1771,6,0.292157,1749001,5986517,2.4022,7036,0,304334,399,0.004932,0.01568
14,28000,35.0,-0.039031,-0.231742,-0.039031,1.4434,8209,468,410,6.3495,5.9374,5704,5701,4.1803,33.1,5.8135,0.188,2.1744,188.7645,0.8819,3.7973,10.6834,0.049052,0.8943,0.3442,6543,1230,2,0.291508,1839035,6308693,4.2228,5313,0,343605,388,0.003665,0.0112
15,30000,5.0,-0.049356,-0.192756,-0.049356,1.4806,8329,120,416,4.3638,3.9054,1021,1021,4.1172,35.4,3.6836,0.1108,1.9334,85.5225,0.2626,2.2702,11.6306,0.013461,0.8089,0.3047,1056,117,0,0.288108,305625,1060801,2.4085,939,0,40752,82,0.000591,0.00448
16,32000,10.0,-0.046186,-0.154921,-0.046186,1.2988,8557,228,427,3.6041,3.3542,2299,2297,3.0109,28.1,3.2367,0.1205,1.3062,91.3575,0.4006,1.5638,11.5228,0.029283,0.7871,0.3468,2432,293,0,0.279222,583733,2090573,1.886,2139,0,79080,158,0.001362,0.01008
17,34000,15.0,-0.037866,-0.178012,-0.037866,1.3767,8925,368,446,5.0883,4.7011,4022,4021,3.5395,31.8,4.6568,0.1031,1.4745,166.2079,1.0814,1.6545,11.8083,0.058854,0.8888,0.4453,4179,431,0,0.26183,893414,3412196,3.0787,3748,0,192600,274,0.002341,0.01008
18,36000,20.0,-0.035971,-0.183525,-0.035971,1.2036,9288,363,464,5.6343,5.1021,3832,3830,3.7157,24.5,5.1076,0.1044,1.526,96.8042,1.3564,1.6174,11.7056,0.049646,0.9256,0.5909,3919,409,0,0.244333,1086540,4446960,3.5555,3510,0,198726,321,0.002196,0.01008
19,38000,25.0,-0.040585,-0.239962,-0.040585,1.2683,9685,397,484,6.4455,5.9126,4759,4754,4.3084,34.7,5.8888,0.1564,2.1283,161.4545,1.2107,2.8387,11.2935,0.053913,0.8876,0.6309,5223,817,0,0.250556,1324500,5286233,4.5679,4406,0,285288,353,0.002926,0.01008
20,40000,30.0,-0.034175,-0.142546,-0.034175,1.1727,10262,577,513,4.3811,4.171,7234,7230,2.9603,27.8,4.2362,0.2055,1.0632,59.8868,0.4567,1.5387,11.1414,0.08489,0.8735,0.6917,8613,1770,5,0.280871,1712675,6097722,2.4527,6843,0,308196,386,0.004825,0.0168
21,42000,35.0,-0.03328,-0.156984,-0.03328,1.019,10802,540,540,5.035,4.7171,6406,6404,3.3441,28.8,4.6681,0.1831,1.2858,69.3266,0.5402,1.8543,11.1906,0.075517,0.9074,0.6398,7362,1348,4,0.298926,1889257,6320160,2.9178,6014,0,307880,388,0.004123,0.01232
22,44000,5.0,-0.043951,-0.141939,-0.043951,0.9988,10970,168,548,3.4614,3.2295,1620,1619,2.555,16.9,3.155,0.1273,0.732,43.3632,0.5885,0.7716,12.1271,0.027036,0.931,0.6332,1752,223,0,0.288355,296233,1027321,1.5075,1529,0,53749,91,0.000981,0.0056
23,46000,10.0,-0.037647,-0.154786,-0.037647,1.0141,11194,224,559,4.4701,4.1115,2246,2244,3.107,28.6,4.0502,0.1105,1.1089,74.1158,0.6835,1.2393,11.9625,0.034066,0.8888,0.5845,2335,258,0,0.275622,613383,2225447,2.5028,2077,0,94221,169,0.001308,0.0056
24,48000,15.0,-0.035942,-0.178714,-0.035942,1.0508,11437,243,571,5.5099,4.9722,2453,2452,3.8284,25.1,4.8381,0.1142,1.3791,93.8922,1.0854,1.4461,12.0202,0.036294,0.8883,0.5526,2521,288,0,0.268667,836330,3112883,3.2413,2233,0,123985,220,0.001413,0.00672
