episode,global_step,density,reward_per_sec_selected,reward_per_decision,mean_reward,mean_loss,grad_updates_total,grad_updates_this_episode,swap_count,mean_delta,mean_delta_actual,n_decisions,n_intervals_closed,mean_aoi,peak_aoi,mean_peak_aoi,packet_loss_rate,mean_error,max_error,low_speed_error,high_speed_error,avg_tx_power_dbm,total_energy_joules,jains_fairness_aoi,jains_fairness_err,tx_attempts,tx_fails,tx_abandoned,coverage_outage_rate,outage_vehicle_steps,total_vehicle_steps,mean_update_error,n_updates_delivered,dynamics_fallbacks,n_observations,n_vehicles_seen,mean_cbr,max_cbr
1,2000,5.0,-0.086705,-0.469695,-0.086705,0.6958,132,132,6,6.3311,5.4172,704,704,6.8616,39.0,4.9548,0.1288,10.4895,379.5098,11.2932,10.3073,13.319,0.010292,0.7752,0.2258,722,93,0,0.284556,300340,1055468,8.6773,629,0,38707,75,0.000405,0.00448
2,4000,10.0,-0.145021,-0.343936,-0.145021,0.7893,855,723,42,3.0,2.3716,3569,3567,8.8199,43.1,1.7563,0.1812,18.4143,418.9614,14.6404,19.4024,10.1832,0.020831,0.7095,0.318,4140,750,0,0.27452,606858,2210611,4.2999,3390,0,87856,179,0.002319,0.01568
3,6000,15.0,-0.190301,-0.869101,-0.190301,1.8072,1697,842,84,5.9141,4.567,4165,4165,13.2968,45.2,3.2138,0.2409,33.2347,415.0875,23.451,38.5114,10.3422,0.033171,0.8758,0.4892,5086,1225,3,0.258095,844855,3273429,9.9151,3861,0,193882,301,0.002848,0.02464
4,8000,20.0,-0.18939,-2.088657,-0.18939,16384.9848,2096,399,104,13.3836,11.0283,1898,1895,12.5971,44.7,11.318,0.0416,32.3691,464.8041,38.5096,28.7586,19.3155,0.106139,0.8866,0.5136,1636,68,0,0.253073,1079899,4267141,37.0132,1568,0,210349,330,0.000917,0.00784
5,10000,25.0,-0.15553,-1.267045,-0.15553,9.5841,2719,623,135,9.557,8.1466,3331,3329,9.3656,43.7,8.4045,0.052,22.1351,448.1309,25.5934,19.5885,20.4264,0.224386,0.8335,0.3865,3114,162,0,0.248733,1331759,5354165,19.2788,2952,0,273925,378,0.001744,0.00896
6,12000,30.0,-0.148662,-1.585562,-0.148662,10339.8409,3215,496,160,11.6372,10.6656,2640,2636,10.276,42.7,11.1502,0.0303,17.3346,391.4375,19.5368,15.2493,22.1342,0.19803,0.8729,0.5117,2373,72,0,0.287349,1744107,6069646,22.1968,2301,0,283260,337,0.001329,0.00672
7,14000,35.0,-0.119984,-0.861219,-0.119984,1202.9576,3925,710,196,7.9115,7.1778,3940,3940,7.6131,42.6,7.207,0.0298,10.2749,389.7577,10.0751,10.4658,22.8629,0.32889,0.8654,0.3483,3722,111,0,0.300652,1913418,6364224,10.1829,3611,0,286222,329,0.002085,0.00896
8,16000,5.0,-0.111508,-0.665549,-0.111508,1369.5372,4095,170,204,7.3436,5.9686,711,711,6.9431,36.7,5.5639,0.0142,11.9193,310.3921,12.9836,11.6988,22.0792,0.052431,0.782,0.2813,632,9,0,0.288268,298852,1036717,9.9035,623,0,42996,88,0.000354,0.00448
9,18000,10.0,-0.132542,-0.894686,-0.132542,30.2235,4393,298,219,8.4922,6.7502,1388,1388,9.4125,42.8,6.2028,0.0344,15.7725,310.5394,18.5497,15.039,21.1664,0.096158,0.7964,0.3741,1250,43,0,0.275959,585137,2120375,13.9283,1207,0,94763,181,0.0007,0.00672
10,20000,15.0,-0.225686,-0.376198,-0.225686,543955.2096,6036,1643,301,1.9123,1.6669,8537,8536,6.3262,36.5,1.4912,0.058,9.7838,370.0046,8.1632,10.4326,20.7756,0.655667,0.822,0.2558,8800,510,0,0.265247,851753,3211165,2.0718,8290,0,150410,247,0.004938,0.02688
11,22000,20.0,-0.210762,-1.682928,-0.210762,38786.0148,6490,454,324,9.8086,7.985,2334,2333,13.1528,44.2,7.5495,0.1147,38.8477,414.3961,38.4406,39.0419,15.3155,0.0876,0.8734,0.5016,2285,262,1,0.255925,1069483,4178887,26.9075,2023,0,188099,310,0.001285,0.01344
12,24000,25.0,-0.102777,-0.828624,-0.102777,516119.353,7117,627,355,8.7946,8.0624,3269,3267,7.1229,43.4,7.9469,0.2155,11.788,323.7426,8.9252,13.9949,10.007,0.016907,0.8049,0.4051,3730,804,1,0.251857,1334865,5300085,15.2104,2926,0,266125,342,0.002092,0.01232
13,26000,30.0,-0.451121,-0.267335,-0.451121,10368102.8454,16148,9031,807,0.6092,0.5926,44041,44028,3.012,43.5,0.6151,0.1594,3.8084,300.7186,1.0576,6.0866,17.5477,2.783003,0.4531,0.1285,51895,8273,20,0.292157,1749001,5986517,0.3323,43622,0,304334,399,0.029065,0.07504
14,28000,35.0,-0.167039,-0.322025,-0.167039,12593721.1544,19329,3181,966,2.081,1.9278,16984,16973,7.6483,45.1,1.7359,0.1583,11.179,562.9938,13.3945,8.3971,13.4165,0.526925,0.8214,0.2922,19678,3115,32,0.291508,1839035,6308693,2.476,16563,0,343605,388,0.011023,0.03248
15,30000,5.0,-0.151913,-1.232292,-0.151913,11252417.8027,19458,129,972,10.8401,8.1118,498,498,11.5433,44.8,7.5714,0.0857,25.365,419.1469,42.3616,21.9386,19.3429,0.029803,0.8366,0.387,455,39,0,0.288108,305625,1060801,21.7365,416,0,40752,82,0.000255,0.00448
16,32000,10.0,-0.137776,-1.105103,-0.137776,22878061.3219,19693,235,984,10.4535,8.021,981,977,11.2265,44.7,6.4636,0.1027,22.6697,422.2424,32.9455,19.7465,18.1896,0.052987,0.8521,0.3006,915,94,0,0.279222,583733,2090573,17.5196,821,0,79080,158,0.000513,0.00448
