episode,global_step,density,reward_per_sec_selected,reward_per_decision,mean_reward,mean_loss,grad_updates_total,grad_updates_this_episode,swap_count,mean_delta,mean_delta_actual,n_decisions,n_intervals_closed,mean_aoi,peak_aoi,mean_peak_aoi,packet_loss_rate,mean_error,max_error,low_speed_error,high_speed_error,avg_tx_power_dbm,total_energy_joules,jains_fairness_aoi,jains_fairness_err,tx_attempts,tx_fails,tx_abandoned,coverage_outage_rate,outage_vehicle_steps,total_vehicle_steps,mean_update_error,n_updates_delivered,dynamics_fallbacks,n_observations,n_vehicles_seen,mean_cbr,max_cbr
1,2000,5.0,-0.409369,-0.121651,-0.409369,0.2477,631,631,31,0.2413,0.2972,9781,9779,0.7037,9.0,0.3879,0.1531,0.2338,36.3665,0.4055,0.1948,10.9876,0.072464,0.6472,0.2676,11461,1755,0,0.284556,300340,1055468,0.0982,9706,0,38707,75,0.006433,0.02128
2,4000,10.0,-0.174263,-0.118632,-0.174263,0.3267,1407,776,70,0.8719,0.6808,11293,11292,9.9386,45.4,0.5853,0.1882,22.8349,406.4805,34.9749,19.6565,10.5096,0.070222,0.5601,0.2892,13690,2577,1,0.27452,606858,2210611,1.1055,11113,0,87856,179,0.00768,0.0336
3,6000,15.0,-0.006424,-0.178514,-0.006424,0.2517,1505,98,75,37.0344,27.7881,697,697,17.6693,45.5,35.6289,0.0979,51.6685,499.6754,63.1293,45.4874,10.5855,0.002299,0.8915,0.5614,439,43,0,0.258095,844855,3273429,145.6559,396,0,193882,301,0.000246,0.01904
4,8000,20.0,-0.00685,-0.190384,-0.00685,0.2409,1636,131,81,36.7007,27.7946,758,756,17.7142,45.6,35.5006,0.1265,55.0763,491.6127,61.8097,51.117,10.5155,0.002518,0.8952,0.5943,490,62,0,0.253073,1079899,4267141,144.2296,428,0,210349,330,0.000275,0.02128
5,10000,25.0,-0.007079,-0.204081,-0.007079,0.2303,1787,151,89,37.3409,28.8285,950,949,18.2381,45.8,36.6258,0.1628,56.4943,489.1793,61.0377,53.1485,10.4795,0.003462,0.89,0.6081,682,111,0,0.248733,1331759,5354165,148.6934,571,0,273925,378,0.000382,0.03696
6,12000,30.0,-0.0065,-0.192302,-0.0065,0.2369,1940,153,97,36.9582,29.5843,958,956,18.3973,45.5,35.8883,0.1971,42.2286,444.8836,44.5297,40.0498,10.4684,0.003905,0.9131,0.5784,771,152,0,0.287349,1744107,6069646,108.6458,619,0,283260,337,0.000432,0.04368
7,14000,35.0,-0.006586,-0.198557,-0.006586,0.2364,2106,166,105,37.2697,30.1474,948,948,18.5034,45.6,36.1256,0.1823,43.2751,627.8558,37.4823,48.8068,10.5218,0.00389,0.9089,0.5735,757,138,0,0.300652,1913418,6364224,104.4073,619,0,286222,329,0.000424,0.03808
8,16000,5.0,-0.005074,-0.128274,-0.005074,0.2367,2158,52,107,37.8176,25.2812,170,170,17.3344,45.4,36.8828,0.1183,39.1935,429.5061,57.0752,35.4888,10.5011,0.000472,0.8473,0.4151,93,11,0,0.288268,298852,1036717,136.5548,82,0,42996,88,5.2e-05,0.00448
9,18000,10.0,-0.00551,-0.141823,-0.00551,0.2346,2241,83,112,36.7315,25.7372,368,368,17.163,45.5,34.6121,0.1652,45.7486,532.4821,64.0724,40.9088,10.4448,0.001129,0.881,0.5175,224,37,0,0.275959,585137,2120375,133.4446,187,0,94763,181,0.000125,0.0168
10,20000,15.0,-0.005723,-0.15636,-0.005723,0.2298,2334,93,116,36.9065,27.3224,551,550,17.5814,45.6,34.8471,0.1314,43.4204,514.4702,62.7593,35.6784,10.4902,0.001787,0.882,0.5016,350,46,0,0.265247,851753,3211165,132.4483,304,0,150410,247,0.000197,0.01568
