episode,global_step,density,reward_per_sec_selected,reward_per_decision,mean_reward,mean_loss,grad_updates_total,grad_updates_this_episode,swap_count,mean_delta,mean_delta_actual,n_decisions,n_intervals_closed,mean_aoi,peak_aoi,mean_peak_aoi,packet_loss_rate,mean_error,max_error,low_speed_error,high_speed_error,avg_tx_power_dbm,total_energy_joules,jains_fairness_aoi,jains_fairness_err,tx_attempts,tx_fails,tx_abandoned,coverage_outage_rate,outage_vehicle_steps,total_vehicle_steps,mean_update_error,n_updates_delivered,dynamics_fallbacks,n_observations,n_vehicles_seen,mean_cbr,max_cbr
1,2000,5.0,-0.174719,-0.233282,-0.174719,0.6096,267,267,13,1.3418,1.3352,2711,2706,5.3611,45.2,1.3112,0.126,9.771,406.1585,8.8132,9.9881,14.3895,0.046018,0.5543,0.1546,3016,380,0,0.284556,300340,1055468,1.7306,2636,0,38707,75,0.001695,0.00896
2,4000,10.0,-0.395778,-0.127183,-0.395778,0.4632,2534,2267,126,0.3119,0.3214,20932,20922,2.2211,26.8,0.3845,0.1681,1.2424,277.6463,0.0633,1.5511,10.8119,0.172289,0.5132,0.0428,24947,4194,0,0.27452,606858,2210611,0.119,20753,0,87856,179,0.013987,0.03584
3,6000,15.0,-0.282528,-0.177018,-0.282528,1.2458,5324,2790,266,0.7031,0.6266,26765,26752,6.2676,45.2,0.5871,0.194,16.5675,499.1759,18.8924,15.3136,10.3924,0.179856,0.6189,0.2414,32829,6370,5,0.258095,844855,3273429,0.8844,26459,0,193882,301,0.018387,0.0672
4,8000,20.0,-0.130788,-0.171904,-0.130788,1.2431,6806,1482,340,1.5493,1.3144,14912,14910,4.602,45.2,1.1845,0.1937,7.6611,376.6214,3.6598,10.0138,10.2853,0.087737,0.7892,0.1654,18081,3502,3,0.253073,1079899,4267141,1.0718,14579,0,210349,330,0.010126,0.03584
5,10000,25.0,-0.059976,-0.280249,-0.059976,1.3528,7380,574,369,5.3515,4.6727,5758,5752,5.1921,45.2,4.4958,0.1767,3.7395,189.5252,2.437,4.6987,10.4416,0.033421,0.8447,0.5135,6532,1154,1,0.248733,1331759,5354165,4.7508,5378,0,273925,378,0.003658,0.01568
6,12000,30.0,-0.040144,-0.167654,-0.040144,1.1695,8016,636,400,4.7274,4.1763,6644,6636,4.1247,45.2,3.9389,0.2242,1.5758,132.1588,0.8105,2.3005,10.5595,0.043098,0.8411,0.5525,8116,1820,9,0.287349,1744107,6069646,2.5626,6296,0,283260,337,0.004545,0.01344
7,14000,35.0,-0.039863,-0.209307,-0.039863,0.9585,8548,532,427,5.9328,5.2507,5361,5359,4.6509,34.7,5.076,0.2114,2.0668,110.6381,1.2299,2.866,10.483,0.034323,0.889,0.5935,6377,1348,3,0.300652,1913418,6364224,3.7392,5029,0,286222,329,0.003571,0.01344
8,16000,5.0,-0.039567,-0.151804,-0.039567,0.9231,8695,147,434,4.9952,3.8367,1098,1096,4.4919,26.9,3.4835,0.1171,1.5782,144.574,0.8499,1.729,10.5471,0.006349,0.8034,0.195,1144,134,0,0.288268,298852,1036717,2.4935,1010,0,42996,88,0.000641,0.0056
9,18000,10.0,-0.038131,-0.163721,-0.038131,0.8407,8947,252,447,5.6714,4.2937,2166,2164,4.4852,27.6,3.9934,0.1336,1.7015,123.2368,1.346,1.7954,10.4845,0.012646,0.8636,0.4505,2291,306,0,0.275959,585137,2120375,3.1126,1985,0,94763,181,0.001284,0.01008
10,20000,15.0,-0.044524,-0.232585,-0.044524,0.8547,9255,308,462,6.5114,5.2238,2833,2833,5.1738,31.3,4.9505,0.1264,2.4961,151.1322,2.3341,2.5609,10.8188,0.019887,0.8599,0.4097,2960,374,0,0.265247,851753,3211165,4.0914,2586,0,150410,247,0.001659,0.01008
11,22000,20.0,-0.039543,-0.21013,-0.039543,0.9006,9648,393,482,6.6869,5.3139,3485,3484,4.7481,31.1,5.0596,0.1289,2.396,306.8717,1.6448,2.7544,10.3516,0.018632,0.8895,0.2366,3645,470,0,0.255925,1069483,4178887,4.6371,3175,0,188099,310,0.002042,0.00896
12,24000,25.0,-0.038286,-0.187898,-0.038286,0.9732,10170,522,508,5.7673,4.9078,5325,5325,4.6391,41.7,4.6822,0.1778,2.0135,164.2236,0.9137,2.8613,10.3434,0.030207,0.7965,0.2972,6058,1077,2,0.251857,1334865,5300085,3.2875,4981,0,266125,342,0.003393,0.01232
13,26000,30.0,-0.032787,-0.16676,-0.032787,0.8239,10731,561,536,5.9821,5.0862,5882,5880,4.1585,37.8,4.9723,0.1892,1.7427,351.2483,0.9993,2.3583,10.2556,0.032425,0.8744,0.2064,6759,1279,3,0.292157,1749001,5986517,3.3564,5480,0,304334,399,0.003786,0.01232
14,28000,35.0,-0.034867,-0.209752,-0.034867,0.7878,11287,556,564,6.7634,6.0157,5631,5628,4.9755,32.4,5.9656,0.181,1.9051,99.7909,1.1664,2.8327,10.3267,0.032427,0.9007,0.6175,6394,1157,5,0.291508,1839035,6308693,3.8621,5237,0,343605,388,0.003581,0.0112
15,30000,5.0,-0.027938,-0.130986,-0.027938,0.7684,11416,129,570,6.2242,4.6885,855,854,4.923,25.9,4.1423,0.1001,1.0864,47.9457,0.314,1.2421,10.2808,0.004249,0.8496,0.5854,859,86,0,0.288108,305625,1060801,2.2285,773,0,40752,82,0.000481,0.00448
16,32000,10.0,-0.029437,-0.14052,-0.029437,0.7673,11612,196,580,6.2193,4.7736,1631,1628,4.6421,28.8,4.5626,0.1133,1.1847,65.4195,0.7067,1.3206,10.2885,0.007989,0.869,0.5327,1659,188,0,0.279222,583733,2090573,2.5114,1471,0,79080,158,0.000929,0.0056
17,34000,15.0,-0.035488,-0.21464,-0.035488,0.8712,11953,341,597,7.2105,6.0482,3141,3140,5.3134,45.2,5.8178,0.1027,2.1316,138.2892,1.4076,2.4632,10.303,0.015565,0.8625,0.4091,3195,328,0,0.26183,893414,3412196,4.3726,2867,0,192600,274,0.00179,0.00784
18,36000,20.0,-0.03416,-0.20091,-0.03416,0.9726,12326,373,616,7.0903,5.8814,3333,3331,4.9233,43.9,5.7893,0.125,2.1472,192.5157,1.5833,2.4513,10.2957,0.016855,0.8628,0.3544,3440,430,1,0.244333,1086540,4446960,4.4416,3010,0,198726,321,0.001928,0.00896
19,38000,25.0,-0.039503,-0.173529,-0.039503,0.9312,12980,654,649,5.0134,4.3928,6371,6362,4.5834,45.2,4.2413,0.1923,1.8869,267.4087,1.2416,2.3865,10.4852,0.042096,0.8651,0.2799,7447,1432,3,0.250556,1324500,5286233,2.8242,6015,0,285288,353,0.004171,0.0168
20,40000,30.0,-0.033338,-0.15948,-0.033338,0.7615,13608,628,680,5.3452,4.7837,6325,6323,4.1557,32.3,4.9542,0.1739,1.5713,89.0027,0.7885,2.185,10.4327,0.038047,0.9063,0.6362,7184,1249,4,0.280871,1712675,6097722,3.3158,5935,0,308196,386,0.004023,0.01456
21,42000,35.0,-0.038645,-0.216044,-0.038645,0.746,14180,572,709,6.4445,5.5905,5424,5421,5.2146,43.6,5.3738,0.212,2.1729,114.8763,1.4083,2.7558,10.3637,0.032761,0.8562,0.5637,6382,1353,7,0.298926,1889257,6320160,4.2457,5029,0,307880,388,0.003574,0.01232
22,44000,5.0,-0.031636,-0.136268,-0.031636,0.706,14339,159,716,5.3996,4.3074,1226,1223,5.1213,28.1,4.2014,0.1035,1.1543,70.7471,0.7777,1.2579,10.345,0.006476,0.9135,0.3426,1266,131,0,0.288355,296233,1027321,2.0506,1135,0,53749,91,0.000709,0.0056
23,46000,10.0,-0.026154,-0.133871,-0.026154,0.6786,14574,235,728,6.4232,5.1186,1811,1811,5.0317,32.2,4.9078,0.1124,1.1764,101.3569,0.718,1.3171,10.2866,0.008965,0.8786,0.6047,1850,208,0,0.275622,613383,2225447,2.8786,1642,0,94221,169,0.001036,0.00672
