episode,global_step,density,reward_per_sec_selected,reward_per_decision,mean_reward,mean_loss,grad_updates_total,grad_updates_this_episode,swap_count,mean_delta,mean_delta_actual,n_decisions,n_intervals_closed,mean_aoi,peak_aoi,mean_peak_aoi,packet_loss_rate,mean_error,max_error,low_speed_error,high_speed_error,avg_tx_power_dbm,total_energy_joules,jains_fairness_aoi,jains_fairness_err,tx_attempts,tx_fails,tx_abandoned,coverage_outage_rate,outage_vehicle_steps,total_vehicle_steps,mean_update_error,n_updates_delivered,dynamics_fallbacks,n_observations,n_vehicles_seen,mean_cbr,max_cbr
1,2000,5.0,-0.070276,-0.185605,-0.070276,0.0145,196,196,9,2.6558,2.6411,1417,1417,1.6743,7.5,2.7925,0.0469,0.6412,53.8632,0.5815,0.6547,15.6631,0.0236,0.9679,0.6095,1408,66,0,0.284556,300340,1055468,1.3524,1342,0,38707,75,0.000788,0.0056
2,4000,10.0,-0.20359,-0.118178,-0.20359,0.0019,2059,1863,102,0.5378,0.5805,12959,12956,0.8972,14.6,0.6668,0.1593,0.2758,58.3746,0.1236,0.3157,10.7658,0.084666,0.7569,0.4005,15200,2421,1,0.27452,606858,2210611,0.1942,12779,0,87856,179,0.008528,0.03136
3,6000,15.0,-0.25634,-0.160886,-0.25634,0.0034,5811,3752,290,0.593,0.6276,26734,26711,4.0525,41.1,0.6617,0.2218,6.48,340.8082,6.7002,6.3613,10.2542,0.162059,0.5693,0.2513,33958,7532,7,0.258095,844855,3273429,0.73,26426,0,193882,301,0.019032,0.084
4,8000,20.0,-0.150183,-0.113741,-0.150183,0.0184,9061,3250,453,0.745,0.7574,24607,24596,1.3825,20.6,0.8165,0.1739,0.5065,88.9419,0.0569,0.7708,10.2534,0.140136,0.8305,0.3468,29387,5111,1,0.253073,1079899,4267141,0.2514,24276,0,210349,330,0.01646,0.0336
5,10000,25.0,-0.061067,-0.123101,-0.061067,0.1774,10790,1729,539,2.087,2.0158,12978,12975,2.3946,29.5,2.1195,0.152,1.1693,198.5138,0.8556,1.4003,10.2592,0.070949,0.8747,0.3399,14856,2258,1,0.248733,1331759,5354165,1.0809,12598,0,273925,378,0.008321,0.02352
6,12000,30.0,-0.033248,-0.140133,-0.033248,0.0532,11783,993,589,4.4743,4.2147,6582,6577,3.1346,23.7,4.4196,0.1682,1.271,149.4196,0.7615,1.7535,10.2597,0.035846,0.9326,0.3772,7503,1262,2,0.287349,1744107,6069646,2.3728,6241,0,283260,337,0.004203,0.01344
7,14000,35.0,-0.031634,-0.156227,-0.031634,0.1131,12668,885,633,5.2443,4.9385,5695,5691,3.3924,24.7,5.1698,0.1835,1.4161,109.2452,0.862,1.9452,10.2571,0.03135,0.9246,0.595,6567,1205,4,0.300652,1913418,6364224,3.0143,5362,0,286222,329,0.003679,0.01232
8,16000,5.0,-0.03204,-0.113556,-0.03204,0.1601,12912,244,645,3.9375,3.5442,1185,1184,2.5098,15.0,3.6558,0.1349,0.8501,47.8874,0.416,0.9401,10.2714,0.006076,0.9147,0.624,1268,171,0,0.288268,298852,1036717,2.0085,1097,0,42996,88,0.000711,0.00448
9,18000,10.0,-0.031995,-0.125049,-0.031995,0.1562,13300,388,665,4.2417,3.9084,2374,2372,2.7468,16.4,4.0215,0.1437,1.0825,78.3179,0.7315,1.1751,10.2846,0.012315,0.9266,0.6036,2561,368,0,0.275959,585137,2120375,2.4713,2193,0,94763,181,0.001435,0.00672
10,20000,15.0,-0.042125,-0.153635,-0.042125,0.0364,13908,608,695,3.9454,3.6472,4026,4025,2.6348,17.5,3.7156,0.1013,0.9127,65.4961,0.7891,0.9622,12.7307,0.03968,0.9234,0.5956,4205,426,0,0.265247,851753,3211165,2.0097,3779,0,150410,247,0.002356,0.0112
11,22000,20.0,-0.035584,-0.177942,-0.035584,0.0641,14518,610,725,5.5065,5.0006,3700,3698,3.435,19.0,5.0871,0.14,1.8427,112.5029,1.0399,2.2257,10.3968,0.019518,0.9319,0.5953,3942,552,0,0.255925,1069483,4178887,4.3888,3390,0,188099,310,0.002213,0.00896
12,24000,25.0,-0.030731,-0.152899,-0.030731,0.0829,15322,804,766,5.3527,4.9755,5255,5254,3.2935,21.2,5.1062,0.1716,1.4451,122.5955,0.7846,1.9543,10.2727,0.028427,0.921,0.6156,5928,1017,2,0.251857,1334865,5300085,3.4851,4911,0,266125,342,0.003322,0.01232
13,26000,30.0,-0.028431,-0.142895,-0.028431,0.0625,16190,868,809,5.4179,5.0261,5950,5949,3.3198,21.4,5.1141,0.1821,1.2657,103.3624,0.652,1.7739,10.2708,0.03249,0.9294,0.5302,6783,1235,3,0.292157,1749001,5986517,3.2159,5548,0,304334,399,0.0038,0.01232
14,28000,35.0,-0.027956,-0.161464,-0.027956,0.1217,17098,908,854,6.136,5.7756,5862,5858,3.8697,25.1,6.0031,0.1851,1.3662,91.4911,0.7994,2.0779,10.2524,0.031993,0.9307,0.608,6709,1242,6,0.291508,1839035,6308693,3.5153,5467,0,343605,388,0.003759,0.01344
15,30000,5.0,-0.02871,-0.107996,-0.02871,0.0911,17327,229,866,4.1866,3.7617,1059,1059,2.9292,20.1,3.783,0.1467,0.726,32.0488,0.5695,0.7575,10.2734,0.005496,0.9223,0.6655,1145,168,0,0.288108,305625,1060801,1.7281,977,0,40752,82,0.000642,0.0056
16,32000,10.0,-0.029995,-0.11942,-0.029995,0.0732,17681,354,884,4.4403,3.9814,1948,1944,2.9807,19.9,4.0625,0.1469,0.9078,62.4553,0.7691,0.9473,10.2711,0.010045,0.8824,0.5742,2096,308,0,0.279222,583733,2090573,2.0762,1788,0,79080,158,0.001175,0.00672
17,34000,15.0,-0.030041,-0.159905,-0.030041,0.085,18244,563,912,5.8364,5.3229,3561,3560,3.7301,22.2,5.2919,0.1484,1.448,92.3276,1.2115,1.5563,10.2615,0.018462,0.9343,0.6106,3860,573,0,0.26183,893414,3412196,3.6784,3287,0,192600,274,0.002164,0.00896
18,36000,20.0,-0.029617,-0.158659,-0.029617,0.0678,18848,604,942,5.9058,5.3571,3655,3651,3.6305,22.3,5.4358,0.1469,1.4808,99.9,1.0553,1.7102,10.2623,0.018682,0.9358,0.569,3907,574,0,0.244333,1086540,4446960,3.834,3333,0,198726,321,0.00219,0.00784
19,38000,25.0,-0.029586,-0.162567,-0.029586,0.1216,19610,762,980,6.018,5.4948,5113,5109,3.704,22.7,5.6406,0.1735,1.5235,82.6616,0.8977,2.008,10.2535,0.027468,0.9376,0.6718,5758,999,1,0.250556,1324500,5286233,3.7891,4759,0,285288,353,0.003226,0.01232
20,40000,30.0,-0.028565,-0.154014,-0.028565,0.0928,20468,858,1023,5.9151,5.3917,5623,5623,3.5706,21.6,5.5179,0.1869,1.4401,83.1925,0.7712,1.9643,10.2564,0.030726,0.9508,0.7302,6437,1203,3,0.280871,1712675,6097722,3.8201,5234,0,308196,386,0.003606,0.0112
21,42000,35.0,-0.029506,-0.169567,-0.029506,0.0669,21268,800,1063,6.2624,5.7469,5278,5276,3.8672,21.9,5.8836,0.1998,1.5846,81.9895,0.953,2.0662,10.2496,0.029106,0.9335,0.6913,6107,1220,3,0.298926,1889257,6320160,4.2093,4887,0,307880,388,0.003422,0.01232
22,44000,5.0,-0.027397,-0.119211,-0.027397,0.0776,21504,236,1075,4.9442,4.3512,1212,1211,3.4043,19.3,4.3224,0.1317,0.8471,49.9906,0.4208,0.9644,10.2729,0.006185,0.9152,0.6193,1291,170,0,0.288355,296233,1027321,2.0972,1121,0,53749,91,0.000723,0.0056
23,46000,10.0,-0.029327,-0.130701,-0.029327,0.1045,21874,370,1093,5.0854,4.4568,2075,2074,3.4086,20.2,4.4449,0.136,1.1742,86.7103,0.5536,1.3646,10.2476,0.010512,0.9096,0.5645,2206,300,0,0.275622,613383,2225447,2.7144,1906,0,94221,169,0.001236,0.00784
24,48000,15.0,-0.027067,-0.13657,-0.027067,0.0836,22285,411,1114,5.6365,5.0457,2418,2417,3.575,21.8,5.1641,0.1374,1.1571,54.6978,0.9003,1.2157,10.2653,0.012198,0.9334,0.6403,2548,350,0,0.268667,836330,3112883,3.1097,2198,0,123985,220,0.001429,0.00784
25,50000,20.0,-0.030767,-0.17236,-0.030767,0.0725,22871,586,1143,6.234,5.6021,3750,3747,3.8015,26.2,5.7829,0.1387,1.6962,96.0659,1.0545,2.0439,10.2442,0.018903,0.9375,0.6325,3972,551,0,0.259545,1105101,4257836,4.4874,3421,0,213128,328,0.002225,0.00896
26,52000,25.0,-0.027995,-0.153981,-0.027995,0.098,23672,801,1183,6.0011,5.5003,5099,5094,3.668,23.7,5.6114,0.1844,1.4018,101.6456,0.8287,1.8738,10.2574,0.027647,0.9537,0.7191,5791,1068,1,0.258908,1400077,5407614,3.7589,4723,0,284693,375,0.003244,0.01008
27,54000,30.0,-0.029165,-0.157263,-0.029165,0.0617,24442,770,1222,5.8943,5.3922,5453,5452,3.6865,28.5,5.4827,0.1628,1.5662,223.5142,0.7599,2.2349,10.2551,0.028869,0.9349,0.4652,6050,985,1,0.291878,1787131,6122872,3.8252,5065,0,298832,386,0.003389,0.01232
28,56000,35.0,-0.028241,-0.162464,-0.028241,0.089,25163,721,1258,6.2331,5.7528,4823,4818,3.7984,22.7,5.9173,0.1811,1.5296,142.301,0.7547,2.1862,10.2603,0.026134,0.9491,0.6166,5471,991,2,0.299522,1869816,6242668,3.8813,4480,0,281453,340,0.003064,0.0112
29,58000,5.0,-0.024949,-0.124258,-0.024949,0.1168,25350,187,1267,5.818,4.9804,788,787,3.5782,19.6,5.1388,0.1199,0.949,46.3861,0.4819,1.0734,10.2768,0.00388,0.9265,0.7139,809,97,0,0.28947,286033,988127,2.6561,712,0,39851,76,0.000453,0.00336
30,60000,10.0,-0.028114,-0.135255,-0.028114,0.0637,25706,356,1285,5.4569,4.811,1939,1938,3.2797,18.6,4.925,0.1233,1.1593,87.1788,0.6669,1.3136,10.273,0.009639,0.9292,0.6391,2011,248,0,0.277396,626591,2258833,3.1072,1763,0,94868,176,0.001127,0.00784
