episode,global_step,density,reward_per_sec_selected,reward_per_decision,mean_reward,mean_loss,grad_updates_total,grad_updates_this_episode,swap_count,mean_delta,mean_delta_actual,n_decisions,n_intervals_closed,mean_aoi,peak_aoi,mean_peak_aoi,packet_loss_rate,mean_error,max_error,low_speed_error,high_speed_error,avg_tx_power_dbm,total_energy_joules,jains_fairness_aoi,jains_fairness_err,tx_attempts,tx_fails,tx_abandoned,coverage_outage_rate,outage_vehicle_steps,total_vehicle_steps,mean_update_error,n_updates_delivered,dynamics_fallbacks,n_observations,n_vehicles_seen,mean_cbr,max_cbr
1,2000,5.0,-0.042472,-0.189372,-0.042472,0.1289,129,129,6,5.1832,4.4588,852,852,8.3947,42.7,4.131,0.1048,17.0292,357.9991,22.5297,15.782,16.0154,0.023249,0.8028,0.3321,868,91,0,0.284556,300340,1055468,8.6705,777,0,38707,75,0.000486,0.00448
2,4000,10.0,-0.101944,-0.184081,-0.101944,0.018,848,719,42,1.839,1.8057,4633,4626,4.9051,40.2,1.7914,0.1011,10.2008,346.5278,18.4987,8.0284,15.3679,0.112516,0.6697,0.218,4955,501,0,0.27452,606858,2210611,2.9132,4454,0,87856,179,0.002782,0.0112
3,6000,15.0,-0.134037,-0.123853,-0.134037,0.0015,3730,2882,186,1.1026,0.924,18982,18982,6.8472,45.2,0.828,0.1494,14.2182,486.3428,15.6801,13.4297,11.0156,0.143998,0.514,0.2302,21962,3282,1,0.258095,844855,3273429,0.8366,18680,0,193882,301,0.012315,0.04368
4,8000,20.0,-0.007266,-0.177665,-0.007266,0.0012,3916,186,195,33.2339,24.4501,859,859,17.0233,45.2,28.12,0.1454,51.2295,424.0094,57.688,47.432,10.8841,0.003565,0.8814,0.5875,619,90,0,0.253073,1079899,4267141,123.9566,529,0,210349,330,0.000347,0.00448
5,10000,25.0,-0.006876,-0.212121,-0.006876,0.0021,4127,211,206,39.7945,30.8505,888,887,18.5651,45.2,39.1884,0.1587,56.3173,468.8613,59.2853,54.1316,10.9668,0.003501,0.9008,0.6143,605,96,0,0.248733,1331759,5354165,160.8188,509,0,273925,378,0.000339,0.00336
6,12000,30.0,-0.006314,-0.198886,-0.006314,0.0028,4350,223,217,38.9454,31.5014,901,898,18.4639,45.1,38.1955,0.1624,41.0023,435.7743,42.6167,39.4735,10.7817,0.003716,0.9252,0.5643,671,109,0,0.287349,1744107,6069646,117.8085,562,0,283260,337,0.000376,0.0056
7,14000,35.0,-0.006304,-0.192084,-0.006304,0.0035,4580,230,229,37.8567,30.4698,938,938,18.2497,45.1,37.1293,0.1912,39.4025,513.7777,35.4931,43.1357,10.5639,0.003908,0.9216,0.5647,753,144,0,0.300652,1913418,6364224,108.2678,609,0,286222,329,0.000422,0.0056
8,16000,5.0,-0.004969,-0.124875,-0.004969,0.0037,4647,67,232,34.2685,25.1327,171,171,16.1813,44.8,32.2833,0.1354,32.4551,429.5061,42.3826,30.3983,10.4523,0.000479,0.8589,0.3999,96,13,0,0.288268,298852,1036717,111.3169,83,0,42996,88,5.4e-05,0.00224
9,18000,10.0,-0.005077,-0.137021,-0.005077,0.0041,4752,105,237,37.2731,26.9886,351,351,17.1645,44.9,36.7436,0.1282,41.1238,489.4148,50.7315,38.5861,10.4073,0.000969,0.8964,0.4976,195,25,0,0.275959,585137,2120375,138.106,170,0,94763,181,0.000109,0.00448
10,20000,15.0,-0.005705,-0.157301,-0.005705,0.0046,4889,137,244,36.7221,27.5741,545,545,16.964,45.0,35.5769,0.1078,40.4382,403.5835,49.2982,36.8912,10.5553,0.001738,0.8896,0.5262,334,36,0,0.265247,851753,3211165,129.4735,298,0,150410,247,0.000188,0.00336
11,22000,20.0,-0.006916,-0.191143,-0.006916,0.0053,5054,165,252,35.8947,27.6387,680,680,16.864,45.2,35.2064,0.0954,52.8049,479.9038,62.6543,48.1059,10.7047,0.002244,0.9093,0.5392,409,39,0,0.255925,1069483,4178887,156.9197,370,0,188099,310,0.00023,0.00336
12,24000,25.0,-0.007087,-0.204702,-0.007087,0.0054,5262,208,263,36.3999,28.8854,920,920,17.4795,44.9,35.1926,0.1295,53.4706,527.0527,55.2017,52.1361,10.7207,0.003618,0.9268,0.5819,664,86,0,0.251857,1334865,5300085,145.9944,578,0,266125,342,0.000372,0.00448
13,26000,30.0,-0.006825,-0.193115,-0.006825,0.0065,5502,240,275,36.0117,28.294,1074,1074,17.383,45.0,35.2811,0.1748,42.1296,441.5018,40.7061,43.3085,10.5551,0.004308,0.9069,0.5434,818,143,0,0.292157,1749001,5986517,115.3392,675,0,304334,399,0.00046,0.00448
14,28000,35.0,-0.006459,-0.186967,-0.006459,0.0067,5770,268,288,35.5925,28.9461,1185,1185,17.1611,44.9,33.8933,0.1682,36.2557,473.6921,34.2087,38.8259,10.6217,0.005067,0.927,0.5775,957,161,0,0.291508,1839035,6308693,100.9245,796,0,343605,388,0.000537,0.00448
15,30000,5.0,-0.004403,-0.115725,-0.004403,0.0061,5834,64,291,37.5769,26.2839,155,155,17.0428,45.0,37.8463,0.1098,34.5845,414.7093,38.7196,33.7509,10.365,0.000412,0.8707,0.4014,82,9,0,0.288108,305625,1060801,149.9089,73,0,40752,82,4.6e-05,0.00224
