episode,global_step,density,reward_per_sec_selected,reward_per_decision,mean_reward,mean_loss,grad_updates_total,grad_updates_this_episode,swap_count,mean_delta,mean_delta_actual,n_decisions,n_intervals_closed,mean_aoi,peak_aoi,mean_peak_aoi,packet_loss_rate,mean_error,max_error,low_speed_error,high_speed_error,avg_tx_power_dbm,total_energy_joules,jains_fairness_aoi,jains_fairness_err,tx_attempts,tx_fails,tx_abandoned,coverage_outage_rate,outage_vehicle_steps,total_vehicle_steps,mean_update_error,n_updates_delivered,dynamics_fallbacks,n_observations,n_vehicles_seen,mean_cbr,max_cbr
1,2000,5.0,-0.065867,-0.174728,-0.065867,0.0084,196,196,9,2.67,2.6527,1411,1411,1.6628,6.4,2.816,0.0572,0.6577,45.0351,0.4819,0.6975,15.7029,0.024013,0.9702,0.5882,1417,81,0,0.284556,300340,1055468,1.3364,1336,0,38707,75,0.000795,0.0056
2,4000,10.0,-0.054406,-0.123537,-0.054406,0.0039,794,598,39,2.3283,2.2706,3720,3719,1.7043,16.8,2.3824,0.1198,0.7898,97.3669,0.4812,0.8705,12.0182,0.030349,0.7399,0.425,4023,482,0,0.27452,606858,2210611,1.2344,3541,0,87856,179,0.002257,0.01232
3,6000,15.0,-0.007044,-0.145589,-0.007044,0.0077,1055,261,52,26.2085,20.6671,936,936,13.8394,45.4,23.736,0.0743,30.5467,498.2584,32.907,29.2737,10.3465,0.003361,0.8444,0.4927,686,51,0,0.258095,844855,3273429,74.3162,635,0,193882,301,0.000386,0.00448
4,8000,20.0,-0.006389,-0.18571,-0.006389,0.008,1304,249,65,38.5895,29.0679,724,723,17.8861,45.4,37.6368,0.1045,53.6558,483.3626,62.6522,48.366,10.2701,0.002111,0.9069,0.618,440,46,0,0.253073,1079899,4267141,165.5908,394,0,210349,330,0.000247,0.00672
5,10000,25.0,-0.006807,-0.207188,-0.006807,0.0091,1604,300,80,40.0231,30.4373,901,899,18.6479,45.6,39.502,0.1856,58.9182,488.0092,61.0758,57.3294,10.2484,0.003052,0.8961,0.6235,641,119,0,0.248733,1331759,5354165,167.168,522,0,273925,378,0.000359,0.02016
6,12000,30.0,-0.006156,-0.196129,-0.006156,0.0098,1925,321,96,39.9544,31.8574,890,888,18.8169,46.0,39.6393,0.1764,43.6002,486.6896,45.2689,42.0202,10.2345,0.003175,0.9211,0.5755,669,118,0,0.287349,1744107,6069646,124.186,551,0,283260,337,0.000375,0.03136
7,14000,35.0,-0.006219,-0.197745,-0.006219,0.0104,2269,344,113,40.2605,31.796,899,899,19.0339,59.1,39.2651,0.1963,42.3794,421.7902,38.4622,46.1202,10.2415,0.003369,0.9155,0.587,708,139,1,0.300652,1913418,6364224,118.4535,569,0,286222,329,0.000397,0.04256
8,16000,5.0,-0.004288,-0.115936,-0.004288,0.0104,2383,114,119,39.9798,27.0371,159,159,17.6002,45.3,38.9133,0.0533,34.3518,429.5061,47.6952,31.5873,10.2425,0.000357,0.8507,0.3841,75,4,0,0.288268,298852,1036717,132.4017,71,0,42996,88,4.2e-05,0.00224
9,18000,10.0,-0.004849,-0.135923,-0.004849,0.0112,2541,158,127,39.9274,28.0305,338,338,17.7932,45.5,40.0034,0.118,39.2262,415.0059,52.1032,35.825,10.3131,0.000861,0.8899,0.5026,178,21,0,0.275959,585137,2120375,148.0976,157,0,94763,181,0.0001,0.0168
10,20000,15.0,-0.005624,-0.165116,-0.005624,0.0112,2740,199,137,40.1245,29.3578,512,512,18.3058,45.8,40.1022,0.1587,46.3331,411.1658,58.0867,41.6276,10.2363,0.001496,0.8852,0.518,315,50,0,0.265247,851753,3211165,154.4493,265,0,150410,247,0.000176,0.01344
11,22000,20.0,-0.006607,-0.19716,-0.006607,0.0124,3002,262,150,40.252,29.8402,630,630,18.2235,45.7,39.627,0.1011,58.6254,506.1518,68.397,53.9634,10.2574,0.001699,0.9076,0.575,356,36,0,0.255925,1069483,4178887,184.14,320,0,188099,310,0.000199,0.02464
12,24000,25.0,-0.006694,-0.212099,-0.006694,0.0133,3294,292,164,40.2339,31.6838,839,839,18.8935,45.6,39.9181,0.1591,60.439,543.0618,61.4179,59.6844,10.2542,0.002828,0.925,0.5832,591,94,0,0.251857,1334865,5300085,167.2664,497,0,266125,342,0.000332,0.03248
13,26000,30.0,-0.006531,-0.206597,-0.006531,0.0143,3608,314,180,40.3354,31.6327,962,961,18.8451,45.6,39.6099,0.1817,47.5196,441.5018,47.394,47.6236,10.2327,0.003269,0.9059,0.5756,688,125,0,0.292157,1749001,5986517,132.8511,563,0,304334,399,0.000386,0.0504
14,28000,35.0,-0.006027,-0.194906,-0.006027,0.0144,3974,366,198,40.4355,32.3406,1062,1061,19.1735,45.7,40.1404,0.164,44.3605,516.1122,44.3115,44.422,10.3077,0.003893,0.9205,0.6194,805,132,0,0.291508,1839035,6308693,124.3358,673,0,343605,388,0.000451,0.06384
15,30000,5.0,-0.004216,-0.115289,-0.004216,0.0154,4079,105,203,40.1894,27.3463,149,149,17.5269,45.3,39.5944,0.0694,37.5215,454.147,52.2592,34.5506,10.2186,0.00034,0.8646,0.3868,72,5,0,0.288108,305625,1060801,155.4497,67,0,40752,82,4e-05,0.00672
16,32000,10.0,-0.004483,-0.123909,-0.004483,0.0153,4235,156,211,40.2332,27.6427,288,286,17.9974,45.4,39.8716,0.1351,38.5142,500.4222,52.8953,34.4232,10.2078,0.000697,0.8875,0.3852,148,20,0,0.279222,583733,2090573,147.9174,128,0,79080,158,8.3e-05,0.01008
17,34000,15.0,-0.005743,-0.176256,-0.005743,0.0161,4456,221,222,40.0233,30.6903,627,627,18.368,45.7,39.1972,0.1041,45.7798,429.9216,53.8378,42.09,10.2402,0.001872,0.9223,0.554,394,41,0,0.26183,893414,3412196,150.9014,353,0,192600,274,0.000221,0.01456
18,36000,20.0,-0.005567,-0.163024,-0.005567,0.0162,4697,241,234,40.197,29.2864,679,678,18.1542,45.5,39.8471,0.1141,44.2859,477.8918,54.5911,38.7283,10.2337,0.001911,0.8958,0.4788,403,46,0,0.244333,1086540,4446960,145.6342,357,0,198726,321,0.000226,0.02016
19,38000,25.0,-0.006412,-0.205056,-0.006412,0.0161,4997,300,249,40.6327,31.9811,891,891,18.9703,45.9,39.9164,0.1581,56.5942,518.4096,62.8898,51.7199,10.2563,0.003053,0.9236,0.5893,639,101,0,0.250556,1324500,5286233,164.4099,538,0,285288,353,0.000358,0.02352
20,40000,30.0,-0.006946,-0.221113,-0.006946,0.0155,5323,326,266,40.0827,31.8335,967,967,18.8243,45.5,39.5375,0.1531,51.1165,432.8545,51.7455,50.6235,10.2383,0.003258,0.9256,0.6043,686,105,0,0.280871,1712675,6097722,136.9073,581,0,308196,386,0.000384,0.03808
