episode,global_step,density,reward_per_sec_selected,reward_per_decision,mean_reward,val_reward_per_sec,val_reward_per_decision,val_density,val_n_intervals_closed,val_is_best,best_reward_so_far,mean_loss,median_loss,n_losses_this_episode,grad_updates_total,grad_updates_this_episode,swap_count,mean_delta,mean_delta_actual,n_decisions,n_intervals_closed,run_status,abort_reason,mean_aoi,peak_aoi,mean_peak_aoi,packet_loss_rate,mean_error,max_error,low_speed_error,high_speed_error,avg_tx_power_dbm,total_energy_joules,jains_fairness_aoi,jains_fairness_err,tx_attempts,tx_fails,tx_abandoned,coverage_outage_rate,outage_vehicle_steps,total_vehicle_steps,mean_update_error,n_updates_delivered,dynamics_fallbacks,n_observations,n_vehicles_seen,mean_cbr,max_cbr,wiring_updates,wiring_behaviour_logp_stored,wiring_behaviour_logp_stored_n
1,2000,5.0,-0.195592,-1.689169,-0.195592,,,,0,False,,12.0677,11.904522895812988,5,5,5,0,11.9393,8.6362,453,453,ok,,14.6775,45.4,7.8027,0.1358,49.4485,496.5413,77.8176,42.7414,16.0051,0.013182,0.752,0.4452,427,58,0,0.284595,298623,1049291,26.8537,369,0,39427,84,0.00024,0.00448,5,1.0,5
2,4000,10.0,-0.214206,-1.940806,-0.214206,,,,0,False,,6.4082,5.098088264465332,21,26,21,1,11.7734,9.0605,1152,1151,ok,,14.9136,45.5,7.7945,0.0975,48.5247,477.3664,67.5599,41.9435,16.2017,0.033892,0.8239,0.4959,1067,104,0,0.279292,618618,2214947,28.134,963,0,105117,189,0.000599,0.00672,21,1.0,21
3,6000,15.0,-0.178053,-1.32796,-0.178053,,,,0,False,,5.204,3.2994956970214844,26,52,26,2,10.3682,7.4582,1522,1522,ok,,13.683,46.3,6.3941,0.1568,34.9606,475.324,68.1816,26.7908,15.6782,0.044335,0.8008,0.3748,1537,241,3,0.265014,868431,3276931,18.9821,1296,0,114656,223,0.000861,0.00672,26,1.0,26
4,8000,20.0,-0.211347,-1.622758,-0.211347,,,,0,False,,3.7385,3.714820146560669,36,88,36,4,10.2609,7.6782,2552,2551,ok,,13.9887,45.3,6.488,0.1191,43.0475,524.1573,55.178,37.2491,15.675,0.072336,0.8141,0.4716,2502,298,3,0.252254,1076752,4268518,22.1532,2204,0,197863,345,0.001403,0.01456,36,1.0,36
5,10000,25.0,-0.21093,-1.853695,-0.21093,,,,0,False,,3.1179,2.6823999881744385,46,134,46,6,10.597,8.7882,3188,3187,ok,,14.896,45.6,7.8732,0.1384,33.8243,412.5462,34.0754,33.5996,15.74,0.096084,0.872,0.5097,3317,459,3,0.256937,1385448,5392164,19.6132,2858,0,282749,327,0.001858,0.01568,46,1.0,46
6,12000,30.0,-0.203088,-1.473027,-0.203088,,,,0,False,,3.3887,3.0572381019592285,55,189,55,9,8.8334,7.2531,3976,3975,ok,,13.452,45.9,6.5068,0.127,30.4368,472.2552,30.3078,30.5684,15.8987,0.122831,0.8327,0.5014,4125,524,7,0.278104,1674013,6019369,15.2789,3601,0,291726,368,0.002311,0.02016,55,1.0,55
7,14000,35.0,-0.200251,-1.355151,-0.200251,,,,0,False,,3.3764,3.4266202449798584,61,250,61,12,8.0911,6.7673,4782,4780,ok,,13.0388,50.4,6.11,0.1601,30.8326,521.3786,28.8049,32.3404,15.4537,0.141698,0.8306,0.4675,5203,833,11,0.296466,1862642,6282808,14.8129,4370,0,327633,401,0.002914,0.0168,61,1.0,61
8,16000,5.0,-0.165032,-1.047966,-0.165032,,,,0,False,,3.3689,2.446991443634033,13,263,13,13,8.2725,6.3501,711,711,ok,,11.1581,45.2,5.1328,0.1277,33.8792,466.9238,40.2109,32.4124,15.5948,0.020344,0.7331,0.374,705,90,2,0.286063,294748,1030360,15.2489,615,0,45696,94,0.000395,0.00336,13,1.0,13
9,18000,10.0,-0.159909,-1.211093,-0.159909,,,,0,False,,3.0593,2.0620875358581543,21,284,21,14,9.9159,7.5737,1326,1325,ok,,12.1179,45.6,6.6964,0.1283,30.0043,466.8618,53.0227,23.3245,15.9655,0.039386,0.7875,0.3597,1309,168,3,0.27077,571862,2111981,17.8262,1141,0,101360,182,0.000734,0.00672,21,1.0,21
10,20000,15.0,-0.178349,-1.488915,-0.178349,-0.105403,-0.333997,20.0,6446,True,-0.105403,2.9326,2.663332223892212,27,311,27,15,10.7737,8.3483,1788,1788,ok,,12.3096,49.5,7.3338,0.1222,35.3685,508.868,47.9817,30.2378,15.373,0.046527,0.7934,0.438,1743,213,2,0.261891,840404,3208978,21.6947,1530,0,150632,256,0.000976,0.0056,27,1.0,27
