episode,global_step,density,reward_per_sec_selected,reward_per_decision,mean_reward,val_reward_per_sec,val_reward_per_decision,val_density,val_n_intervals_closed,val_is_best,best_reward_so_far,mean_loss,median_loss,n_losses_this_episode,grad_updates_total,grad_updates_this_episode,swap_count,mean_delta,mean_delta_actual,n_decisions,n_intervals_closed,run_status,abort_reason,mean_aoi,peak_aoi,mean_peak_aoi,packet_loss_rate,mean_error,max_error,low_speed_error,high_speed_error,avg_tx_power_dbm,total_energy_joules,jains_fairness_aoi,jains_fairness_err,tx_attempts,tx_fails,tx_abandoned,coverage_outage_rate,outage_vehicle_steps,total_vehicle_steps,mean_update_error,n_updates_delivered,dynamics_fallbacks,n_observations,n_vehicles_seen,mean_cbr,max_cbr,wiring_updates,wiring_neighbourhood_used,wiring_neighbourhood_used_n,wiring_behaviour_logp_stored,wiring_behaviour_logp_stored_n,wiring_policy_synced,wiring_policy_synced_n
1,2000,5.0,-0.127314,-0.950645,-0.127314,,,,0,False,,1.1745,0.6468329434012949,90,90,90,4,9.2821,7.4669,523,523,ok,,8.3975,41.8,7.2251,0.0797,19.3314,402.0706,19.4227,19.3099,15.9314,0.011116,0.7911,0.3263,477,38,0,0.284595,298623,1049291,19.2545,439,0,39427,84,0.000268,0.00336,90,1.0,90,1.0,90,0.24444444444444444,90
2,4000,10.0,-0.119608,-1.083714,-0.119608,,,,0,False,,1.251,1.0130100385889347,266,356,266,17,10.8894,9.0606,1151,1151,ok,,8.2805,40.5,8.9557,0.0624,16.1563,373.3632,20.1149,14.7876,15.9083,0.023255,0.8597,0.3406,1026,64,0,0.279292,618618,2214947,20.3532,962,0,105117,189,0.000575,0.00448,266,1.0,266,1.0,266,0.2518796992481203,266
3,6000,15.0,-0.09063,-0.801015,-0.09063,,,,0,False,,1.0729,0.8862390939720858,295,651,295,32,10.5333,8.8383,1287,1287,ok,,7.4667,34.9,8.8296,0.0724,9.5693,319.2949,11.5878,9.0729,15.6156,0.025036,0.8881,0.2833,1147,83,0,0.265014,868431,3276931,14.7337,1064,0,114656,223,0.000643,0.00672,295,1.0,295,1.0,295,0.24745762711864408,295
4,8000,20.0,-0.100247,-0.795605,-0.100247,,,,0,False,,1.0457,0.7969622175240934,498,1149,498,57,9.0823,7.9365,2471,2469,ok,,6.6451,38.4,8.0125,0.0675,8.5686,305.6174,7.9557,8.8616,15.8254,0.051665,0.8665,0.3781,2280,154,0,0.252254,1076752,4268518,13.6555,2126,0,197863,345,0.001279,0.00784,498,1.0,498,1.0,498,0.25100401606425704,498
5,10000,25.0,-0.094297,-0.812707,-0.094297,,,,0,False,,0.7506,0.6880571306613261,624,1773,624,88,9.3675,8.6186,3250,3249,ok,,6.582,36.0,8.7243,0.0889,6.9959,258.9413,4.8868,8.8837,15.7076,0.070845,0.9248,0.4956,3207,285,1,0.256937,1385448,5392164,11.8354,2922,0,282749,327,0.001796,0.00784,624,1.0,624,1.0,624,0.25,624
6,12000,30.0,-0.087369,-0.671158,-0.087369,,,,0,False,,0.6015,0.5631592793610697,706,2479,706,123,8.3426,7.6819,3757,3756,ok,,5.7432,29.2,7.8791,0.0753,5.5832,243.568,3.7501,7.4526,16.0495,0.087475,0.9222,0.4724,3664,276,1,0.278104,1674013,6019369,9.815,3388,0,291726,368,0.002054,0.00896,706,1.0,706,1.0,706,0.24929178470254956,706
7,14000,35.0,-0.078214,-0.59813,-0.078214,,,,0,False,,0.4625,0.3638489411185477,805,3284,805,164,8.2734,7.6474,4238,4237,ok,,5.588,36.3,7.8244,0.1005,4.6967,229.0419,3.3878,5.67,15.6469,0.093964,0.9239,0.4432,4259,428,6,0.296466,1862642,6282808,8.98,3831,0,327633,401,0.002386,0.0112,805,1.0,805,1.0,805,0.25093167701863356,805
8,16000,5.0,-0.071751,-0.567082,-0.071751,,,,0,False,,0.3111,0.2660980731677072,137,3421,137,171,9.0956,7.9035,573,573,ok,,5.5414,25.4,8.1739,0.0439,5.4304,210.7734,4.6116,5.6201,15.7293,0.01105,0.8802,0.3121,501,22,0,0.286063,294748,1030360,11.6514,479,0,45696,94,0.000281,0.00336,137,1.0,137,1.0,137,0.24817518248175183,137
9,18000,10.0,-0.062939,-0.492879,-0.062939,,,,0,False,,0.3097,0.22643162551053003,283,3704,283,185,8.8628,7.8311,1282,1282,ok,,5.4813,26.4,8.1058,0.0615,4.1094,176.6127,4.1457,4.0989,15.5611,0.025605,0.9049,0.3393,1171,72,1,0.27077,571862,2111981,9.3463,1099,0,101360,182,0.000656,0.00448,283,1.0,283,1.0,283,0.2508833922261484,283
10,20000,15.0,-0.071043,-0.546055,-0.071043,-0.051117,-0.339,20.0,3130,True,-0.051117,0.2482,0.1912717353147968,402,4106,402,205,8.595,7.6863,1942,1940,ok,,5.3325,26.0,7.8638,0.0695,4.6777,195.1277,4.3976,4.7916,15.2218,0.036177,0.9153,0.4306,1812,126,0,0.261891,840404,3208978,10.2211,1686,0,150632,256,0.001015,0.0056,402,1.0,402,1.0,402,0.24875621890547264,402
