episode,global_step,density,reward_per_sec_selected,reward_per_decision,mean_reward,val_reward_per_sec,val_reward_per_decision,val_density,val_n_intervals_closed,val_is_best,best_reward_so_far,mean_loss,median_loss,n_losses_this_episode,grad_updates_total,grad_updates_this_episode,swap_count,mean_delta,mean_delta_actual,n_decisions,n_intervals_closed,run_status,abort_reason,mean_aoi,peak_aoi,mean_peak_aoi,packet_loss_rate,mean_error,max_error,low_speed_error,high_speed_error,avg_tx_power_dbm,total_energy_joules,jains_fairness_aoi,jains_fairness_err,tx_attempts,tx_fails,tx_abandoned,coverage_outage_rate,outage_vehicle_steps,total_vehicle_steps,mean_update_error,n_updates_delivered,dynamics_fallbacks,n_observations,n_vehicles_seen,mean_cbr,max_cbr,wiring_updates,wiring_neighbourhood_used,wiring_neighbourhood_used_n
1,2000,5.0,-0.114746,-0.350941,-0.114746,,,,0,False,,0.5248,0.31731913425028324,124,124,124,6,3.2357,3.0584,1253,1253,ok,,3.5999,29.6,3.1086,0.0737,4.5197,249.53,5.2792,4.3401,16.2896,0.027443,0.7474,0.1854,1262,93,0,0.284595,298623,1049291,3.4479,1169,0,39427,84,0.000708,0.0056,124,1.0,124
2,4000,10.0,-0.323906,-0.745677,-0.323906,,,,0,False,,2.3247,1.787082388997078,488,612,488,30,2.7265,2.3021,4397,4389,ok,,10.9706,45.2,1.9697,0.0696,29.6429,456.4626,43.449,24.8696,20.6848,0.313963,0.7586,0.3997,4523,315,0,0.279292,618618,2214947,5.7345,4208,0,105117,189,0.002537,0.03024,488,1.0,488
3,6000,15.0,-0.521998,-0.447197,-0.521998,,,,0,False,,3.5508,1.2627071663737297,1280,1892,1280,94,1.178,0.8567,12026,12024,ok,,10.5983,45.2,0.6513,0.1753,27.8329,435.6881,36.553,25.6884,13.6952,0.351303,0.7149,0.3674,14287,2504,20,0.265014,868431,3276931,1.3844,11783,0,114656,223,0.008002,0.03808,1280,1.0,1280
4,8000,20.0,-0.678234,-0.523823,-0.678234,,,,0,False,,3.1315,3.234213024377823,2345,4237,2345,211,0.9938,0.7723,22747,22746,ok,,8.7436,45.6,0.6637,0.1341,25.0709,466.0368,24.9891,25.11,19.2834,1.601494,0.661,0.3168,25850,3466,18,0.252254,1076752,4268518,1.2367,22384,0,197863,345,0.014477,0.06384,2345,1.0,2345
5,10000,25.0,-0.230279,-4.372546,-0.230279,,,,0,False,,7.1682,3.2738285660743713,215,4452,215,222,22.9886,18.988,1486,1484,ok,,17.1773,98.2,19.484,0.3125,41.3104,415.3944,35.9827,46.0788,12.0451,0.027026,0.8874,0.6028,1667,521,13,0.256937,1385448,5392164,59.5241,1146,0,282749,327,0.000935,0.02688,215,1.0,215
6,12000,30.0,-0.162048,-0.52344,-0.162048,,,,0,False,,5.3581,5.301169514656067,864,5316,864,265,3.6278,3.2301,8778,8777,ok,,6.5466,47.2,3.0758,0.1873,8.6269,332.3591,5.332,11.9871,15.3877,0.38716,0.7567,0.2381,10317,1932,25,0.278104,1674013,6019369,3.7133,8385,0,291726,368,0.00578,0.06608,864,1.0,864
7,14000,35.0,-0.111063,-0.635062,-0.111063,,,,0,False,,2.7775,3.0111133195459843,564,5880,564,294,6.4498,5.718,5645,5642,ok,,7.0647,45.2,5.4537,0.1788,6.2002,328.3369,4.7731,7.2613,15.2987,0.235585,0.8481,0.4513,6360,1137,21,0.296466,1862642,6282808,7.2918,5223,0,327633,401,0.003562,0.03808,564,1.0,564
8,16000,5.0,-0.085432,-0.491178,-0.085432,,,,0,False,,2.6633,2.4994081035256386,108,5988,108,299,6.8234,5.7494,785,784,ok,,6.0783,29.1,5.1049,0.1288,5.1442,166.9442,5.5431,5.0517,14.3424,0.024499,0.8351,0.402,792,102,1,0.286063,294748,1030360,7.6703,690,0,45696,94,0.000444,0.00448,108,1.0,108
9,18000,10.0,-0.080463,-0.755114,-0.080463,,,,0,False,,2.6629,2.4304293543100357,144,6132,144,306,11.3651,9.3846,1074,1072,ok,,7.8412,45.1,9.3814,0.1537,7.6951,340.998,9.086,7.2914,12.4007,0.019482,0.8602,0.3185,1054,162,0,0.27077,571862,2111981,14.6156,892,0,101360,182,0.00059,0.0056,144,1.0,144
10,20000,15.0,-0.081304,-0.675309,-0.081304,-0.08046,-0.604649,20.0,2767,True,-0.08046,2.8554,2.402624249458313,219,6351,219,317,10.0196,8.306,1798,1797,ok,,6.8994,33.7,7.8115,0.1245,5.4201,175.3561,4.5664,5.7674,12.325,0.031616,0.8754,0.4684,1759,219,2,0.261891,840404,3208978,11.4512,1540,0,150632,256,0.000986,0.00896,219,1.0,219
